C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
252 |HD 182230                                                                                                |Star                                  |19 25 17.4878901024 -38 56 20.847729768|359.5389774608652 -22.8590901479845| 19.378 -32.789   |10.22    |F8/G0V          |    ~     ~          |    1|  233.252   pc  |  -0.8814     +0.8814    |paral   |2020yCat.1350....0G
253 |HD 182268                                                                                                |Star                                  |19 25 30.6726482664 -38 57 02.982611052|359.5405338809572 -22.9033678466904|  1.768 -15.627   |9.77     |A3/5II/III      |    ~     ~          |    1|  305.614   pc  |  -1.8493     +1.8493    |paral   |2020yCat.1350....0G
254 |HD 182325                                                                                                |Star                                  |19 25 54.3927121800 -39 37 00.321940920|358.8727964382401 -23.1711746908426|  15.976 -7.742   |8.79     |G8IV            |    ~     ~          |    1|  599.988   pc  | -10.7276    +10.7276    |paral   |2020yCat.1350....0G
255 |HD 182561                                                                                                |Double or Multiple Star               |19 26 53.2007456995 -38 59 36.596185261|359.5814178802247 -23.1714645286473|   8.032 -5.054   |9.96     |F0V             |0.0050  0.0          |    0|                |                         |        |                   
256 |HD 182666                                                                                                |Star                                  |19 27 26.7617697456 -39 18 22.758314580|359.2897540957803 -23.3659537344383|  3.336 -14.540   |10.38    |A9/F            |    ~     ~          |    1|  298.445   pc  |  -1.8437     +1.8437    |paral   |2020yCat.1350....0G
257 |HD 182727                                                                                                |Star                                  |19 27 44.3816178048 -38 48 11.373023736|359.8321723460226 -23.2747740013626|    2.298 4.281   |9.55     |G8IV/V          |    ~     ~          |    1|  586.613   pc  | -21.8169    +21.8169    |paral   |2020yCat.1350....0G
258 |HD 182966                                                                                                |Star                                  |19 28 57.9830526312 -39 13 18.835401288|359.4699820514082 -23.6236502265011|  -0.851 -1.993   |9.24     |K2/3(III)(+G)   |    ~     ~          |    1|  978.282   pc  | -21.1505    +21.1505    |paral   |2020yCat.1350....0G
259 |HD 182986                                                                                                |Star                                  |19 29 04.9314249360 -39 21 01.280363256|359.3425225190921 -23.6817212512861|-18.450 -26.878   |9.66     |K1/2(III)       |    ~     ~          |    1|  493.681   pc  |  -4.2407     +4.2407    |paral   |2020yCat.1350....0G
260 |HD 183022                                                                                                |Star                                  |19 29 15.9333943728 -39 28 05.176262604|359.2301683893347 -23.7490843823664|   5.523 -6.460   |9.17     |K1III           |    ~     ~          |    1|  406.603   pc  |  -2.8436     +2.8436    |paral   |2020yCat.1350....0G
261 |HD 183048                                                                                                |Star                                  |19 29 17.9814907080 -39 08 02.593488876|359.5820098997053 -23.6604901745874| 12.335 -23.377   |9.37     |F7V             |    ~     ~          |    1|  163.736   pc  |  -0.5362     +0.5362    |paral   |2020yCat.1350....0G
262 |HD 183071                                                                                                |Spectroscopic Binary                  |19 29 24.7453953600 -39 13 10.618601592|359.4992461900583 -23.7058070025964| -1.060 -12.025   |10.34    |A3III           |    ~     ~          |    1|  578.135   pc  |  -7.2530     +7.2530    |paral   |2020yCat.1350....0G
263 |HD 181548                                                                                                |Star                                  |19 22 39.1668669384 -39 47 14.149719276|358.4969610575556 -22.6226489232865|  17.040 -5.004   |9.52     |A9V             |    ~     ~          |    1|  205.036   pc  |  -0.8156     +0.8156    |paral   |2020yCat.1350....0G
264 |HD 182604                                                                                                |High Proper Motion Star               |19 27 10.1678451696 -39 52 51.703701600|358.6730650618284 -23.4796047687725| 20.524 -52.361   |9.63     |F3V             |    ~     ~          |    1|  206.309   pc  |  -0.5831     +0.5831    |paral   |2020yCat.1350....0G
265 |CD-40 13280B                                                                                             |High Proper Motion Star               |19 27 11.0155784808 -39 52 47.081759196|358.6752487405351 -23.4818372782515| 20.438 -52.096   |9.85     |~               |    ~     ~          |    1|  205.910   pc  |  -0.8989     +0.8989    |paral   |2020yCat.1350....0G
266 |HD 183138                                                                                                |Star                                  |19 29 47.5373918088 -39 46 50.550770280|358.9333981584306 -23.9343579540569|   9.248 -4.176   |9.83     |F2/3IV/V        |    ~     ~          |    1|  324.918   pc  |  -3.8534     +3.8534    |paral   |2020yCat.1350....0G
267 |HD 181430                                                                                                |Star                                  |19 22 12.9039435624 -40 16 38.383256640|357.9627482543842 -22.6869994203566|  -8.805 -5.727   |10.10    |F2/3V           |    ~     ~          |    1|  352.796   pc  |  -1.8919     +1.8919    |paral   |2020yCat.1350....0G
268 |HD 181483                                                                                                |Star                                  |19 22 23.2656465528 -39 54 32.821998696|358.3545650523229 -22.6100909094723|-13.644 -36.214   |8.72     |F6V             |    ~     ~          |    1|  131.836   pc  |  -0.3841     +0.3841    |paral   |2020yCat.1350....0G
269 |HD 181646                                                                                                |Star                                  |19 23 03.8521939872 -40 09 24.522323400|358.1391932260609 -22.8066773165241|   9.017 -5.975   |9.69     |K3              |    ~     ~          |    1|  605.364   pc  |  -8.1355     +8.1355    |paral   |2020yCat.1350....0G
270 |HD 181922                                                                                                |Star                                  |19 24 06.7434372312 -39 56 46.247570808|358.4213933973504 -22.9370410747474|    9.157 3.272   |9.90     |G8(IV)          |    ~     ~          |    1|  318.566   pc  |  -5.6940     +5.6940    |ST-L    |2020AJ....160...83S
271 |HD 182326                                                                                                |Star                                  |19 25 53.8677393096 -40 01 09.299643456|358.4528577155059 -23.2855712621238|-14.438 -11.471   |8.73     |F2/3V           |    ~     ~          |    1|  143.033   pc  |  -3.7930     +3.7930    |paral   |2020yCat.1350....0G
272 |HD 182542                                                                                                |Star                                  |19 26 54.0578726712 -40 04 24.791717496|358.4558756105485 -23.4850713849104| 25.009 -16.753   |8.97     |A8IV            |    ~     ~          |    1|  246.172   pc  |  -1.0726     +1.0726    |paral   |2020yCat.1350....0G
273 |HD 182605                                                                                                |Star                                  |19 27 10.8 -40 02 09                   |358.5119 -23.5256                  |            ~ ~   |10.2     |F5/6V           |    ~     ~          |    0|                |                         |        |                   
274 |HD 182729                                                                                                |Star                                  |19 27 50.4455653344 -39 59 13.286403096|358.6020207028860 -23.6330764619008|  -8.849 -9.667   |9.36     |G8III           |    ~     ~          |    1|  458.695   pc  |  -3.1981     +3.1981    |paral   |2020yCat.1350....0G
275 |CD-38 13447                                                                                              |Star                                  |19 24 12.2676787512 -38 16 18.444692640|000.1602477758441 -22.4569250407508|  -1.478 -6.902   |9.50     |~               |    ~     ~          |    1|  429.867   pc  |  -3.3077     +3.3077    |paral   |2020yCat.1350....0G
276 |CD-39 13284                                                                                              |Star                                  |19 28 12.5487123984 -39 43 56.870539644|358.8903586276243 -23.6288172439425|   -1.623 0.664   |10.10    |~               |    ~     ~          |    1|  831.947   pc  | -12.7353    +12.7353    |paral   |2020yCat.1350....0G
277 |CD-39 13285                                                                                              |Star                                  |19 28 15.9993883416 -39 34 56.026005852|359.0510001400096 -23.5967608406505|  4.413 -12.711   |10.45    |~               |    ~     ~          |    1|  186.237   pc  |  -0.7422     +0.7422    |paral   |2020yCat.1350....0G
278 |NGC 6794                           NGC 6794                                                              |Galaxy towards a Group of Galaxies    |19 28 03.8851901208 -38 55 07.329232488|359.7317723318996 -23.3688707095336|            ~ ~   |     ~   |~               |0.790 0.695          |    1|   85.79    Mpc |                         |redshift|2007ApJ...655..790C
279 |CD-38 13454                                                                                              |Star                                  |19 24 50.9110127784 -38 42 36.985416984|359.7482365233186 -22.7087802445115|  13.464 -2.003   |10.705   |~               |    ~     ~          |    1|  808.229   pc  | -30.8700    +30.8700    |ST-L    |2020AJ....160...83S
280 |CD-38 13459                                                                                              |Star                                  |19 25 49.2303661704 -38 36 33.167838816|359.9140869849761 -22.8598986823997|  5.319 -12.490   |10.26    |~               |    ~     ~          |    1|  593.859   pc  |  -4.4436     +4.4436    |paral   |2020yCat.1350....0G
281 |CD-40 13270                                                                                              |Star                                  |19 25 55.6198054464 -39 58 02.133609960|358.5088231045147 -23.2760081972633|  -3.692 -1.544   |10.03    |~               |    ~     ~          |    1|  582.309   pc  |  -6.0696     +6.0696    |paral   |2020yCat.1350....0G
282 |CPD-39 8442                                                                                              |Star                                  |19 25 59.9258779800 -39 08 42.780144084|359.3689193830164 -23.0509613800471|  8.147 -10.386   |10.71    |~               |    ~     ~          |    1| 1233.654   pc  | -57.2235    +57.2235    |paral   |2020yCat.1350....0G
283 |CD-39 13273                                                                                              |Star                                  |19 26 19.7153665896 -39 03 31.528754352|359.4791269793997 -23.0868595594947|  -3.602 -7.658   |10.93    |~               |    ~     ~          |    1| 1562.012   pc  | -44.8938    +44.8938    |paral   |2020yCat.1350....0G
284 |CD-39 13279                                                                                              |Star                                  |19 27 17.1818379888 -39 20 36.674189952|359.2412586138028 -23.3471114689698| 12.234 -11.965   |10.40    |~               |    ~     ~          |    1|  608.347   pc  |  -6.3655     +6.3655    |paral   |2020yCat.1350....0G
285 |CD-38 13482                                                                                              |Star                                  |19 27 31.5228563760 -37 53 10.224569184|000.7715892724405 -22.9646269740138| -6.826 -26.323   |10.71    |~               |    ~     ~          |    1|  989.609   pc  | -18.9989    +18.9989    |paral   |2020yCat.1350....0G
286 |CD-40 13295                                                                                              |Star                                  |19 28 16.7498936448 -39 48 07.508737584|358.8216287443528 -23.6614406605702| -5.811 -13.641   |10.00    |~               |    ~     ~          |    1| 1189.485   pc  | -21.5061    +21.5061    |paral   |2020yCat.1350....0G
287 |CD-40 13304                                                                                              |Star                                  |19 28 54.3992432016 -39 45 24.300784404|358.9063091464547 -23.7642929306722|  -8.085 -2.728   |10.447   |~               |    ~     ~          |    1|  705.624   pc  | -21.0000    +21.0000    |ST-L    |2020AJ....160...83S
288 |CD-39 13296                                                                                              |Star                                  |19 29 29.7014252832 -39 25 08.371920864|359.2953334194447 -23.7776798011470| -3.984 -13.284   |10.61    |~               |    ~     ~          |    1| 2498.751   pc  |-134.2407   +134.2407    |paral   |2020yCat.1350....0G
289 |CD-38 13506                                                                                              |High Proper Motion Star               |19 29 38.5880231712 -38 09 32.567921028|000.6215422538219 -23.4435743149826|-10.301 -51.798   |10.293   |~               |    ~     ~          |    1|  341.947   pc  |  -6.9860     +6.9860    |ST-L    |2020AJ....160...83S
290 |CD-37 13146                                                                                              |Star                                  |19 21 02.5983019848 -37 45 06.551337780|000.4876063863196 -21.7045677118230|   -9.532 3.171   |10.34    |~               |    ~     ~          |    1| 1240.079   pc  | -45.3650    +45.3650    |paral   |2020yCat.1350....0G
291 |AKARI-IRC-V1 J1925539-384438                                                                             |Long-Period Variable Candidate        |19 25 53.9789563680 -38 44 38.108017572|359.7793894086995 -22.9145346706619| 10.352 -13.202   |10.39    |~               |    ~     ~          |    1| 1096.49    pc  | -37.9925    +37.9925    |paral   |2020yCat.1350....0G
292 |TYC 7436-1021-1                                                                                          |Star                                  |19 26 40.7646988248 -37 24 57.396924072|001.2036485523735 -22.6637187859146| -5.317 -20.224   |10.92    |~               |    ~     ~          |    1|  369.686   pc  |  -3.5124     +3.5124    |paral   |2020yCat.1350....0G
293 |TYC 7436-1185-1                                                                                          |Star                                  |19 29 21.2991493080 -37 20 48.389996040|001.4484530514720 -23.1499673017197|  5.124 -19.782   |10.96    |~               |    ~     ~          |    1|  425.134   pc  |  -3.2533     +3.2533    |paral   |2020yCat.1350....0G
294 |TYC 7918-389-1                                                                                           |Star                                  |19 19 54.8468776224 -39 16 57.014305752|358.8457458764270 -21.9673155480521| -15.715 -4.180   |10.62    |~               |    ~     ~          |    1|  393.809   pc  |  -1.8610     +1.8610    |paral   |2020yCat.1350....0G
295 |TYC 7931-86-1                                                                                            |High Proper Motion Star               |19 26 52.9084422912 -37 38 02.243984676|000.9914497364511 -22.7677684752600| 37.562 -43.848   |10.56    |~               |    ~     ~          |    1|  251.036   pc  |  -0.8129     +0.8129    |paral   |2020yCat.1350....0G
296 |TYC 7931-188-1                                                                                           |Star                                  |19 25 42.0025110360 -37 53 38.123108088|000.6464926593346 -22.6233691717867| 23.652 -22.638   |10.78    |~               |    ~     ~          |    1|  246.975   pc  |  -2.1471     +2.1471    |paral   |2020yCat.1350....0G
297 |TYC 7931-478-1                                                                                           |Star                                  |19 26 28.5480383616 -38 20 34.037976444|000.2315525979675 -22.9033014432337|   4.941 -3.912   |10.96    |~               |    ~     ~          |    1|  968.992   pc  | -12.6758    +12.6758    |paral   |2020yCat.1350....0G
298 |TYC 7931-579-1                                                                                           |Star                                  |19 24 43.4995643040 -39 18 02.753604000|359.1288027260362 -22.8607826429680|  -3.643 -9.740   |10.944   |~               |    ~     ~          |    1| 3242.360   pc  |-477.3000   +477.3000    |ST-L    |2020AJ....160...83S
299 |TYC 7931-623-1                                                                                           |Spectroscopic Binary                  |19 24 41.5794694464 -39 11 25.738577844|359.2411687405160 -22.8223512772636| 46.129 -80.700   |10.57    |~               |    ~     ~          |    1|  155.802   pc  |  -5.4302     +5.4302    |paral   |2020yCat.1350....0G
300 |TYC 7931-764-1                                                                                           |Star                                  |19 23 05.3893256448 -38 33 59.258517336|359.7850184893276 -22.3380084544769| 11.464 -27.392   |10.93    |~               |    ~     ~          |    1|  289.235   pc  |  -3.1539     +3.1539    |paral   |2020yCat.1350....0G
301 |TYC 7931-1393-1                                                                                          |Star                                  |19 26 37.5281104944 -38 33 56.150105040|000.0098579588569 -22.9972524129579| -7.403 -12.039   |10.80    |~               |    ~     ~          |    1|  590.493   pc  |  -7.7059     +7.7059    |paral   |2020yCat.1350....0G
302 |TYC 7935-202-1                                                                                           |Star                                  |19 24 18.5281635504 -39 31 03.434555208|358.8782226209771 -22.8477322186437|  -2.000 -6.908   |10.49    |~               |    ~     ~          |    1|  375.968   pc  |  -7.3927     +7.3927    |paral   |2020yCat.1350....0G
303 |TYC 7935-948-1                                                                                           |Star                                  |19 29 41.1575923272 -39 22 42.985410816|359.3490665999056 -23.8016403285931|   5.769 -8.622   |10.97    |~               |    ~     ~          |    1|  796.622   pc  | -14.2787    +14.2787    |paral   |2020yCat.1350....0G
304 |TYC 7935-1021-1                                                                                          |Star                                  |19 23 37.2345049560 -39 25 49.988763912|358.9259678358710 -22.6951477337135|   0.029 -3.712   |10.922   |~               |    ~     ~          |    1|  869.570   pc  | -36.2300    +36.2300    |ST-L    |2020AJ....160...83S
305 |TYC 7935-1059-1                                                                                          |Star                                  |19 25 31.6263741072 -39 51 52.562533860|358.5917770199840 -23.1730181065140|  -2.599 -3.333   |10.49    |~               |    ~     ~          |    1| 1356.300   pc  | -28.5130    +28.5130    |paral   |2020yCat.1350....0G
306 |TYC 7935-1159-1                                                                                          |Star                                  |19 22 01.0548775320 -40 01 26.221598076|358.2130334717370 -22.5762846500630| -20.488 -5.034   |9.76     |~               |    ~     ~          |    1|  551.998   pc  |  -6.1245     +6.1245    |paral   |2020yCat.1350....0G
307 |TYC 7935-1764-1                                                                                          |Star                                  |19 20 17.8973068848 -40 11 06.413770140|357.9408458223606 -22.3102620866937|  20.332 -4.497   |10.16    |~               |    ~     ~          |    1|  632.191   pc  |  -5.6753     +5.6753    |paral   |2020yCat.1350....0G
308 |TYC 7935-2003-1                                                                                          |Star                                  |19 24 21.7728233928 -40 02 28.393680192|358.3377812089285 -23.0105831374356|   -5.527 4.525   |10.82    |~               |    ~     ~          |    1|  396.213   pc  |  -8.3850     +8.3850    |ST-L    |2020AJ....160...83S
309 |HD 179830                                                                                                |Star                                  |19 15 27.2921812920 -35 09 31.462497972|002.7172842665324 -19.7968259597228| 11.377 -18.011   |8.63     |K3III           |    ~     ~          |    1|  479.593   pc  |  -6.3483     +6.3483    |paral   |2020yCat.1350....0G
310 |CD-35 13341                                                                                              |Star                                  |19 16 06.5319214344 -35 45 41.787938556|002.1611133485528 -20.1253212743281|  23.636 20.376   |10.19    |G0              |    ~     ~          |    1|  156.910   pc  |  -0.5786     +0.5786    |paral   |2020yCat.1350....0G
311 |HD 180181                                                                                                |Star                                  |19 16 57.8367269472 -35 11 03.241340124|002.8025426333439 -20.0957108225177| -9.265 -22.687   |8.62     |K1III           |    ~     ~          |    1|  219.563   pc  |  -1.0799     +1.0799    |paral   |2020yCat.1350....0G
312 |CD-35 13376                                                                                              |Star                                  |19 18 38.1497268864 -35 11 45.483995904|002.9125404044212 -20.4215460378702|    5.188 4.776   |9.31     |G0              |    ~     ~          |    1|  356.532   pc  |  -2.3643     +2.3643    |paral   |2020yCat.1350....0G
313 |HD 179809                                                                                                |Star                                  |19 15 32.4434582136 -36 42 45.395242596|001.1646416472099 -20.3334023276186|   1.139 -5.335   |9.12     |B8/9III         |    ~     ~          |    1|  784.129   pc  | -14.8796    +14.8796    |paral   |2020yCat.1350....0G
314 |HD 179980                                                                                                |High Proper Motion Star               |19 16 11.4070367016 -36 25 11.338942476|001.5053318867558 -20.3597185681854|214.186 -111.020  |8.82     |G2V             |    ~     ~          |    1|   67.406   pc  |  -0.1122     +0.1122    |paral   |2020yCat.1350....0G
315 |HD 179979                                                                                                |Star                                  |19 16 09.9160658064 -36 16 14.839192668|001.6535324778010 -20.3056569725212| 11.416 -28.175   |10.03    |F5/6            |    ~     ~          |    1|  320.770   pc  |  -2.0784     +2.0784    |paral   |2020yCat.1350....0G
316 |HD 180153                                                                                                |alpha2 CVn Variable                   |19 16 54.5454644736 -36 02 17.575172448|001.9406224396424 -20.3702291886744|   1.009 -8.283   |8.93     |ApSi            |    ~     ~          |    1|  543.036   pc  |  -9.6133     +9.6133    |paral   |2020yCat.1350....0G
317 |HD 180205                                                                                                |Star                                  |19 17 11.8132582656 -36 12 11.878993080|001.7948715699094 -20.4796572585499|  39.146 -6.911   |9.65     |G8III/IV        |    ~     ~          |    1|  366.421   pc  |  -9.1166     +9.1166    |paral   |2020yCat.1350....0G
318 |HD 180337                                                                                                |Spectroscopic Binary                  |19 17 37.8653269848 -36 15 13.019210640|001.7749236731874 -20.5789055771588|  4.904 -14.368   |10.34    |A3/5III(+F)     |    ~     ~          |    1|  386.713   pc  |  -2.6320     +2.6320    |paral   |2020yCat.1350....0G
319 |HD 179831                                                                                                |Star                                  |19 15 35.4073497144 -36 56 57.716474820|000.9296624870844 -20.4207535388893|  4.119 -25.092   |6.97     |A3V             |    ~     ~          |    1|  113.429   pc  |  -0.9019     +0.9019    |paral   |2020yCat.1350....0G
320 |CD-35 13325                                                                                              |Star                                  |19 15 01.2605023104 -35 16 58.789616232|002.5611219615510 -19.7556361418664| 13.856 -10.643   |10.31    |~               |    ~     ~          |    1|  325.775   pc  |  -1.6768     +1.6768    |paral   |2020yCat.1350....0G
321 |CD-36 13445                                                                                              |Star                                  |19 15 10.0217903328 -36 02 08.781577152|001.8180650722372 -20.0373575778318| -9.936 -29.316   |10.49    |~               |    ~     ~          |    1|  452.837   pc  | -17.7173    +17.7173    |paral   |2020yCat.1350....0G
322 |CD-36 13448                                                                                              |Star                                  |19 15 25.6907077776 -35 54 39.981782124|001.9619404729852 -20.0453804119256|  -4.238 -0.516   |10.01    |~               |    ~     ~          |    1| 1128.032   pc  | -19.3413    +19.3413    |paral   |2020yCat.1350....0G
323 |CD-37 13118                                                                                              |Star                                  |19 15 48.6381861840 -37 30 55.625831676|000.3737066754672 -20.6472976396199|   3.673 -5.402   |9.92     |~               |    ~     ~          |    1|  493.657   pc  |  -5.8244     +5.8244    |paral   |2020yCat.1350....0G
324 |CD-35 13337                                                                                              |Star                                  |19 15 40.9233089880 -35 36 27.906199740|002.2844691630289 -19.9920680910517|   1.169 -8.597   |10.50    |~               |    ~     ~          |    1|  748.727   pc  |  -7.3438     +7.3438    |paral   |2020yCat.1350....0G
325 |CD-36 13457                                                                                              |Star                                  |19 16 25.0818252456 -36 14 47.659582824|001.6959027508609 -20.3457085595453|   -2.942 0.842   |10.42    |~               |    ~     ~          |    1| 1547.509   pc  | -37.1191    +37.1191    |paral   |2020yCat.1350....0G
326 |CD-37 13127                                                                                              |Star                                  |19 17 53.3865764232 -37 34 37.788379032|000.4534902579244 -21.0572850367336| -17.588 13.408   |10.398   |~               |    ~     ~          |    1|  295.503   pc  |  -4.4470     +4.4470    |ST-L    |2020AJ....160...83S
327 |CD-35 13368                                                                                              |Star                                  |19 18 05.9952062664 -35 22 03.329931540|002.7010367503691 -20.3755360926964|  -1.354 -3.477   |10.32    |~               |    ~     ~          |    1|  627.471   pc  | -13.8589    +13.8589    |paral   |2020yCat.1350....0G
328 |CD-35 13370                                                                                              |Star                                  |19 18 11.9701060272 -35 26 48.584428044|002.6285084445036 -20.4210221040655|   1.261 -7.215   |10.50    |~               |    ~     ~          |    1|  791.390   pc  | -10.3339    +10.3339    |paral   |2020yCat.1350....0G
329 |CD-35 13373                                                                                              |High Proper Motion Star               |19 18 25.3983201312 -35 12 46.811060424|002.8799790842861 -20.3862822042236| 82.177 -79.118   |10.04    |~               |    ~     ~          |    1|   76.059   pc  |  -0.7573     +0.7573    |paral   |2020yCat.1350....0G
330 |CD-36 13476                                                                                              |Star                                  |19 18 35.2755286056 -36 04 28.605612036|002.0233427943452 -20.7025756305823| 11.029 -10.642   |10.48    |~               |    ~     ~          |    1| 1032.418   pc  | -17.3740    +17.3740    |paral   |2020yCat.1350....0G
331 |CD-36 13477                                                                                              |Star                                  |19 18 42.7593256848 -36 28 35.336823564|001.6258404137036 -20.8575330107236|  7.538 -19.790   |10.24    |~               |    ~     ~          |    1|  739.536   pc  |  -9.5163     +9.5163    |paral   |2020yCat.1350....0G
332 |CD-37 13119                                                                                              |Star                                  |19 16 05.8869049272 -36 48 12.100659660|001.1124608698154 -20.4687080075713|  12.657 -8.156   |9.52     |~               |    ~     ~          |    1|  820.075   pc  | -15.0645    +15.0645    |paral   |2020yCat.1350....0G
333 |TYC 7431-1834-1                                                                                          |Star                                  |19 16 44.4085405248 -35 35 58.731406332|002.3693743817624 -20.1919777326982| -2.727 -15.727   |10.94    |~               |    ~     ~          |    1| 2424.830   pc  |-108.1884   +108.1884    |paral   |2020yCat.1350....0G
334 |TYC 7431-1853-1                                                                                          |Spectroscopic Binary                  |19 18 28.8465928704 -35 35 10.975220808|002.5082275328565 -20.5212870623176|  34.826 -3.738   |10.56    |~               |    ~     ~          |    1|  157.104   pc  |  -0.4023     +0.4023    |paral   |2020yCat.1350....0G
335 |TYC 7435-747-1                                                                                           |Star                                  |19 16 50.1508905888 -35 44 19.182890688|002.2366329602585 -20.2566944700468|  8.367 -11.952   |10.798   |~               |    ~     ~          |    1|  855.434   pc  | -32.0000    +32.0000    |ST-L    |2020AJ....160...83S
336 |TYC 7435-999-1                                                                                           |Star                                  |19 18 19.6522092144 -36 20 37.868288568|001.7329538369243 -20.7410510207356| -9.370 -36.320   |10.60    |~               |    ~     ~          |    1|  735.024   pc  |  -8.9143     +8.9143    |paral   |2020yCat.1350....0G
337 |TYC 7918-246-1                                                                                           |Star                                  |19 15 29.1895509696 -37 36 44.686260648|000.2534142795253 -20.6180724047909|  0.224 -11.027   |10.82    |~               |    ~     ~          |    0|                |                         |        |                   
338 |HD 181375                                                                                                |Star                                  |19 21 45.5056426440 -34 49 19.825999608|003.5156213538626 -20.9012605382454|  6.650 -11.708   |9.49     |G8III           |    ~     ~          |    1|  540.161   pc  |  -5.8063     +5.8063    |paral   |2020yCat.1350....0G
339 |CD-35 13378                                                                                              |Star                                  |19 18 47.6045329752 -35 24 24.347826036|002.7116956822647 -20.5218661961514|   1.781 -4.541   |9.88     |F8              |    ~     ~          |    1|  324.855   pc  |  -2.4905     +2.4905    |paral   |2020yCat.1350....0G
340 |HD 180831                                                                                                |Star                                  |19 19 27.7229887968 -35 38 40.738924752|002.5197068717099 -20.7287766474643|  9.880 -37.553   |9.34     |F5V             |    ~     ~          |    1|  267.752   pc  |  -6.1439     +6.1439    |paral   |2020yCat.1350....0G
341 |HD 180830                                                                                                |Star                                  |19 19 28.6881835944 -35 00 05.559426648|003.1694127407477 -20.5193712675713|   1.244 15.420   |8.50     |F3V             |    ~     ~          |    1|  113.187   pc  |  -0.2127     +0.2127    |paral   |2020yCat.1350....0G
342 |CD-35 13390                                                                                              |Star                                  |19 19 29.5796640096 -35 01 14.482212744|003.1512102942145 -20.5286012759422|  -2.282 -6.747   |10.275   |F8              |    ~     ~          |    1| 1031.247   pc  | -16.0584    +16.0584    |paral   |2020yCat.1350....0G
343 |HD 180885                                                                                                |Be Star                               |19 19 39.9943579872 -35 25 17.253474852|002.7596694432824 -20.6946359522258|  4.427 -11.865   |5.579    |B6IIIe          |    ~     ~          |    1|  301.787   pc  | -11.7305    +11.7305    |paral   |2020yCat.1350....0G
344 |CD-35 13411                                                                                              |Star                                  |19 20 50.5421158680 -35 01 10.515657216|003.2500046492543 -20.7889462398819|   5.549 -9.784   |9.68     |K2              |    ~     ~          |    1|  943.040   pc  | -13.9624    +13.9624    |paral   |2020yCat.1350....0G
345 |HD 181322                                                                                                |Star                                  |19 21 29.7942093888 -35 23 36.140909676|002.9188594430747 -21.0377195882383|  16.115 -9.161   |9.93     |F3V             |    ~     ~          |    1|  251.541   pc  |  -0.8921     +0.8921    |paral   |2020yCat.1350....0G
346 |HD 181321                                                                                                |Spectroscopic Binary                  |19 21 29.7277723051 -34 59 00.356331012|003.3336240120570 -20.9033480544026|   68.54 -98.78   |6.48     |G2V             |    ~     ~          |    1|   19.8861  pc  |  -0.1566     +0.1566    |paral   |2018yCat.1345....0G
347 |CD-35 13430                                                                                              |Star                                  |19 21 59.3510577528 -35 41 51.855000180|002.6450934849718 -21.2313032249612| 22.857 -15.375   |9.70     |K0              |    ~     ~          |    1|  431.760   pc  |  -4.0080     +4.0080    |paral   |2020yCat.1350....0G
348 |HD 181452                                                                                                |High Proper Motion Star               |19 22 02.8041094464 -35 52 05.591134812|002.4759809777595 -21.2973565419539| 53.686 -20.470   |8.87     |G3V             |    ~     ~          |    1|  130.898   pc  |  -1.0490     +1.0490    |ST-L    |2020AJ....160...83S
349 |HD 180802                                                                                                |High Proper Motion Star               |19 19 31.0041187992 -36 39 30.715065180|001.4973681122161 -21.0692302142644| 39.231 -95.899   |7.27     |F7V             |    ~     ~          |    1|   49.143   pc  |  -0.0526     +0.0526    |paral   |2020yCat.1350....0G
350 |V* V4412 Sgr                                                                                             |Long-Period Variable Candidate        |19 20 13.4282925624 -36 13 39.829566000|001.9835014295971 -21.0646664153760|  9.475 -10.487   |7.96     |M2III           |    ~     ~          |    1|  599.484   pc  |  -8.8767     +8.8767    |paral   |2020yCat.1350....0G
351 |HD 181038                                                                                                |Star                                  |19 20 18.2355644088 -36 02 55.354924248|002.1705821260769 -21.0219639827541|  2.150 -12.920   |9.30     |A0/1V           |    ~     ~          |    1|  318.279   pc  |  -1.8639     +1.8639    |paral   |2020yCat.1350....0G
352 |HD 180771                                                                                                |High Proper Motion Star               |19 19 21.7360567488 -36 53 40.304724288|001.2472130082371 -21.1159022594614|-125.914 -36.890  |6.92     |K1III/IV        |    ~     ~          |    1|  122.994   pc  |  -0.3207     +0.3207    |paral   |2020yCat.1350....0G
353 |HD 180772                                                                                                |Star                                  |19 19 27.3535753344 -37 39 10.791086148|000.4822965252674 -21.3754317425844|   6.549 -0.547   |9.86     |A2/3II          |    ~     ~          |    0|                |                         |        |                   
354 |HD 181087                                                                                                |Star                                  |19 20 34.5586309992 -37 23 47.958438444|000.8189932055397 -21.5051001659317| -17.253 21.017   |9.11     |G8IV/V          |    ~     ~          |    1|  193.885   pc  |  -0.8834     +0.8834    |paral   |2020yCat.1350....0G
