C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
33  |TYC 3352-875-1                                                                                           |Star                           |05 03 09.3711334176 +50 03 31.990412304|157.9598159995482 +05.1395432744467|  7.675 -14.665    |10.57    |~                 |    ~     ~    
34  |TYC 3352-967-1                                                                                           |Pulsating Variable             |05 01 22.5142958904 +49 44 53.117947680|158.0324231630781 +04.7228942214433|   0.411 -1.859    |10.80    |~                 |    ~     ~    
35  |TYC 3356-61-1                                                                                            |Star                           |05 02 03.9246952416 +51 28 36.141421368|156.7221010240577 +05.8621151089977|  8.041 -16.947    |10.87    |~                 |    ~     ~    
36  |TYC 3356-81-1                                                                                            |Star                           |05 00 46.9147888464 +51 37 10.088088744|156.4861673415488 +05.7906619092269|  4.170 -41.730    |9.96     |~                 |    ~     ~    
37  |TYC 3356-91-1                                                                                            |Star                           |05 01 08.0126430360 +51 30 00.712343376|156.6146771116525 +05.7612524505332|   2.992 -9.501    |10.82    |~                 |    ~     ~    
38  |TYC 3356-335-1                                                                                           |Star                           |05 01 15.1602807000 +51 50 00.877791588|156.3601726205120 +05.9789403081418|  -0.523 -6.021    |10.48    |~                 |    ~     ~    
39  |TYC 3356-647-1                                                                                           |Star                           |05 00 44.0214792264 +51 26 46.063869684|156.6195732034148 +05.6789318830758|   9.629 -2.542    |10.54    |~                 |    ~     ~    
40  |TYC 3356-662-1                                                                                           |Star                           |05 00 25.9013850168 +51 22 25.696076340|156.6482041294772 +05.5974657067602|  -3.063 -7.108    |10.20    |~                 |    ~     ~    
41  |TYC 3356-936-1                                                                                           |Star                           |05 01 18.3835002504 +50 42 13.702290984|157.2655701452448 +05.2973021104037| -0.770 -10.220    |10.95    |~                 |    ~     ~    
42  |TYC 3356-943-1                                                                                           |Star                           |05 00 37.1287683504 +50 41 24.601119612|157.2096472272809 +05.2027500832833|  8.308 -16.958    |10.36    |~                 |    ~     ~    
43  |HD 31663                                                                                                 |Star                           |05 00 02.6204716080 +47 23 41.471819844|159.7605025604480 +03.1060885963238|  2.382 -46.325    |8.99     |K0                |    ~     ~    
44  |HD 31990                                                                                                 |Star                           |05 02 36.6272396976 +49 31 49.907031240|158.3277820017840 +04.7489998453879|  -8.713 -8.026    |7.87     |K0                |    ~     ~    
45  |BD+49 1288                                                                                               |High Proper Motion Star        |05 03 03.8299361208 +49 32 42.739445832|158.3608832904512 +04.8163611845857|-10.912 -88.822    |9.23     |K0                |    ~     ~    
46  |BD+49 1290                                                                                               |Star                           |05 03 38.4159420144 +49 24 34.204148892|158.5261583602539 +04.8086543795520|    6.203 3.579    |10.64    |K0                |    ~     ~    
47  |HD 32212                                                                                                 |Star                           |05 04 02.3232358344 +49 30 35.738279352|158.4851584346179 +04.9209428413365| -5.236 -14.744    |8.38     |B9                |    ~     ~    
48  |HD 32281                                                                                                 |Star                           |05 04 34.2502565088 +49 29 53.105619408|158.5469548344958 +04.9826913190730|   1.093 -2.075    |9.44     |A                 |    ~     ~    
49  |BD+49 1294                                                                                               |Double or Multiple Star        |05 04 36.0927612457 +49 43 55.688343376|158.3624371764304 +05.1276813193126|  9.783 -18.570    |8.50     |A2                |0.0033  0.0    
50  |BD+49 1299                                                                                               |Star                           |05 05 37.4345265192 +49 40 52.496593032|158.5030336417499 +05.2291903873592|   6.130 -4.075    |10.39    |F0                |    ~     ~    
51  |HD 31733                                                                                                 |Star                           |05 00 44.9889403392 +48 48 52.523099964|158.7105104235807 +04.0711831149452|-32.796 -11.949    |8.66     |G0                |    ~     ~    
52  |BD+48 1195                                                                                               |Star                           |05 01 26.9609258112 +48 57 26.882693640|158.6677654447614 +04.2495663198089|   6.156 12.534    |8.74     |K0                |    ~     ~    
53  |HD 31843                                                                                                 |Star                           |05 01 30.4847086968 +48 49 23.486851668|158.7802665072453 +04.1751673582815|   0.486 -4.947    |8.12     |B8                |    ~     ~    
54  |BD+48 1197                                                                                               |Star                           |05 01 29.8584045024 +48 48 35.927719596|158.7896998747706 +04.1657353901706|    1.890 0.582    |9.59     |~                 |    ~     ~    
55  |BD+48 1201                                                                                               |Star                           |05 02 22.4096883960 +48 47 38.461503156|158.8905872567833 +04.2702914334890|  -1.725 -1.476    |9.49     |B8                |    ~     ~    
56  |HD 32089                                                                                                 |Star                           |05 03 07.7252781744 +48 32 07.308621564|159.1725354932983 +04.2120419723403|  -1.105 -3.176    |8.91     |A0                |    ~     ~    
57  |BD+48 1206                                                                                               |Star                           |05 03 27.4608361008 +49 06 09.536349924|158.7530962225004 +04.5991515439846|   2.013 -1.327    |10.85    |A2                |    ~     ~    
58  |BD+48 1207                                                                                               |High Proper Motion Star        |05 03 32.6689566576 +48 56 55.923977580|158.8844824044010 +04.5173112190330| 22.205 -77.160    |9.97     |K0                |    ~     ~    
59  |BD+48 1210                                                                                               |Star                           |05 04 45.6456907128 +48 59 43.192002408|158.9683321455576 +04.7044298065238|   39.345 8.913    |9.18     |K0                |    ~     ~    
60  |HD 32458                                                                                                 |Star                           |05 05 50.4227635512 +48 33 02.683153692|159.4320115495142 +04.5791058652112|    0.240 0.427    |9.24     |A2                |    ~     ~    
61  |HD 32499                                                                                                 |Star                           |05 06 05.4034204800 +48 39 34.895227644|159.3694136306395 +04.6774939421833| -2.027 -10.377    |7.98     |A0                |    ~     ~    
62  |BD+48 1215                                                                                               |Spectroscopic Binary           |05 06 09.7756340904 +48 56 15.365954868|159.1534112767294 +04.8536819359814| 12.262 -27.752    |10.08    |F2                |    ~     ~    
63  |HD 32538                                                                                                 |Star                           |05 06 18.8358478272 +48 33 38.361593052|159.4712055880461 +04.6477517984815|   0.572 -0.358    |8.92     |B9                |    ~     ~    
64  |BD+48 1217                                                                                               |Star                           |05 06 22.1447313648 +48 28 28.284195360|159.5458822597762 +04.6034585774437|  15.795 -8.120    |9.10     |K0                |    ~     ~    
65  |BD+48 1220                                                                                               |Post-AGB Star                  |05 07 50.2990039704 +48 24 09.438598872|159.7497785974065 +04.7559490521565|   2.452 -2.367    |9.74     |A4Ia              |    ~     ~    
66  |BD+48 1221                                                                                               |Star                           |05 07 56.6319517296 +48 23 17.026233576|159.7719839163075 +04.7613583307422|   1.237 -2.165    |9.64     |A0                |    ~     ~    
67  |BD+48 1223                                                                                               |Star                           |05 08 07.3281569040 +48 17 30.575946120|159.8672819765323 +04.7279004926029| -1.034 -10.711    |10.25    |K2                |    ~     ~    
68  |BD+47 1085                                                                                               |Star                           |05 01 15.6410 +47 16 56.188            |159.9762980 +03.1996713            |  9.795 -35.830    |9.90     |F8                |    ~     ~    
69  |BD+47 1086                                                                                               |Star                           |05 01 57.6574375536 +47 30 41.536081404|159.8672475692032 +03.4336654310429|  5.207 -31.530    |9.98     |F5                |    ~     ~    
70  |BD+47 1088                                                                                               |Star                           |05 02 56.8179336072 +47 55 20.288967924|159.6422032998580 +03.8154891365419|  -6.742 -5.439    |9.08     |K5                |    ~     ~    
71  |HD 32233                                                                                                 |Star                           |05 04 03.0260111928 +47 39 53.418463056|159.9600092831226 +03.8065664805855| -7.535 -11.542    |7.120    |K0                |    ~     ~    
72  |BD+47 1092                                                                                               |Star                           |05 04 55.9424308152 +48 03 33.575361732|159.7345426612245 +04.1628154320550|-12.821 -12.953    |9.70     |F0                |    ~     ~    
73  |HD 32618                                                                                                 |Star                           |05 06 51.5061420912 +47 59 34.267026336|159.9818130914602 +04.3803489652592| -10.701 -5.577    |9.26     |A2                |    ~     ~    
74  |HD 32750                                                                                                 |Star                           |05 07 45.8641909464 +47 47 52.417172832|160.2296031459660 +04.3857061563373|  -2.896 -3.445    |9.27     |A0                |    ~     ~    
75  |BD+47 1099                                                                                               |Star                           |05 08 24.6873590088 +47 20 41.893118988|160.6596351825716 +04.2036078736941|   0.081 -7.311    |10.42    |K0                |    ~     ~    
76  |BD+46 961                                                                                                |Spectroscopic Binary           |05 07 18.3661924536 +47 06 30.466732860|160.7377300292967 +03.9119164971525|-24.053 -18.775    |8.93     |F0                |    ~     ~    
77  |IRAS 05015+4851                                                                                          |Star                           |05 05 23.7890905512 +48 55 30.715999104|159.0875518461749 +04.7455490225100|  -1.919 -6.295    |10.08    |~                 |    ~     ~    
78  |IRAS 05036+4822                                                                                          |Star                           |05 07 23.9636663712 +48 26 34.953212400|159.6736593794456 +04.7215682720449|   4.802 -1.908    |9.53     |~                 |    ~     ~    
