C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
259 |TYC 3345-622-1                                                                                           |Star                           |05 09 54.5371008024 +46 04 57.286752204|161.8306450716851 +03.6607436951132|    1.482 4.796    |10.57    |~                 |    ~     ~    
260 |TYC 3345-625-1                                                                                           |Star                           |05 06 00.4925827776 +46 39 23.665372164|160.9668305900300 +03.4634548767227|    1.817 1.204    |10.83    |~                 |    ~     ~    
261 |TYC 3345-855-1                                                                                           |Star                           |05 06 46.9791531744 +46 24 22.083258996|161.2476092881377 +03.4195953710698| -8.469 -20.535    |10.51    |~                 |    ~     ~    
262 |TYC 3345-938-1                                                                                           |Star                           |05 06 02.3689611072 +45 53 46.393771740|161.5784063655533 +03.0103150120918|   4.454 -9.969    |10.41    |~                 |    ~     ~    
263 |TYC 3345-955-1                                                                                           |Star                           |05 09 48.6514074696 +46 44 28.208320620|161.2887092097785 +04.0371154947787|   0.966 -2.514    |10.46    |~                 |    ~     ~    
264 |TYC 3345-987-1                                                                                           |Star                           |05 10 08.6199161808 +46 40 19.609419144|161.3783602587976 +04.0422556593376|  1.742 -13.989    |10.82    |~                 |    ~     ~    
265 |TYC 3345-1007-1                                                                                          |Star                           |05 05 11.6416441776 +46 41 36.388523436|160.8530680258516 +03.3741901311706|  3.438 -11.529    |10.29    |~                 |    ~     ~    
266 |TYC 3345-1018-1                                                                                          |Star                           |05 06 20.1378145608 +45 33 26.759302380|161.8805223799648 +02.8477962543160|  -6.375 -5.974    |10.45    |~                 |    ~     ~    
267 |TYC 3345-1019-1                                                                                          |Star                           |05 06 37.7743655520 +46 45 44.566416720|160.9461742512519 +03.6121681514607|  -0.818 -1.111    |10.76    |~                 |    ~     ~    
268 |TYC 3345-1036-1                                                                                          |Star                           |05 04 00.0716302464 +45 43 16.168486116|161.5031250210855 +02.6215221056060|   1.013 -2.748    |10.9     |~                 |    ~     ~    
269 |TYC 3345-1106-1                                                                                          |Star                           |05 11 31.0660222584 +45 52 16.721341068|162.1668909129316 +03.7616017710975|   1.892 -7.309    |10.43    |~                 |    ~     ~    
270 |TYC 3345-1149-1                                                                                          |Star                           |05 10 11.4898566264 +46 28 19.611260868|161.5449150009989 +03.9306269430827|   9.132 -7.798    |10.11    |~                 |    ~     ~    
271 |TYC 3345-1186-1                                                                                          |Star                           |05 08 21.4846216488 +45 43 37.596409356|161.9564126079209 +03.2325072034159|   -1.981 1.456    |10.10    |~                 |    ~     ~    
272 |TYC 3345-1208-1                                                                                          |Star                           |05 10 36.0917896656 +46 03 27.847330848|161.9219167378982 +03.7429090539663|    0.381 1.073    |9.80     |~                 |    ~     ~    
273 |TYC 3345-1286-1                                                                                          |Star                           |05 07 05.9321502312 +45 55 12.393235200|161.6701078292957 +03.1720128178394|  6.375 -31.699    |10.54    |~                 |    ~     ~    
274 |TYC 3345-1323-1                                                                                          |Star                           |05 07 55.7821546416 +46 27 16.341773436|161.3271876707372 +03.6068805177908|   1.496 -2.590    |10.73    |~                 |    ~     ~    
275 |TYC 3345-1435-1                                                                                          |Star                           |05 09 53.2770595896 +46 27 06.442143516|161.5303364382403 +03.8764599665689| -5.579 -10.575    |10.11    |~                 |    ~     ~    
276 |TYC 3345-1462-1                                                                                          |Star                           |05 10 49.2522621816 +45 42 52.795177416|162.2219411944453 +03.5711371197865|    3.079 1.694    |10.50    |~                 |    ~     ~    
277 |TYC 3345-1496-1                                                                                          |Star                           |05 06 28.0416693240 +45 46 21.415059480|161.7221808043847 +02.9955330093625|  -1.699 -3.148    |10.05    |~                 |    ~     ~    
278 |TYC 3345-1500-1                                                                                          |Star                           |05 10 50.1472555008 +45 43 59.540978892|162.2084863929410 +03.5841832282235|  -3.429 -1.487    |10.53    |~                 |    ~     ~    
279 |TYC 3345-1558-1                                                                                          |Star                           |05 07 12.2398789536 +45 45 42.201497304|161.8080924667823 +03.0917717542583|  1.651 -22.592    |10.69    |~                 |    ~     ~    
280 |TYC 3345-1627-1                                                                                          |Star                           |05 03 54.4247078880 +46 18 08.835387408|161.0306114612769 +02.9612773070268|   -1.994 0.943    |10.67    |~                 |    ~     ~    
281 |GSC 03345-01688                                                                                          |Double or Multiple Star        |05 06 47.852352 +45 51 08.56620        |161.692900788 +03.089435145        |     21.8 -26.6    |10.726   |~                 |    ~     ~    
282 |TYC 3345-1822-1                                                                                          |Star                           |05 04 12.2423197200 +45 57 18.353636532|161.3383786128318 +02.7915086504260| 28.849 -35.855    |10.82    |~                 |    ~     ~    
283 |TYC 3345-1883-1                                                                                          |Star                           |05 07 17.9950848792 +46 16 19.446375468|161.4086904757020 +03.4107101757917|  2.913 -10.883    |10.33    |~                 |    ~     ~    
284 |TYC 3345-1992-1                                                                                          |Star                           |05 11 06.9338923656 +45 20 41.708609484|162.5515105057417 +03.3946123851361|   1.080 -2.745    |10.68    |~                 |    ~     ~    
285 |TYC 3345-2151-1                                                                                          |Star                           |05 05 34.0687427760 +46 49 27.104778912|160.7872268254018 +03.5040958204905|   3.244 -7.666    |10.57    |~                 |    ~     ~    
286 |TYC 3345-2314-1                                                                                          |Star                           |05 06 18.2699687952 +45 59 07.335131928|161.5348359000906 +03.1007447730368|    0.847 0.258    |10.45    |~                 |    ~     ~    
287 |TYC 3345-2390-1                                                                                          |Star                           |05 08 13.4892416304 +45 27 31.995759996|162.1580769673823 +03.0537882415446|   0.720 -4.379    |10.94    |~                 |    ~     ~    
288 |TYC 3345-2410-1                                                                                          |Star                           |05 12 42.4908105744 +45 15 03.341593620|162.7926585759861 +03.5658868545886| -0.644 -10.898    |10.54    |~                 |    ~     ~    
289 |TYC 3345-2443-1                                                                                          |High Proper Motion Star        |05 11 03.8078647392 +45 54 43.311680928|162.0872502067988 +03.7217088376579| 16.620 -67.235    |9.80     |~                 |    ~     ~    
290 |TYC 3345-2555-1                                                                                          |Star                           |05 09 17.4712011696 +45 11 36.029482440|162.4834806859196 +03.0461933811493|  7.667 -17.553    |10.49    |~                 |    ~     ~    
291 |TYC 3345-2794-1                                                                                          |Star                           |05 10 30.5820548160 +45 38 28.640147388|162.2490884361681 +03.4839353557547|  -0.908 -1.940    |10.17    |~                 |    ~     ~    
292 |TYC 3345-2830-1                                                                                          |Star                           |05 04 37.6520 +45 28 17.959            |161.7682482 +02.5574216            |   1.977 -0.907    |10.38    |~                 |    ~     ~    
293 |TYC 3345-2855-1                                                                                          |Star                           |05 10 52.5235651512 +45 09 59.448361896|162.6707792444860 +03.2551925936502|  -7.684 -5.518    |9.82     |~                 |    ~     ~    
294 |TYC 3345-2904-1                                                                                          |Star                           |05 10 33.5453369424 +45 35 24.588180528|162.2955162432362 +03.4606808193531|   1.584 -4.668    |9.51     |~                 |    ~     ~    
295 |TYC 3345-2915-1                                                                                          |Star                           |05 06 08.2728809760 +45 12 16.618690656|162.1417451483305 +02.6077904458402|   2.804 -5.368    |10.64    |~                 |    ~     ~    
296 |TYC 3345-2942-1                                                                                          |Star                           |05 12 06.4896375288 +45 07 08.712817356|162.8374442649875 +03.4029088154065|  -0.322 -3.167    |10.64    |~                 |    ~     ~    
297 |TYC 3345-3236-1                                                                                          |Star                           |05 11 09.8148476664 +45 50 17.812531500|162.1572415012085 +03.6923084173879|  0.698 -27.076    |10.56    |~                 |    ~     ~    
298 |TYC 3345-3252-1                                                                                          |Star                           |05 07 07.4078291040 +45 41 14.644405572|161.8592446880368 +03.0359850880581|   2.024 -5.549    |9.78     |~                 |    ~     ~    
299 |TYC 3345-3282-1                                                                                          |Star                           |05 07 53.6382680472 +45 26 57.071443668|162.1311702575038 +03.0014564177338| 13.870 -25.256    |10.94    |~                 |    ~     ~    
300 |TYC 3345-3314-1                                                                                          |Chemically Peculiar Star       |05 08 10.8085133496 +45 33 22.705854336|162.0751186290754 +03.1056496742446|   1.230 -2.699    |10.81    |B8III-IVHgMn      |    ~     ~    
301 |TYC 3345-3334-1                                                                                          |Star                           |05 10 32.4658462296 +45 04 26.068740888|162.7106901037688 +03.1528915471551|  -0.929 -8.176    |10.31    |~                 |    ~     ~    
302 |TYC 3345-3354-1                                                                                          |Star                           |05 11 34.5692663808 +45 03 21.534805224|162.8332238941349 +03.2898505758374|    0.539 4.464    |9.73     |~                 |    ~     ~    
303 |TYC 3349-296-1                                                                                           |Star                           |05 05 23.5226696856 +46 56 31.122029724|160.6749182786426 +03.5510990995347|  8.873 -15.279    |9.82     |~                 |    ~     ~    
304 |TYC 3349-2297-1                                                                                          |Star                           |05 10 22.0771142592 +47 04 16.428128124|161.0782063227295 +04.3089926490544|  6.892 -18.073    |10.46    |~                 |    ~     ~    
305 |TYC 3349-2309-1                                                                                          |High Proper Motion Star        |05 10 08.1574795608 +47 04 12.939525480|161.0555917107845 +04.2765453329935|123.977 -75.928    |9.61     |~                 |    ~     ~    
306 |TYC 3349-2453-1                                                                                          |High Proper Motion Star        |05 08 49.0168114968 +47 01 27.175557540|160.9592708497925 +04.0682714912195| 92.439 -80.009    |10.80    |~                 |    ~     ~    
307 |TYC 3349-2589-1                                                                                          |Star                           |05 07 28.3871615592 +47 00 12.941326440|160.8390384287398 +03.8720364604854|   1.776 -6.932    |9.72     |~                 |    ~     ~    
308 |TYC 3349-2650-1                                                                                          |High Proper Motion Star        |05 07 06.4244421456 +46 59 23.979485400|160.8125529675687 +03.8138798412097| 16.439 -89.916    |10.68    |~                 |    ~     ~    
309 |TYC 3349-2678-1                                                                                          |Star                           |05 07 31.4599867776 +46 59 01.651597368|160.8601835743730 +03.8672062754630|  -1.321 -1.887    |10.29    |~                 |    ~     ~    
310 |TYC 3349-2711-1                                                                                          |High Proper Motion Star        |05 05 31.5975282600 +46 57 49.648044672|160.6713421798669 +03.5825714057451|55.039 -114.038    |10.53    |~                 |    ~     ~    
311 |TYC 3349-2727-1                                                                                          |Star                           |05 07 50.6790078408 +46 57 38.415622320|160.9114747045776 +03.8972336866493|   3.295 -3.751    |9.46     |~                 |    ~     ~    
312 |GEN# +6.40802059                                                                                         |Star                           |05 14 24.0 +44 29 18                   |163.5881 +03.3635                  |            ~ ~    |10.53    |~                 |    ~     ~    
313 |BD+45 1050                                                                                               |Emission-line Star             |05 09 48.5489163456 +45 50 50.365826916|162.0102351842464 +03.5073829008325|   2.736 -5.407    |10.9     |~                 |    ~     ~    
314 |IRC +40116                                                                                               |Long-Period Variable Candidate |05 09 58.6111228896 +44 20 28.923346500|163.2421867641693 +02.6382075356655|   3.232 -6.256    |10.55    |~                 |    ~     ~    
315 |TYC 3345-2732-1                                                                                          |Star                           |05 05 43.4214 +45 15 52.161            |162.0499327 +02.5856607            |       1.1 -3.5    |10.61    |~                 |    ~     ~    
316 |HD 237339                                                                                                |Star                           |05 00 14.4262865880 +58 40 03.765566604|150.7769327406888 +10.0000646144435|   -2.350 0.439    |10.00    |B8                |    ~     ~    
317 |BD+58 795                                                                                                |Star                           |05 00 32.5359344880 +58 22 31.377870192|151.0382349461418 +09.8559810208948| -4.100 -31.638    |10.17    |G5                |    ~     ~    
318 |HD 31646                                                                                                 |Star                           |05 01 06.9768114264 +58 39 56.787526116|150.8478383139063 +10.0900303196658| 12.866 -45.768    |7.37     |G9III-IV          |    ~     ~    
319 |HD 31756                                                                                                 |Star                           |05 01 59.2709160072 +58 38 48.879794364|150.9319608640971 +10.1696813222698|  5.936 -16.040    |8.80     |A2                |    ~     ~    
320 |TYC 3746-365-1                                                                                           |High Proper Motion Star        |05 00 24.7565293272 +59 22 36.500387736|150.2139184588038 +10.4431248173970| 8.404 -100.407    |10.42    |~                 |    ~     ~    
321 |TYC 3746-566-1                                                                                           |Star                           |05 00 00.2564266104 +58 43 54.526699992|150.7061905700521 +10.0140772085017|  17.597 25.377    |10.58    |~                 |    ~     ~    
322 |TYC 3746-688-1                                                                                           |Star                           |05 01 23.2588418880 +58 13 37.109397036|151.2263692089786 +09.8558992449511|   3.087 -3.955    |10.55    |~                 |    ~     ~    
323 |TYC 3746-868-1                                                                                           |Star                           |05 01 42.6273326472 +58 14 13.217691264|151.2439986476140 +09.8959515538470|  4.828 -10.691    |10.74    |~                 |    ~     ~    
324 |GSC 03746-01562                                                                                          |Double or Multiple Star        |05 01 43.219488 +58 47 12.12108        |150.796892036 +10.225137336        |      -6.4 -6.2    |9.972    |~                 |    ~     ~    
325 |TYC 3746-1604-1                                                                                          |Pulsating Variable             |05 01 44.0194112472 +58 49 23.387483856|150.7681950843503 +10.2482677583026| 11.971 -10.972    |10.04    |B8III-IVSi        |    ~     ~    
326 |TYC 3746-2112-1                                                                                          |Star                           |05 02 00.5940944808 +58 35 03.238275840|150.9848306954780 +10.1346324293932|   3.675 -4.139    |10.71    |~                 |    ~     ~    
327 |HD 31549                                                                                                 |Double or Multiple Star        |05 00 16.4368095816 +57 54 48.874348764|151.3909789468077 +09.5499988138901|  4.771 -13.725    |8.92     |A0                |0.0017  0.0    
328 |HD 237340                                                                                                |Star                           |05 02 44.3271990264 +57 45 11.738220048|151.7204774181759 +09.7167139603723|    4.040 0.058    |9.08     |K5                |    ~     ~    
329 |HD 237348                                                                                                |Star                           |05 04 37.5603625536 +57 28 07.602044664|152.1049567121974 +09.7513871826842| -6.874 -23.354    |9.86     |K5                |    ~     ~    
330 |HD 31690                                                                                                 |Spectroscopic Binary           |05 01 07.7079141600 +56 16 10.883744580|152.7906165012126 +08.6522801364061|  6.638 -40.117    |8.64     |G5                |    ~     ~    
331 |HD 31757                                                                                                 |Star                           |05 01 46.4614912176 +57 08 00.232424160|152.1457919120159 +09.2422899048808|   1.451 -8.702    |7.49     |G9III             |    ~     ~    
332 |BD+56 995                                                                                                |Star                           |05 01 54.7327299264 +56 49 27.584824620|152.4077549340404 +09.0720263599417|   -1.495 1.258    |10.40    |A5                |    ~     ~    
333 |HD 237345                                                                                                |Star                           |05 03 42.0191196384 +56 40 53.467865904|152.6720236479141 +09.1832888002993|  -9.155 -5.654    |9.61     |F0                |    ~     ~    
334 |HD 32404                                                                                                 |Star                           |05 06 16.4995308528 +56 36 45.467293032|152.9404217006875 +09.4278817654321|  7.006 -26.971    |8.81     |A3                |    ~     ~    
335 |HD 237351                                                                                                |Star                           |05 06 39.5926496304 +56 54 08.005754160|152.7341369083981 +09.6406281409843| -8.758 -13.132    |9.85     |A5                |    ~     ~    
336 |HD 32748                                                                                                 |Star                           |05 08 39.0367274448 +56 05 54.044349144|153.5583166433441 +09.3937214163543| -5.909 -14.397    |8.33     |A0                |    ~     ~    
337 |V* VY Cam                                                                                                |Mira Variable                  |05 06 08.0435037456 +56 38 27.625328016|152.9056019580611 +09.4288982471756| -11.418 -4.965    |10.72    |M6                |    ~     ~    
338 |HD 31779                                                                                                 |Variable Star                  |05 01 43.5885453384 +55 34 30.047894040|153.4022088358979 +08.3006050473244| 26.644 -24.454    |7.38     |A3                |    ~     ~    
339 |HD 237342                                                                                                |Star                           |05 02 43.3291167960 +55 57 21.367791612|153.1793119157490 +08.6413495660058|    0.436 1.503    |9.32     |F2                |    ~     ~    
340 |HD 237352                                                                                                |High Proper Motion Star        |05 06 52.0326638832 +55 52 01.846621272|153.6003812837715 +09.0561906763781|47.852 -114.418    |9.33     |G5                |    ~     ~    
341 |HD 32629                                                                                                 |Star                           |05 07 46.1861000208 +55 45 32.970154968|153.7642910314973 +09.0954987825833| 25.633 -14.413    |6.930    |K0                |    ~     ~    
342 |HD 32808                                                                                                 |Star                           |05 09 02.1370556242 +55 56 29.981325732|153.7191817717696 +09.3462641995131| -12.876 -1.038    |8.99     |F2                |    ~     ~    
343 |IRAS 04589+5639                                                                                          |Star                           |05 03 07.0106567952 +56 43 41.792111796|152.5856640848506 +09.1468280124075|   0.864 -2.273    |10.15    |~                 |    ~     ~    
344 |BD+55 951                                                                                                |High Proper Motion Star        |05 00 53.6212288200 +56 03 41.355460800|152.9386163832058 +08.5006245926237| 36.935 -69.252    |10.60    |~                 |    ~     ~    
345 |TYC 3738-248-1                                                                                           |Star                           |05 01 58.1881587000 +55 49 30.391225176|153.2211442095893 +08.4784711200468|  -4.095 -2.098    |10.23    |~                 |    ~     ~    
346 |TYC 3738-388-1                                                                                           |Star                           |05 00 31.0948187280 +55 37 48.486648180|153.2536951639771 +08.1978698760799|   8.751 -9.970    |10.49    |~                 |    ~     ~    
347 |TYC 3738-633-1                                                                                           |Star                           |05 03 30.0386718024 +55 58 39.810129276|153.2275187632195 +08.7416922698553|  -2.165 -0.784    |9.97     |~                 |    ~     ~    
348 |TYC 3738-704-1                                                                                           |Emission-line Star             |05 03 42.2276692296 +55 47 06.732677004|153.4010082274033 +08.6496845166629|  -0.667 -1.772    |10.51    |~                 |    ~     ~    
349 |TYC 3738-1407-1                                                                                          |Star                           |05 05 31.3620267624 +55 41 10.333423176|153.6354634852311 +08.7967898133302|   2.500 -1.145    |10.99    |~                 |    ~     ~    
350 |TYC 3739-76-1                                                                                            |Star                           |05 07 53.7654574944 +56 08 07.822383468|153.4655448137794 +09.3299959022386|  -4.476 -1.150    |10.41    |~                 |    ~     ~    
351 |TYC 3739-365-1                                                                                           |Spectroscopic Binary           |05 09 28.8832257792 +55 38 22.734476916|154.0050839688129 +09.2216655595815| -2.079 -10.712    |10.98    |~                 |    ~     ~    
352 |TYC 3742-637-1                                                                                           |Star                           |05 00 46.2455356680 +56 33 38.551081392|152.5255582741692 +08.7882875089141|  25.746 11.188    |9.97     |~                 |    ~     ~    
353 |TYC 3742-685-1                                                                                           |Star                           |05 05 24.9418334304 +56 53 41.291210580|152.6389097381626 +09.4988785580214|  -1.090 -2.011    |10.24    |~                 |    ~     ~    
354 |TYC 3742-798-1                                                                                           |High Proper Motion Star        |05 05 33.2973137784 +57 09 32.770131516|152.4337011385651 +09.6699639507149|59.655 -103.693    |9.77     |~                 |    ~     ~    
355 |TYC 3742-1028-1                                                                                          |Star                           |05 03 01.1431344336 +56 30 55.358553636|152.7505275005803 +09.0089757881891|   -0.156 0.483    |10.51    |~                 |    ~     ~    
356 |TYC 3742-1438-1                                                                                          |Star                           |05 04 26.2154749752 +58 06 05.442308892|151.5714754224121 +10.1047216712576|   0.041 -4.921    |10.41    |~                 |    ~     ~    
357 |TYC 3742-1468-1                                                                                          |Star                           |05 03 23.4621334752 +57 59 29.699334996|151.5783060312160 +09.9281212077565| -1.382 -16.020    |10.58    |~                 |    ~     ~    
358 |TYC 3742-1490-1                                                                                          |Star                           |05 02 06.1001977272 +57 55 29.559903708|151.5294036182374 +09.7509948070120|   5.286 -5.277    |10.78    |~                 |    ~     ~    
359 |TYC 3742-1913-1                                                                                          |Star                           |05 02 33.7277442264 +57 23 45.023261820|151.9971854337004 +09.4846084346222|   7.303 -3.860    |10.99    |~                 |    ~     ~    
360 |TYC 3742-1948-1                                                                                          |Star                           |05 02 56.9520378264 +57 47 30.934713408|151.7058978933197 +09.7622715685176|  -2.824 -5.229    |10.46    |~                 |    ~     ~    
361 |TYC 3742-2165-1                                                                                          |Star                           |05 01 21.3388114920 +57 47 07.285246620|151.5825995710625 +09.5880128070528|   10.229 1.210    |10.68    |~                 |    ~     ~    
362 |TYC 3742-2207-1                                                                                          |Star                           |05 05 30.7390903344 +57 45 51.410434788|151.9336411105342 +10.0214259854258|  8.915 -16.536    |9.75     |~                 |    ~     ~    
363 |TYC 3742-2237-1                                                                                          |Star                           |05 05 06.6730258440 +57 42 44.931815820|151.9441821090076 +09.9476668596776|    8.930 0.289    |10.04    |~                 |    ~     ~    
364 |TYC 3743-235-1                                                                                           |Star                           |05 07 04.4575726680 +56 37 33.479645952|152.9948924822650 +09.5247261837453|  3.955 -14.213    |10.95    |~                 |    ~     ~    
365 |HD 233046                                                                                                |Star                           |05 01 01.4335321632 +53 34 41.877160536|154.9446917968869 +07.0120748389287| -4.839 -16.170    |9.79     |A0                |    ~     ~    
366 |BD+52 910                                                                                                |High Proper Motion Star        |05 01 39.0218180400 +53 07 22.647376344|155.3664717343467 +06.8102002099657| 11.979 -68.527    |10.73    |~                 |    ~     ~    
367 |V* CK Cam                                                                                                |Classical Cepheid Variable     |05 06 31.6433574576 +55 21 12.701178252|153.9920465020645 +08.7150176310740|   4.212 -2.963    |7.59     |F8II+             |    ~     ~    
368 |HD 31677                                                                                                 |Star                           |05 00 50.4513657456 +54 35 04.105064184|154.1218337480614 +07.6011164695676| -21.876 -2.591    |8.65     |F5                |    ~     ~    
369 |HD 233045                                                                                                |Star                           |05 00 58.5796711008 +54 48 35.045847468|153.9529569812736 +07.7531538365036|   7.318 11.327    |9.21     |F0                |    ~     ~    
370 |BD+54 847                                                                                                |Star                           |05 00 57.2815815888 +54 31 47.648843076|154.1757152027720 +07.5811709750434|  -0.871 -1.322    |9.82     |A0                |    ~     ~    
371 |HD 233049                                                                                                |Star                           |05 01 50.2349651976 +54 37 22.300193352|154.1790382339135 +07.7392384205471|  8.913 -10.029    |9.39     |K7                |    ~     ~    
372 |HD 233052                                                                                                |Star                           |05 02 25.4999520408 +54 22 28.926167988|154.4307435185144 +07.6577181267519|   -9.441 0.188    |9.17     |F8                |    ~     ~    
373 |HD 31893                                                                                                 |Double or Multiple Star        |05 02 31.2770 +54 49 50.490            |154.0716257 +07.9432555            |-35.413 -63.652    |9.20     |K0                |    ~     ~    
374 |HD 32016                                                                                                 |High Proper Motion Star        |05 03 17.4558809088 +54 54 53.087278068|154.0708355462731 +08.0822587415188|21.467 -110.860    |8.17     |G0                |    ~     ~    
375 |HD 233059                                                                                                |Star                           |05 03 47.2233883656 +54 45 21.037877100|154.2425841892964 +08.0443709561981|   3.622 -9.591    |9.35     |K5                |    ~     ~    
376 |HD 32156                                                                                                 |Star                           |05 04 08.5346440440 +54 51 51.981489648|154.1855047096212 +08.1502868220206| 15.953 -37.063    |7.81     |A2                |    ~     ~    
377 |HD 32232                                                                                                 |Star                           |05 04 40.0046396856 +54 59 22.668485568|154.1293212903466 +08.2854082603049|  -6.384 -7.790    |8.61     |A0                |    ~     ~    
378 |HD 32444                                                                                                 |Star                           |05 06 20.7228801192 +55 07 13.224033912|154.1669869904848 +08.5564754054760|  4.535 -36.255    |8.52     |kA8hF3mF5(III+)Eu |    ~     ~    
379 |HD 32445                                                                                                 |Star                           |05 06 22.0987685352 +54 24 18.675476244|154.7519901922918 +08.1364303305603|   -0.280 2.194    |7.140    |G5                |    ~     ~    
380 |HD 233070                                                                                                |High Proper Motion Star        |05 06 36.5016270912 +54 19 02.228168352|154.8444807672733 +08.1126431572956|10.049 -123.644    |9.20     |G0                |    ~     ~    
381 |HD 32652                                                                                                 |Double or Multiple Star        |05 07 52.39893 +54 59 11.9673          |154.40653842 +08.65468986          |   -6.22 -12.77    |8.08     |B9                |    ~     ~    
382 |BD+54 864                                                                                                |Star                           |05 09 43.1560791816 +54 49 48.014911956|154.6919706099281 +08.7784846022575| 21.179 -15.121    |9.83     |~                 |    ~     ~    
383 |HD 32974                                                                                                 |Star                           |05 09 59.6485605624 +54 32 16.666904544|154.9556585883894 +08.6409013215222|    0.688 2.750    |9.14     |A0                |    ~     ~    
384 |LS V +54 15                                                                                              |Star                           |05 10 26.1626940480 +54 31 24.976103808|155.0051574116247 +08.6847315412400|   3.007 -6.606    |10.53    |B                 |    ~     ~    
385 |BD+54 866                                                                                                |Pulsating Variable             |05 11 21.2224832544 +54 39 38.268358056|154.9700085228793 +08.8724481671585|   7.574 -6.856    |9.32     |A5                |    ~     ~    
386 |BD+53 855                                                                                                |Star                           |05 09 14.2433171616 +54 05 16.818488412|155.2601927060691 +08.2888915756940|  -1.188 -1.688    |10.76    |K0                |    ~     ~    
387 |BD+53 840                                                                                                |Star                           |05 01 48.1700853744 +53 54 09.560058840|154.7549391760460 +07.3002152763289| 10.309 -10.077    |9.40     |K2                |    ~     ~    
388 |HD 233053                                                                                                |Star                           |05 02 47.0403001704 +53 45 32.065400196|154.9585774661344 +07.3289211969235|  -5.020 -1.036    |8.44     |K5                |    ~     ~    
389 |HD 32067                                                                                                 |Variable Star                  |05 03 29.7377950320 +53 30 49.771686096|155.2199366091795 +07.2657958774501| 10.830 -14.659    |8.58     |K2                |    ~     ~    
390 |HD 233061                                                                                                |Spectroscopic Binary           |05 03 43.8711805104 +53 31 10.689842208|155.2364435407466 +07.2972870608706|   2.052 -4.013    |9.41     |K0                |    ~     ~    
391 |HD 32126                                                                                                 |Star                           |05 03 49.4502926304 +53 14 20.533920900|155.4710825693385 +07.1399915875379| 13.103 -32.195    |8.81     |F0                |    ~     ~    
392 |HD 32187                                                                                                 |Star                           |05 04 11.2758297864 +53 24 53.340975180|155.3621045392607 +07.2888524779878|  3.351 -20.957    |9.52     |A0                |    ~     ~    
393 |BD+53 848                                                                                                |Star                           |05 05 23.4153894792 +53 20 16.833023124|155.5322186216946 +07.3867603107682| -3.495 -28.813    |9.79     |K2                |    ~     ~    
394 |HD 233067                                                                                                |Star                           |05 05 26.2869292056 +53 22 46.515060732|155.5028351988811 +07.4172675389755|  -0.469 -3.319    |9.59     |K5                |    ~     ~    
395 |HD 32519                                                                                                 |Star                           |05 06 42.6241863648 +53 30 11.506081176|155.5160277073315 +07.6431041345819|  -2.651 -9.095    |8.65     |B9                |    ~     ~    
396 |HD 233073                                                                                                |Spectroscopic Binary           |05 06 51.0792449760 +53 41 40.694710056|155.3727893152546 +07.7732529728080|  -0.364 -4.862    |8.91     |K5                |    ~     ~    
397 |HD 32681                                                                                                 |Star                           |05 07 51.5550311736 +53 12 41.572135008|155.8556077064595 +07.6090827403790| 25.729 -32.825    |8.28     |K2                |    ~     ~    
398 |BD+53 856                                                                                                |Star                           |05 09 37.8163157712 +53 44 26.689669692|155.5790947663439 +08.1329726043915| 21.816 -22.115    |9.74     |G5                |    ~     ~    
399 |HD 33002                                                                                                 |Star                           |05 10 07.7053215360 +53 42 35.236488636|155.6479183469333 +08.1747618523013|  -7.449 -2.399    |7.48     |B9                |    ~     ~    
400 |HD 33201                                                                                                 |Star                           |05 11 30.0753696360 +53 14 04.909777620|156.1583679527367 +08.0648524404409| 12.080 -34.967    |7.50     |F0                |    ~     ~    
401 |HD 33267                                                                                                 |Star                           |05 11 55.6294509648 +53 27 07.602136884|156.0164842359454 +08.2425709593395|   -0.758 4.157    |7.060    |K0                |    ~     ~    
402 |HD 233085                                                                                                |Star                           |05 13 24.2793288576 +53 38 05.027892684|155.9934335173122 +08.5271824285924|  -9.147 -3.303    |10.14    |G5                |    ~     ~    
403 |HD 233086                                                                                                |Star                           |05 13 33.5557018992 +53 34 50.608996896|156.0514620821792 +08.5149727537257|  5.889 -14.281    |8.89     |G5                |    ~     ~    
404 |BD+52 911                                                                                                |High Proper Motion Star        |05 03 23.9019726858 +53 07 42.484047461|155.5215286505507 +07.0225660840000|1302.119 -1537.644 |10.059   |M0.5V             |    ~     ~    
405 |AG+52 479                                                                                                |Star                           |05 03 26.3240 +52 52 30.533            |155.7290631 +06.8750274            |   1.553 -2.719    |10.34    |A2                |    ~     ~    
406 |HD 32315                                                                                                 |Star                           |05 05 09.5954047944 +53 11 04.747324776|155.6356316556746 +07.2676615468212|    0.704 1.893    |9.24     |A2                |    ~     ~    
407 |HD 233071                                                                                                |High Proper Motion Star        |05 06 27.9440024352 +53 00 40.789187460|155.8936618489751 +07.3220400814442| 40.316 -40.740    |8.89     |K7                |    ~     ~    
408 |HD 32536                                                                                                 |Star                           |05 06 41.3707152360 +52 58 02.838869688|155.9494154559557 +07.3231208049771|    1.100 0.907    |9.18     |A0                |    ~     ~    
