C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
716 |TYC 3635-1734-1                                                                                          |Star                                |23 13 32.1321914616 +51 04 33.549357000|107.6568331880983 -08.8689767847842|   8.243 -1.488  |10.88    |~                   |    ~     ~    |    1|  434.745   pc  |  -3.1564     +3.1564  |paral   |2020yCat.1350....0G
717 |TYC 3635-1756-1                                                                                          |Star                                |23 13 26.505744 +50 52 17.99904        |107.565723990 -09.053000960        |      12.5 30.7  |10.382   |~                   |    ~     ~    |    0|                |                       |        |                   
718 |TYC 3635-1765-1                                                                                          |Star                                |23 10 35.4246388368 +51 43 32.257419456|107.4751952757887 -08.0939021534403|-15.086 -11.842  |9.80     |~                   |    ~     ~    |    1|  365.925   pc  |  -1.6068     +1.6068  |paral   |2020yCat.1350....0G
719 |TYC 3635-1824-1                                                                                          |Star                                |23 12 30.9912162672 +50 52 42.265951752|107.4313020781085 -08.9919688497117|   4.271 -1.215  |9.88     |~                   |    ~     ~    |    1|  410.172   pc  |  -2.9442     +2.9442  |paral   |2020yCat.1350....0G
720 |TYC 3635-1868-1                                                                                          |Spectroscopic Binary                |23 07 02.2520937240 +50 42 14.868408780|106.5548225640248 -08.8179252043929| 39.694 -45.961  |10.86    |~                   |    ~     ~    |    1|  395.007   pc  | -11.3590    +11.3590  |paral   |2020yCat.1350....0G
721 |TYC 3635-1888-1                                                                                          |Star                                |23 10 52.0953421896 +50 47 59.734704264|107.1574208167965 -08.9657128525789|   0.565 -1.436  |10.12    |~                   |    ~     ~    |    1| 1235.178   pc  | -20.7490    +20.7490  |paral   |2020yCat.1350....0G
722 |TYC 3635-1892-1                                                                                          |Star                                |23 12 00.7554058248 +51 10 36.575206860|107.4711206259116 -08.6857266993582|  -3.727 -2.714  |10.12    |~                   |    ~     ~    |    1| 1175.088   pc  | -27.6166    +27.6166  |paral   |2020yCat.1350....0G
723 |TYC 3635-1973-1                                                                                          |Star                                |23 07 03.9414935136 +50 49 36.630266664|106.6081410032545 -08.7070149476009|  -2.125 -4.241  |10.95    |~                   |    ~     ~    |    1|  803.600   pc  | -17.9525    +17.9525  |paral   |2020yCat.1350....0G
724 |TYC 3635-2029-1                                                                                          |Star                                |23 06 27.6528530472 +52 18 54.391258260|107.1167338275854 -07.3034013382511|  -2.085 -3.066  |10.96    |~                   |    ~     ~    |    1| 1771.165   pc  |-110.7371   +110.7371  |paral   |2020yCat.1350....0G
725 |TYC 3635-2036-1                                                                                          |Star                                |23 09 43.9163550168 +52 10 08.466340980|107.5238831483878 -07.6337182716964|  -5.664 -2.924  |10.68    |~                   |    ~     ~    |    1| 2246.181   pc  | -63.5712    +63.5712  |paral   |2020yCat.1350....0G
726 |TYC 3635-2046-1                                                                                          |Star                                |23 04 13.7813541216 +52 00 37.974798144|106.6775645507257 -07.4453125095295|  -4.984 -4.735  |9.71     |~                   |    ~     ~    |    1|  543.951   pc  |  -4.3791     +4.3791  |paral   |2020yCat.1350....0G
727 |TYC 3635-2064-1                                                                                          |Star                                |23 08 01.1796325680 +52 28 13.999945008|107.3988259925839 -07.2542287659530|  -3.609 -3.324  |9.99     |~                   |    ~     ~    |    1|  580.653   pc  |  -7.0129     +7.0129  |paral   |2020yCat.1350....0G
728 |TYC 3635-2066-1                                                                                          |Star                                |23 07 59.5807715376 +52 07 42.061821672|107.2599675843435 -07.5675338265274|  -0.488 -2.309  |10.50    |~                   |    ~     ~    |    1| 1006.239   pc  | -16.0990    +16.0990  |paral   |2020yCat.1350....0G
729 |IRAS 23035+5204                                                                                          |Star                                |23 05 41.5765804752 +52 20 25.809137736|107.0184204520265 -07.2333988177889|  -4.306 -0.348  |10.68    |~                   |    ~     ~    |    1| 1439.056   pc  | -34.9979    +34.9979  |paral   |2020yCat.1350....0G
730 |TYC 3635-2104-1                                                                                          |Star                                |23 07 18.7658659344 +52 13 00.699316464|107.1982870515836 -07.4451725756860|   4.249 -3.228  |9.89     |~                   |    ~     ~    |    1| 1144.558   pc  | -17.5542    +17.5542  |paral   |2020yCat.1350....0G
731 |TYC 3635-2159-1                                                                                          |Star                                |23 09 38.6559380592 +52 16 06.409758972|107.5500671320607 -07.5368021451037|  -3.707 -4.212  |10.30    |~                   |    ~     ~    |    1|  967.305   pc  | -12.4445    +12.4445  |paral   |2020yCat.1350....0G
732 |TYC 3635-2169-1                                                                                          |Star                                |23 04 56.7429369624 +52 07 56.780609592|106.8286815086998 -07.3781720356207|  -3.975 -4.282  |10.83    |~                   |    ~     ~    |    1|  724.533   pc  |  -6.8768     +6.8768  |paral   |2020yCat.1350....0G
733 |TYC 3635-2170-1                                                                                          |Star                                |23 08 46.5623411040 +52 27 41.719429656|107.5022465538333 -07.3074072078998|  20.853 -0.975  |9.64     |~                   |    ~     ~    |    1|  387.582   pc  |  -2.0580     +2.0580  |paral   |2020yCat.1350....0G
734 |TYC 3635-2205-1                                                                                          |Star                                |23 04 22.5990849000 +52 10 59.734556688|106.7688042566092 -07.2964808060392|  12.154 -9.269  |10.54    |~                   |    ~     ~    |    1|  303.324   pc  |  -1.1409     +1.1409  |paral   |2020yCat.1350....0G
735 |TYC 3635-2227-1                                                                                          |Star                                |23 04 15.8215736232 +52 19 00.845435604|106.8073160320178 -07.1672546162804|   13.818 7.187  |10.19    |~                   |    ~     ~    |    1|  372.384   pc  |  -1.7750     +1.7750  |paral   |2020yCat.1350....0G
736 |TYC 3635-2258-1                                                                                          |Star                                |23 04 14.4868093560 +52 15 18.225246132|106.7789731415649 -07.2224353236664|   1.937 -0.054  |10.56    |~                   |    ~     ~    |    1|  573.625   pc  |  -4.3763     +4.3763  |paral   |2020yCat.1350....0G
737 |TYC 3635-2287-1                                                                                          |Pulsating Variable                  |23 06 13.5401762232 +52 25 03.259418664|107.1245353184265 -07.1951051653317|  -0.671 -5.203  |10.28    |~                   |    ~     ~    |    1|  873.134   pc  | -11.9691    +11.9691  |paral   |2020yCat.1350....0G
738 |TYC 3635-2322-1                                                                                          |Star                                |23 06 30.7510869192 +52 13 34.391770356|107.0884896507648 -07.3881298497831| -6.442 -12.160  |10.93    |~                   |    ~     ~    |    1|  250.708   pc  | -10.1636    +10.1636  |paral   |2020yCat.1350....0G
739 |TYC 3635-2328-1                                                                                          |Star                                |23 10 48.4301515272 +52 23 57.160430736|107.7661466878516 -07.4842067663835|   -9.591 1.612  |10.85    |~                   |    ~     ~    |    1|  692.857   pc  | -19.5861    +19.5861  |paral   |2020yCat.1350....0G
740 |TYC 3635-2332-1                                                                                          |Star                                |23 05 55.4968118400 +52 27 23.060010672|107.0977356472369 -07.1412383467309|  -2.204 -3.069  |10.60    |~                   |    ~     ~    |    1| 1046.244   pc  | -19.0465    +19.0465  |paral   |2020yCat.1350....0G
741 |TYC 3635-2340-1                                                                                          |Star                                |23 09 22.6112363280 +52 25 17.703896304|107.5717132858758 -07.3797724523671|  -7.143 -4.497  |10.38    |~                   |    ~     ~    |    1| 1238.390   pc  | -34.3529    +34.3529  |paral   |2020yCat.1350....0G
742 |TYC 3635-2353-1                                                                                          |Star                                |23 07 43.7254758432 +52 27 54.116053956|107.3555527028140 -07.2419540248331|   8.526 -4.303  |9.39     |~                   |    ~     ~    |    1|  426.694   pc  |  -3.2226     +3.2226  |paral   |2020yCat.1350....0G
743 |TYC 3635-2359-1                                                                                          |Star                                |23 06 06.0770572488 +52 22 16.586344488|107.0884250560898 -07.2300363992787| -19.546 -5.552  |10.37    |~                   |    ~     ~    |    1|  293.789   pc  |  -1.2947     +1.2947  |paral   |2020yCat.1350....0G
744 |TYC 3985-1894-1                                                                                          |Star                                |23 03 58.7181509280 +52 33 45.536271264|106.8675086842031 -06.9249523264694|  31.399 10.678  |10.55    |~                   |    ~     ~    |    1|  315.328   pc  |  -1.7798     +1.7798  |paral   |2020yCat.1350....0G
745 |TYC 3998-90-1                                                                                            |Star                                |23 14 31.6020080376 +52 47 20.168855016|108.4415575056496 -07.3346992820496| -5.137 -13.428  |9.67     |~                   |    ~     ~    |    1|  382.059   pc  | -13.9546    +13.9546  |paral   |2020yCat.1350....0G
746 |TYC 3998-306-1                                                                                           |Star                                |23 13 51.7029534696 +52 46 52.292490960|108.3444710503678 -07.3047522424408|  4.086 -23.984  |9.97     |~                   |    ~     ~    |    1|  177.683   pc  |  -0.3978     +0.3978  |paral   |2020yCat.1350....0G
747 |TYC 3998-348-1                                                                                           |Star                                |23 14 21.2313665640 +52 37 42.971187000|108.3574205101816 -07.4740926207399|   1.466 -4.353  |10.63    |~                   |    ~     ~    |    1| 1359.250   pc  | -23.4640    +23.4640  |paral   |2020yCat.1350....0G
748 |TYC 3998-438-1                                                                                           |Star                                |23 12 10.0277041344 +52 36 51.159692196|108.0414586251510 -07.3637162908455|  -5.932 -3.466  |10.97    |~                   |    ~     ~    |    1| 1117.194   pc  | -22.0918    +22.0918  |paral   |2020yCat.1350....0G
749 |TYC 3998-642-1                                                                                           |Pulsating Variable                  |23 13 16.2178389120 +52 46 44.417476416|108.2599462538653 -07.2735475127854|  -1.376 -2.922  |10.58    |~                   |    ~     ~    |    1| 1193.317   pc  | -39.7298    +39.7298  |paral   |2020yCat.1350....0G
750 |IRAS 23101+5233                                                                                          |Star                                |23 12 23.7868285920 +52 49 36.594885072|108.1545256210278 -07.1797757326866|  -4.693 -0.664  |10.08    |~                   |    ~     ~    |    1| 1666.667   pc  | -46.1111    +46.1111  |paral   |2020yCat.1350....0G
751 |TYC 3998-843-1                                                                                           |Star                                |23 12 20.8371333912 +52 38 55.280047956|108.0800778891817 -07.3420606061693|  -1.947 -2.751  |10.64    |~                   |    ~     ~    |    1| 1795.010   pc  | -39.3091    +39.3091  |paral   |2020yCat.1350....0G
752 |TYC 3998-1103-1                                                                                          |Star                                |23 14 10.5064236912 +52 32 43.895252616|108.3010250184765 -07.5412692155659|   1.005 -0.573  |10.26    |~                   |    ~     ~    |    1|  665.292   pc  |  -8.2326     +8.2326  |paral   |2020yCat.1350....0G
753 |TYC 3998-1425-1                                                                                          |Star                                |23 14 56.5816635552 +52 30 32.439562128|108.3970005395871 -07.6182368892203|    2.296 1.139  |10.63    |~                   |    ~     ~    |    1| 1454.545   pc  | -25.6000    +25.6000  |paral   |2020yCat.1350....0G
754 |TYC 3998-1788-1                                                                                          |Star                                |23 11 26.6286822312 +52 47 02.128957440|108.0038268344708 -07.1651777514582|  -3.513 -2.035  |10.78    |~                   |    ~     ~    |    1| 1118.944   pc  | -20.7838    +20.7838  |paral   |2020yCat.1350....0G
755 |TYC 3998-2040-1                                                                                          |Star                                |23 10 28.9984130400 +52 33 56.259758160|107.7843175027017 -07.3115769576110|   4.693 -4.952  |9.52     |~                   |    ~     ~    |    1|  647.207   pc  |  -7.3722     +7.3722  |paral   |2020yCat.1350....0G
756 |TYC 3998-2253-1                                                                                          |Eclipsing Binary                    |23 11 29.3945781768 +52 36 18.662075748|107.9420440610058 -07.3332275325455|   0.253 -0.569  |10.09    |~                   |    ~     ~    |    1|  837.311   pc  | -25.5196    +25.5196  |paral   |2020yCat.1350....0G
757 |TYC 3998-2274-1                                                                                          |Star                                |23 10 10.4006611608 +52 31 53.928353136|107.7273082375504 -07.3249104094605| -5.302 -10.140  |10.37    |~                   |    ~     ~    |    1| 1055.855   pc  | -13.0435    +13.0435  |paral   |2020yCat.1350....0G
758 |TYC 3998-2345-1                                                                                          |Star                                |23 09 58.6276553328 +52 40 25.522389228|107.7545862588789 -07.1822553745558|  -0.018 -5.199  |10.80    |~                   |    ~     ~    |    1|  851.209   pc  | -17.5343    +17.5343  |paral   |2020yCat.1350....0G
759 |TYC 3998-2363-1                                                                                          |Star                                |23 09 55.1470615632 +52 44 09.615287724|107.7705229686478 -07.1214113745130|  26.741 19.739  |9.69     |~                   |    ~     ~    |    1|  161.844   pc  |  -0.2803     +0.2803  |paral   |2020yCat.1350....0G
760 |HD 218416                                                                                                |Star                                |23 07 10.0549419072 +52 48 59.760688860|107.4159315368826 -06.8852232750192|   2.718 12.589  |6.120    |K0III               |    ~     ~    |    1|  117.994   pc  |  -0.3328     +0.3328  |paral   |2020yCat.1350....0G
761 |HD 236061                                                                                                |Variable Star                       |23 11 05.9187022368 +52 58 01.624869336|108.0253474548408 -06.9759263242893|  -2.128 -2.407  |10.13    |F                   |    ~     ~    |    1| 1621.797   pc  | -67.3338    +67.3338  |paral   |2020yCat.1350....0G
762 |HD 236062                                                                                                |Eclipsing Binary                    |23 11 17.8879228872 +52 59 59.231363064|108.0658284798775 -06.9571080455706|   0.261 -0.233  |10.01    |A3                  |    ~     ~    |    1|  824.878   pc  | -20.6169    +20.6169  |paral   |2020yCat.1350....0G
763 |HD 236063                                                                                                |Star                                |23 11 22.8686453976 +52 57 56.509989660|108.0644498716402 -06.9933891350679|   7.495 -0.922  |9.75     |A3                  |    ~     ~    |    1|  321.916   pc  |  -2.1037     +2.1037  |paral   |2020yCat.1350....0G
764 |V* SS And                                                                                                |Long-Period Variable                |23 11 30.0687252096 +52 53 12.491249352|108.0511884320186 -07.0732523511888|  -7.656 -2.481  |9.16     |M7-II:              |    ~     ~    |    1|  602.627   pc  | -17.9401    +17.9401  |paral   |2020yCat.1350....0G
765 |HD 217599                                                                                                |Star                                |23 01 07.5962859192 +54 58 44.953730796|107.4748741895869 -04.5476126571498|   17.308 4.709  |8.73     |A5                  |    ~     ~    |    1|  286.771   pc  |  -1.2747     +1.2747  |paral   |2020yCat.1350....0G
766 |HD 236025                                                                                                |Star                                |23 02 06.1068368712 +54 54 49.648269852|107.5758979928904 -04.6648224167824|  -0.292 -2.651  |8.78     |K5                  |    ~     ~    |    1| 1518.142   pc  | -41.4856    +41.4856  |paral   |2020yCat.1350....0G
767 |BD+54 2899B                                                                                              |Star                                |23 02 02.6878424520 +54 54 40.178480364|107.5673222561406 -04.6638631015960|  -3.481 -2.730  |9.63     |A0                  |    ~     ~    |    1| 1110.371   pc  | -18.1240    +18.1240  |paral   |2020yCat.1350....0G
768 |UCAC3 291-216539                                                                                         |Star                                |23 02 45.5540721048 +55 14 23.532482436|107.7957626712664 -04.4057029181026|  -4.368 -1.777  |10.13    |~                   |    ~     ~    |    1|  860.956   pc  | -15.3438    +15.3438  |paral   |2020yCat.1350....0G
769 |UCAC3 291-216589                                                                                         |Star                                |23 02 50.3791148064 +55 14 20.665593276|107.8059360605308 -04.4111006497550|  18.706 -1.751  |10.44    |~                   |    ~     ~    |    1|  213.256   pc  |  -0.7504     +0.7504  |paral   |2020yCat.1350....0G
770 |HD 236032                                                                                                |Star                                |23 04 03.0026645736 +55 15 55.924254360|107.9748384411935 -04.4568007438681|  -3.783 -1.390  |9.22     |B9                  |    ~     ~    |    1|  724.900   pc  |  -8.7230     +8.7230  |paral   |2020yCat.1350....0G
771 |HD 236035                                                                                                |Star                                |23 04 17.0623541640 +55 05 55.798704996|107.9381939172330 -04.6228543329287|  25.558 -3.837  |8.91     |K2                  |    ~     ~    |    1|  217.661   pc  |  -0.6017     +0.6017  |paral   |2020yCat.1350....0G
772 |HD 236038                                                                                                |High Proper Motion Star             |23 05 21.0003316536 +55 24 54.486196164|108.2048160053322 -04.3938359654119|-61.977 -40.163  |9.15     |A2                  |    ~     ~    |    1|  218.393   pc  |  -3.2528     +3.2528  |paral   |2020yCat.1350....0G
773 |HD 218451                                                                                                |Star                                |23 07 25.0564395264 +54 51 01.297680480|108.2532565880980 -05.0294101464784| 16.954 -26.262  |8.70     |G0                  |    ~     ~    |    1|  121.452   pc  |  -2.8321     +2.8321  |paral   |2020yCat.1350....0G
774 |HD 236047                                                                                                |Star                                |23 07 55.1373726840 +55 01 10.302073068|108.3861479052941 -04.9018367376245|  20.295 13.158  |9.98     |F8                  |    ~     ~    |    1|  278.660   pc  | -19.3352    +19.3352  |paral   |2020yCat.1350....0G
775 |HD 217568                                                                                                |Star                                |23 00 50.9358572352 +54 19 06.486105288|107.1636924206665 -05.1323984714848| 11.114 -17.761  |7.74     |K2                  |    ~     ~    |    1|  232.992   pc  |  -0.8468     +0.8468  |paral   |2020yCat.1350....0G
776 |HD 217658                                                                                                |Star                                |23 01 33.5778966336 +54 39 08.635166352|107.3965866254278 -04.8709890575852|  -8.828 -7.269  |8.22     |K0                  |    ~     ~    |    1|  355.783   pc  |  -1.9240     +1.9240  |paral   |2020yCat.1350....0G
777 |HD 236022                                                                                                |Star                                |23 01 47.0940872112 +54 45 32.362648632|107.4703766227634 -04.7872392029928|  14.881 16.349  |9.53     |F8                  |    ~     ~    |    1|  248.170   pc  |  -0.7575     +0.7575  |paral   |2020yCat.1350....0G
778 |HD 217834                                                                                                |Spectroscopic Binary                |23 02 44.5553008536 +54 28 10.698805560|107.4783575168238 -05.1079923833839|  70.422 29.184  |8.45     |K0                  |    ~     ~    |    1|  164.813   pc  |  -2.7326     +2.7326  |paral   |2020yCat.1350....0G
779 |HD 236044                                                                                                |Star                                |23 06 58.8976447704 +54 44 48.402290616|108.1544256409623 -05.1000179905422|  -2.460 -2.603  |9.59     |B1V                 |    ~     ~    |    1| 4391.744   pc  |-279.6675   +279.6675  |paral   |2020yCat.1350....0G
780 |HD 236048                                                                                                |Pulsating Variable                  |23 07 57.8297077752 +54 19 36.985112220|108.1209040346014 -05.5421097244735|   1.520 -2.441  |9.41     |B9                  |    ~     ~    |    1|  937.910   pc  | -14.6906    +14.6906  |paral   |2020yCat.1350....0G
781 |HD 236054                                                                                                |Star                                |23 09 21.2942279064 +54 30 30.713779728|108.3790194145485 -05.4531643436026|   1.364 -4.345  |9.74     |A0                  |    ~     ~    |    1|  745.823   pc  |  -8.2325     +8.2325  |paral   |2020yCat.1350....0G
782 |HD 218697                                                                                                |Star                                |23 09 26.8473077808 +54 25 30.378549936|108.3592155824957 -05.5353361229174|    2.879 9.827  |8.88     |A5                  |    ~     ~    |    1|  266.411   pc  |  -0.9795     +0.9795  |paral   |2020yCat.1350....0G
783 |HD 218713                                                                                                |Star                                |23 09 27.7146089952 +54 36 03.036115872|108.4290983261283 -05.3739395498543|  -4.093 -6.632  |8.60     |A                   |    ~     ~    |    1|  761.383   pc  | -11.6520    +11.6520  |paral   |2020yCat.1350....0G
784 |BD+53 3087                                                                                               |Star                                |23 11 09.9275442360 +54 18 14.255169696|108.5451096640105 -05.7428746913876|   1.491 -2.293  |9.52     |B5                  |    ~     ~    |    1|  975.229   pc  | -15.4074    +15.4074  |paral   |2020yCat.1350....0G
785 |HD 236015                                                                                                |Star                                |23 00 50.2031929920 +54 00 21.572895816|107.0319068187606 -05.4159892292688|-12.894 -44.932  |9.61     |F8                  |    ~     ~    |    1|  222.460   pc  |  -3.1969     +3.1969  |paral   |2020yCat.1350....0G
786 |HD 236023                                                                                                |Star                                |23 01 50.4043698384 +54 07 16.820449392|107.2144307997553 -05.3717633414512|  27.259 -7.784  |9.79     |A5                  |    ~     ~    |    1|  205.634   pc  |  -0.7992     +0.7992  |paral   |2020yCat.1350....0G
787 |HD 236024                                                                                                |Star                                |23 02 06.5635289328 +54 05 44.962239876|107.2400447403412 -05.4112455661729|   3.391 -5.337  |9.25     |A0                  |    ~     ~    |    1|  354.396   pc  |  -3.9940     +3.9940  |paral   |2020yCat.1350....0G
788 |HD 217768                                                                                                |Star                                |23 02 20.3386303728 +53 48 34.636939344|107.1530512089027 -05.6861181005380|  25.187 23.894  |7.660    |A5                  |    ~     ~    |    1|  199.283   pc  |  -0.7704     +0.7704  |paral   |2020yCat.1350....0G
789 |HD 236027                                                                                                |Star                                |23 02 33.7688445672 +54 10 47.517767112|107.3354752144292 -05.3617830975553|  -1.760 -2.816  |8.81     |K0                  |    ~     ~    |    1| 1524.623   pc  | -37.1916    +37.1916  |paral   |2020yCat.1350....0G
790 |HD 236031                                                                                                |Emission-line Star                  |23 03 57.5880030024 +54 11 53.794711140|107.5305290120530 -05.4280210985641|  -2.800 -2.102  |9.01     |A0pe                |    ~     ~    |    1| 1877.582   pc  | -55.3474    +55.3474  |paral   |2020yCat.1350....0G
791 |HD 218093                                                                                                |High Proper Motion Star             |23 04 35.5618293816 +54 01 36.214541040|107.5463497687616 -05.6224022401399| 67.297 107.235  |8.70     |G5                  |    ~     ~    |    1|   84.811   pc  |  -0.1302     +0.1302  |paral   |2020yCat.1350....0G
792 |HD 236040                                                                                                |Star                                |23 05 48.7629825864 +54 00 55.448040096|107.7068414500756 -05.7044344773481|  -2.200 -2.089  |9.22     |A3                  |    ~     ~    |    1| 1995.610   pc  | -52.9667    +52.9667  |paral   |2020yCat.1350....0G
793 |BD+53 3086                                                                                               |Star                                |23 10 37.5773567040 +54 05 49.453758168|108.3927744405263 -05.9042836995876|  -9.727 -5.495  |9.70     |G5                  |    ~     ~    |    1|  582.479   pc  |  -4.1392     +4.1392  |paral   |2020yCat.1350....0G
794 |HD 236016                                                                                                |Star                                |23 01 09.5105438208 +53 30 40.821624540|106.8693734886012 -05.8858644593770| -5.083 -20.899  |8.80     |M0                  |    ~     ~    |    1|  601.214   pc  |  -6.3255     +6.3255  |paral   |2020yCat.1350....0G
795 |HD 236020                                                                                                |Star                                |23 01 45.7042768344 +53 26 10.154893560|106.9203313236124 -05.9914134931900|  19.219 -4.365  |10.58    |F                   |    ~     ~    |    1|  405.894   pc  |  -2.0594     +2.0594  |paral   |2020yCat.1350....0G
796 |HD 217835                                                                                                |Star                                |23 02 46.1727114504 +53 14 46.885851996|106.9799455968242 -06.2262271924581|   16.381 6.301  |7.95     |K2                  |    ~     ~    |    1|  437.924   pc  |  -3.4712     +3.4712  |paral   |2020yCat.1350....0G
797 |HD 217920                                                                                                |Star                                |23 03 27.4176881544 +53 18 07.474540860|107.0971890661266 -06.2172304274311| 23.584 -12.671  |7.61     |K0                  |    ~     ~    |    1|  202.130   pc  |  -0.7150     +0.7150  |paral   |2020yCat.1350....0G
798 |HD 236030                                                                                                |Star                                |23 03 45.8247728136 +53 33 57.566922408|107.2468834239961 -05.9945563610729|   7.679 -5.847  |9.14     |K0                  |    ~     ~    |    1|  409.870   pc  |  -2.1335     +2.1335  |paral   |2020yCat.1350....0G
799 |HD 236036                                                                                                |Star                                |23 04 34.2518350584 +52 57 33.078496716|107.1113503557608 -06.5984000241570|    5.684 4.074  |8.80     |F0                  |    ~     ~    |    1|  224.507   pc  |  -0.8317     +0.8317  |paral   |2020yCat.1350....0G
800 |HD 218110                                                                                                |Star                                |23 04 38.5529232240 +53 02 17.127793824|107.1532669278806 -06.5305184345107|    0.953 7.102  |8.85     |A                   |    ~     ~    |    1|  341.018   pc  |  -2.6166     +2.6166  |paral   |2020yCat.1350....0G
801 |HD 236039                                                                                                |Star                                |23 05 32.0490789936 +53 13 50.432801916|107.3542610823145 -06.4076938930728|    4.571 0.484  |8.71     |M0                  |    ~     ~    |    1| 1025.010   pc  | -20.4876    +20.4876  |paral   |2020yCat.1350....0G
802 |HD 218830                                                                                                |Star                                |23 10 25.1491724256 +53 40 21.577914624|108.2015672656320 -06.2849508073150|   4.213 -3.029  |8.83     |A0                  |    ~     ~    |    1|  351.704   pc  |  -2.1276     +2.1276  |paral   |2020yCat.1350....0G
803 |HD 236060                                                                                                |Star                                |23 10 56.8580668800 +53 27 58.036715208|108.1953428154529 -06.5058037924780|  -6.915 -7.113  |9.17     |A7                  |    ~     ~    |    1|  482.393   pc  |  -6.2597     +6.2597  |paral   |2020yCat.1350....0G
804 |HD 218915                                                                                                |Blue Supergiant                     |23 11 06.9483955128 +53 03 29.652921252|108.0626392471008 -06.8926262023356|  -2.292 -5.528  |7.20     |O9.2Iab             |    ~     ~    |    1| 3132.832   pc  |-284.6245   +284.6245  |paral   |2020yCat.1350....0G
805 |HD 236067                                                                                                |Star                                |23 12 01.3985149704 +53 20 28.662598248|108.2971713270686 -06.6820203880906|    4.482 0.887  |8.80     |A2                  |    ~     ~    |    1|  753.750   pc  |  -8.4653     +8.4653  |paral   |2020yCat.1350....0G
806 |HD 236068                                                                                                |Star                                |23 12 05.5459407744 +53 11 32.675431920|108.2503579110551 -06.8238388272192|   3.670 -4.874  |8.78     |B9                  |    ~     ~    |    1|  513.637   pc  |  -5.3028     +5.3028  |paral   |2020yCat.1350....0G
807 |HD 236070                                                                                                |Star                                |23 13 14.7861189912 +53 07 14.992957596|108.3849292564918 -06.9549926832471|   10.251 4.261  |8.16     |K2                  |    ~     ~    |    1|  555.895   pc  |  -6.3349     +6.3349  |paral   |2020yCat.1350....0G
808 |BD+52 3375                                                                                               |Spectroscopic Binary                |23 09 30.0394998552 +53 02 39.834923136|107.8314647210843 -06.8124910864313|    4.936 0.835  |9.43     |K0                  |    ~     ~    |    1|  862.441   pc  |  -9.9670     +9.9670  |paral   |2020yCat.1350....0G
809 |IRAS 23002+5315                                                                                          |Star                                |23 02 23.8018401960 +53 31 51.199327704|107.0460587817313 -05.9438682330212|   0.419 -3.894  |10.23    |~                   |    ~     ~    |    1| 1285.347   pc  | -30.3990    +30.3990  |paral   |2020yCat.1350....0G
810 |IRAS 23048+5259                                                                                          |Star                                |23 07 01.8611325240 +53 15 24.819009192|107.5715962281263 -06.4724562762469|  -9.149 -4.170  |9.07     |~                   |    ~     ~    |    1| 1189.061   pc  | -24.6013    +24.6013  |paral   |2020yCat.1350....0G
811 |IRAS 23066+5503                                                                                          |Star                                |23 08 49.9582197480 +55 20 17.583220536|108.6309219794380 -04.6587796782066|  -4.469 -3.292  |9.74     |~                   |    ~     ~    |    1| 1593.625   pc  | -52.0627    +52.0627  |paral   |2020yCat.1350....0G
812 |BD+54 2894                                                                                               |Star                                |23 00 30.4031932752 +54 47 57.334212132|107.3186966837743 -04.6743914434286|  -11.638 1.451  |9.66     |~                   |    ~     ~    |    1|  248.886   pc  |  -1.0716     +1.0716  |paral   |2020yCat.1350....0G
813 |HD 217833                                                                                                |alpha2 CVn Variable                 |23 02 43.8966254040 +55 14 10.977469584|107.7907305603952 -04.4072823585158|   17.999 3.107  |6.525    |B8III               |    ~     ~    |    1|  204.065   pc  |  -2.5527     +2.5527  |paral   |2020yCat.1350....0G
814 |BD+51 3524                                                                                               |Double or Multiple Star             |23 01 15.9915 +52 38 54.173            |106.5246125 -06.6780289            |     4.50 -4.20  |9.92     |A5                  |    ~     ~    |    0|                |                       |        |                   
815 |HD 217509                                                                                                |Spectroscopic Binary                |23 00 30.4599025944 +52 53 01.572859752|106.5179766329698 -06.4162249505807|   9.037 -1.717  |9.07     |A                   |    ~     ~    |    1|  409.500   pc  |  -8.3510     +8.3510  |paral   |2020yCat.1350....0G
816 |HD 217693                                                                                                |Star                                |23 01 46.8986646792 +52 50 30.303551472|106.6765451355156 -06.5341841892820|  2.175 -15.576  |7.77     |K2                  |    ~     ~    |    1|  382.132   pc  |  -2.8475     +2.8475  |paral   |2020yCat.1350....0G
817 |V* AY And                                                                                                |Double or Multiple Star             |23 01 36.9471736464 +52 51 21.140346348|106.6594537036658 -06.5109865570944|   1.041 -0.151  |9.697    |~                   |    ~     ~    |    1|  900.982   pc  | -10.2283    +10.2283  |paral   |2020yCat.1350....0G
818 |BD+52 3361                                                                                               |Star                                |23 03 34.1666810304 +53 30 57.804037704|107.1999917796529 -06.0284966210205| -4.525 -15.171  |9.66     |M3                  |    ~     ~    |    1|  925.241   pc  | -18.1487    +18.1487  |paral   |2020yCat.1350....0G
