C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 218851                                                                                                |Carbon Star                         |23 10 46.1769962976 +46 18 10.666779912|105.3752647042289 -13.1087513950023|  -4.062 -7.011  |9.93     |C2,2                |    ~     ~    |    1|  885.740   pc  | -10.4343    +10.4343  |paral   |2020yCat.1350....0G
23  |HD 217634                                                                                                |Star                                |23 01 28.0528087560 +46 49 47.628640884|104.0955295298360 -11.9803755036640|-33.263 -27.361  |7.93     |F0                  |    ~     ~    |    1|  138.766   pc  |  -2.5225     +2.5225  |paral   |2020yCat.1350....0G
24  |BD+46 3914                                                                                               |Spectroscopic Binary                |23 02 08.4256514496 +46 47 39.429685752|104.1871644131429 -12.0609361212274|   3.241 -5.951  |9.48     |F0                  |    ~     ~    |    1|  286.870   pc  |  -2.5347     +2.5347  |paral   |2020yCat.1350....0G
25  |BD+46 3927                                                                                               |Spectroscopic Binary                |23 05 21.3498394080 +46 52 00.921084636|104.7303189865679 -12.2214461773990|  -5.644 -5.672  |9.27     |M0                  |    ~     ~    |    1| 1104.728   pc  | -30.5106    +30.5106  |paral   |2020yCat.1350....0G
26  |V* V379 And                                                                                              |Pulsating Variable                  |23 06 32.9617821240 +46 55 25.009426272|104.9445882480787 -12.2520782566279|  -1.527 -2.710  |7.71     |B3                  |    ~     ~    |    1| 1153.536   pc  | -38.9879    +38.9879  |paral   |2020yCat.1350....0G
27  |HD 218324                                                                                                |Star                                |23 06 36.9760349472 +46 56 33.561374604|104.9631268419165 -12.2392394002944|  -1.943 -2.629  |8.57     |B9                  |    ~     ~    |    1| 1169.727   pc  | -30.6491    +30.6491  |paral   |2020yCat.1350....0G
28  |BD+46 3934                                                                                               |Star                                |23 06 45.5504930184 +46 53 28.519150488|104.9648517926984 -12.2961139544437|  -4.085 -6.601  |10.26    |K0                  |    ~     ~    |    1|  978.474   pc  | -12.0634    +12.0634  |paral   |2020yCat.1350....0G
29  |BD+46 3938                                                                                               |Star                                |23 07 07.6212953784 +46 53 09.219412428|105.0215773905278 -12.3262330199536|  40.283 -8.564  |9.54     |F2                  |    ~     ~    |    1|  177.013   pc  |  -0.4418     +0.4418  |paral   |2020yCat.1350....0G
30  |BD+46 3960                                                                                               |High Proper Motion Star             |23 11 02.7304805688 +46 48 36.783369720|105.6218825342264 -12.6595736741860|-55.429 -61.124  |9.59     |G0                  |    ~     ~    |    1|   99.584   pc  |  -1.5996     +1.5996  |paral   |2020yCat.1350....0G
31  |BD+45 4119                                                                                               |Double or Multiple Star             |23 01 23.980 +46 38 17.63              |104.002370 -12.149407              |    -19.9 -21.9  |9.55     |F8                  |    ~     ~    |    0|                |                       |        |                   
32  |BD+45 4122                                                                                               |Star                                |23 02 05.9128182528 +46 31 47.888386788|104.0674548208417 -12.2980491993108|   6.760 -5.126  |9.86     |A2                  |    ~     ~    |    1|  349.138   pc  |  -1.6212     +1.6212  |paral   |2020yCat.1350....0G
33  |HD 217945                                                                                                |Pulsating Variable                  |23 03 44.6581413840 +46 19 40.966230072|104.2456591316065 -12.5995653255105|  -1.030 -3.157  |8.90     |A3                  |    ~     ~    |    1|  478.515   pc  |  -5.4954     +5.4954  |paral   |2020yCat.1350....0G
34  |BD+45 4133                                                                                               |Star                                |23 04 25.2759359616 +46 32 42.718420068|104.4461064813895 -12.4496677109933|  -4.020 -5.492  |9.41     |B8                  |    ~     ~    |    1| 1623.904   pc  | -67.5088    +67.5088  |paral   |2020yCat.1350....0G
35  |HD 218052                                                                                                |Star                                |23 04 34.4160032736 +46 19 48.171779292|104.3802156219738 -12.6566522765068|  12.451 -2.741  |9.30     |A0                  |    ~     ~    |    1|  318.046   pc  |  -1.6893     +1.6893  |paral   |2020yCat.1350....0G
36  |HD 218196                                                                                                |Double or Multiple Star             |23 05 30.14428 +46 43 14.5872          |104.69295733 -12.36522489          |    -6.28 -3.87  |8.30     |A0                  |    ~     ~    |    0|                |                       |        |                   
37  |BD+45 4139                                                                                               |Star                                |23 05 38.7483811584 +46 17 31.967641428|104.5376495495472 -12.7667806934255|-15.733 -25.777  |9.07     |F5                  |    ~     ~    |    1|  135.798   pc  |  -4.0847     +4.0847  |paral   |2020yCat.1350....0G
38  |* 4 And                                                                                                  |Star                                |23 07 39.2672021448 +46 23 14.030186820|104.9022828728925 -12.8194929939346|-12.734 -30.026  |5.294    |K5III               |    ~     ~    |    1|  109.230   pc  |  -0.9294     +0.9294  |paral   |2020yCat.1350....0G
39  |BD+45 4151                                                                                               |Star                                |23 08 12.9262440264 +46 21 24.867897264|104.9809281507575 -12.8858562268019|  -0.318 -2.286  |10.40    |A0                  |    ~     ~    |    1|  715.564   pc  | -15.4121    +15.4121  |paral   |2020yCat.1350....0G
40  |BD+45 4156                                                                                               |Star                                |23 09 10.0173835704 +46 16 26.779533564|105.1021169032865 -13.0269320720113|  -6.377 -5.931  |9.24     |A2                  |    ~     ~    |    1|  486.027   pc  |  -4.0394     +4.0394  |paral   |2020yCat.1350....0G
41  |HD 218844                                                                                                |Star                                |23 10 37.6831888224 +46 22 40.342577052|105.3820546521321 -13.0302356730458|  -0.831 -3.746  |8.19     |A0                  |    ~     ~    |    1|  636.780   pc  | -12.1647    +12.1647  |paral   |2020yCat.1350....0G
42  |BD+45 4126                                                                                               |Eclipsing Binary                    |23 02 53.1021030768 +46 10 23.930044680|104.0413861910269 -12.6788027004892|   0.998 -3.105  |9.68     |F5                  |    ~     ~    |    1|  955.110   pc  | -21.6200    +21.6200  |paral   |2020yCat.1350....0G
43  |BD+45 4126B                                                                                              |Star                                |23 02 49.9794540864 +46 10 32.923254144|104.0340549177501 -12.6727814751215|   1.051 -3.052  |10.39    |F5                  |    ~     ~    |    1|  932.923   pc  | -14.2737    +14.2737  |paral   |2020yCat.1350....0G
44  |** HJ 1841C                                                                                              |Star                                |23 02 49.4 +46 10 51                   |104.0346 -12.6675                  |            ~ ~  |10.49    |~                   |    ~     ~    |    0|                |                       |        |                   
45  |BD+45 4131                                                                                               |Star                                |23 04 08.5739565960 +45 56 29.305588020|104.1466323441672 -12.9801974714494| 13.656 -21.074  |10.15    |F8                  |    ~     ~    |    1|  237.806   pc  |  -0.8370     +0.8370  |paral   |2020yCat.1350....0G
46  |HD 218096                                                                                                |Star                                |23 04 48.3952123152 +46 00 41.227773984|104.2840173527582 -12.9637858021138|-17.877 -26.806  |8.37     |K5                  |    ~     ~    |    1|  365.137   pc  |  -2.3998     +2.3998  |paral   |2020yCat.1350....0G
47  |BD+45 4140                                                                                               |Star                                |23 05 56.0798898096 +46 04 42.269115972|104.4954515002386 -12.9824656108195| -14.971 -7.498  |9.53     |F0                  |    ~     ~    |    1|  213.552   pc  |  -0.6613     +0.6613  |paral   |2020yCat.1350....0G
48  |BD+45 4142                                                                                               |Star                                |23 06 23.1977612616 +46 02 22.476347448|104.5528887327155 -13.0497245316753|    9.303 2.560  |9.29     |M0                  |    ~     ~    |    1|  732.279   pc  | -19.7333    +19.7333  |paral   |2020yCat.1350....0G
