C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
524 |BD-00 698                                                                                                                                   |Star                                  |04 24 54.2795148072 -00 09 26.911453788|194.3592280408605 -32.1609623183241| 30.328 -34.017     |9.745    |K2              |    ~     ~    |    1|  224.604   pc  |  -3.0800     +3.0800    |ST-L    |2020AJ....160...83S
525 |HD 28071                                                                                                                                    |Star                                  |04 25 51.7739953392 -00 03 12.526327836|194.4073907300833 -31.9030146487129|  13.034 -8.363     |8.65     |K0III           |    ~     ~    |    1|  387.973   pc  |  -2.9201     +2.9201    |paral   |2020yCat.1350....0G
526 |HD 28159                                                                                                                                    |Star                                  |04 26 27.1329980496 -00 30 40.295288988|194.9562021288350 -32.0230928193374|-12.589 -22.726     |7.16     |K5III           |    ~     ~    |    1|  472.010   pc  |  -4.5895     +4.5895    |paral   |2020yCat.1350....0G
527 |BD-00 703                                                                                                                                   |Star                                  |04 27 26.6640881016 -00 10 30.258405048|194.7770614375638 -31.6340729333575|    9.800 4.987     |9.76     |K0              |    ~     ~    |    1|  619.540   pc  |  -6.4867     +6.4867    |paral   |2020yCat.1350....0G
528 |BD-00 706                                                                                                                                   |Star                                  |04 27 56.4461750808 -00 36 32.718832812|195.2866290461697 -31.7597496995280|-15.554 -13.149     |9.97     |F2              |    ~     ~    |    1|  193.600   pc  |  -0.9483     +0.9483    |paral   |2020yCat.1350....0G
529 |HD 28547                                                                                                                                    |Star                                  |04 29 58.3188370056 -00 08 14.799125832|195.1336611308140 -31.0791178732180|  -3.217 -1.998     |9.87     |A0V             |    ~     ~    |    1|  508.647   pc  |  -7.2701     +7.2701    |paral   |2020yCat.1350....0G
530 |BD-01 622                                                                                                                                   |Star                                  |04 21 41.0844412656 -01 03 58.512144672|194.7596314560039 -33.3273121763436| -1.437 -24.707     |10.39    |K0              |    ~     ~    |    1|  376.464   pc  |  -2.5936     +2.5936    |paral   |2020yCat.1350....0G
531 |HD 27779                                                                                                                                    |Star                                  |04 23 03.0760907232 -01 21 44.626447692|195.2767393164997 -33.1954169888728|  -1.080 -3.846     |8.42     |A0V             |    ~     ~    |    1|  218.761   pc  |  -1.4931     +1.4931    |paral   |2020yCat.1350....0G
532 |BD-01 628                                                                                                                                   |Star                                  |04 23 12.1142278656 -00 44 33.713965572|194.6748262795292 -32.8338915783590| -3.236 -14.951     |9.78     |K0              |    ~     ~    |    1|  646.538   pc  |  -6.4374     +6.4374    |paral   |2020yCat.1350....0G
533 |HD 27792                                                                                                                                    |Star                                  |04 23 08.5524509424 -01 16 47.732343636|195.2076200743151 -33.1323775584461| -15.570 -4.475     |9.25     |G8/K0III/IV+F/G |    ~     ~    |    1|  227.164   pc  |  -6.5949     +6.5949    |paral   |2020yCat.1350....0G
534 |HD 27809                                                                                                                                    |High Proper Motion Star               |04 23 19.7548480272 -00 58 08.439008304|194.9229946424619 -32.9276732991288| 66.272 -50.072     |8.34     |F6V             |    ~     ~    |    1|  123.891   pc  |  -0.4681     +0.4681    |paral   |2020yCat.1350....0G
535 |BD-01 631                                                                                                                                   |Star                                  |04 23 25.4328911544 -01 13 46.009964712|195.2010245066851 -33.0459935284297|    6.253 2.776     |9.951    |K0              |    ~     ~    |    1|  500.290   pc  | -14.9600    +14.9600    |ST-L    |2020AJ....160...83S
536 |HD 27839                                                                                                                                    |Star                                  |04 23 29.9510336856 -01 35 08.881502856|195.5741243407689 -33.2184013513413| -5.307 -40.122     |9.05     |F3/5V           |    ~     ~    |    1|  149.205   pc  |  -0.3673     +0.3673    |paral   |2020yCat.1350....0G
537 |BD-01 633                                                                                                                                   |Star                                  |04 23 33.7350687624 -01 31 14.299960152|195.5178968715685 -33.1706463737554|   6.066 -4.223     |10.000   |K0              |    ~     ~    |    1|  658.316   pc  | -31.4400    +31.4400    |ST-L    |2020AJ....160...83S
538 |HD 27879                                                                                                                                    |Star                                  |04 24 00.4356153216 -00 44 30.622712388|194.8017555514913 -32.6632020009757|  14.815 -2.539     |8.96     |G0V             |    ~     ~    |    1|  353.995   pc  |  -2.0175     +2.0175    |paral   |2020yCat.1350....0G
539 |BD-01 638                                                                                                                                   |Star                                  |04 24 49.1853121368 -00 57 47.461785300|195.1526258772720 -32.6089851275279|   3.272 -4.817     |9.865    |F0              |    ~     ~    |    1|  214.277   pc  |  -2.9530     +2.9530    |ST-L    |2020AJ....160...83S
540 |HD 28053                                                                                                                                    |Star                                  |04 25 39.5986642656 -01 24 39.293552772|195.7358103260806 -32.6672313491223|-11.251 -18.544     |6.75     |G8IV            |    ~     ~    |    1|  132.515   pc  |  -0.4004     +0.4004    |paral   |2020yCat.1350....0G
541 |BD-01 642                                                                                                                                   |Star                                  |04 25 49.8914028552 -01 21 36.721031148|195.7113840495264 -32.6040884751436|    5.993 2.472     |10.031   |F0              |    ~     ~    |    1|  294.986   pc  |  -6.3790     +6.3790    |ST-L    |2020AJ....160...83S
542 |BD-01 643                                                                                                                                   |Star                                  |04 25 53.5477154352 -01 23 55.052846592|195.7596887560785 -32.6113499446578|   8.843 16.196     |9.29     |K0              |    ~     ~    |    1|  343.761   pc  |  -2.2334     +2.2334    |paral   |2020yCat.1350....0G
543 |TYC 4727-1283-1                                                                                                                             |Star                                  |04 26 34.5630646296 -00 47 58.468032276|195.2640176411941 -32.1500094259882|   7.978 -7.030     |10.03    |K0              |    ~     ~    |    1|  578.704   pc  |  -5.3919     +5.3919    |paral   |2020yCat.1350....0G
544 |BD-01 645                                                                                                                                   |Star                                  |04 27 16.3229460888 -01 35 24.576231372|196.1674745822818 -32.4181808083382| -11.255 -3.006     |10.48    |A0              |    ~     ~    |    1|  505.357   pc  |  -4.5714     +4.5714    |paral   |2020yCat.1350....0G
545 |BD-01 646                                                                                                                                   |Star                                  |04 27 29.1187665432 -01 07 25.602431556|195.7308979679830 -32.1281874581566|   3.614 -5.768     |10.05    |K0              |    ~     ~    |    1|  981.162   pc  | -16.2693    +16.2693    |paral   |2020yCat.1350....0G
546 |BD-01 652                                                                                                                                   |Star                                  |04 29 39.9231616728 -00 47 40.154977176|195.7388775369138 -31.4915184197257|  -6.826 -6.170     |9.798    |F2              |    ~     ~    |    1|  203.992   pc  |  -2.6760     +2.6760    |ST-L    |2020AJ....160...83S
547 |AG-01 430                                                                                                                                   |Double or Multiple Star               |04 29 49.019808 -00 58 03.81108        |195.935138242 -31.550319449        |      6.3 -15.2     |10.629   |F8              |    ~     ~    |    1|  298.988   pc  | +36.846      +5         |ST-L    |2017AJ....153...75K
548 |HD 28520                                                                                                                                    |Star                                  |04 29 45.4591163760 -00 55 11.512092108|195.8782030051086 -31.5378177761263|  -0.214 -3.382     |9.57     |ApSrEuCr        |    ~     ~    |    1|  367.134   pc  |  -5.4319     +5.4319    |paral   |2020yCat.1350....0G
549 |HD 28192                                                                                                                                    |High Proper Motion Star               |04 26 48.8200303488 -01 43 28.671284064|196.2324664123509 -32.5861068765699| -38.332 34.088     |8.07     |G0V             |    ~     ~    |    1|   49.677   pc  |  -0.0711     +0.0711    |paral   |2020yCat.1350....0G
550 |HD 27752                                                                                                                                    |Star                                  |04 22 42.4942641672 -02 14 39.173367264|196.1216668589443 -33.7321886315489|-11.638 -11.865     |8.19     |A2IV            |    ~     ~    |    1|  150.500   pc  |  -0.7384     +0.7384    |paral   |2020yCat.1350....0G
551 |HD 27751                                                                                                                                    |Star                                  |04 22 45.4048127376 -01 55 28.901968068|195.8023663285409 -33.5544795289727|  26.864 15.845     |8.25     |K1III           |    ~     ~    |    1|  275.330   pc  |  -1.6374     +1.6374    |paral   |2020yCat.1350....0G
552 |BD-02 895                                                                                                                                   |Star                                  |04 25 06.5768370768 -02 16 04.466219052|196.5206900651616 -33.2325320835360|   9.728 -6.766     |10.02    |F0/2            |    ~     ~    |    1|  330.557   pc  |  -1.8466     +1.8466    |paral   |2020yCat.1350....0G
553 |HD 28072                                                                                                                                    |Double or Multiple Star               |04 25 41.8392334734 -02 13 56.726692582|196.5755671383178 -33.0886475682351|   70.244 3.088     |8.92     |K1/2(III)+F/G   |    ~     ~    |    1|   37.4208  pc  |  -0.6025     +0.6025    |paral   |2018yCat.1345....0G
554 |TYC 4727-1438-1                                                                                                                             |Star                                  |04 26 54.0645053760 -02 08 49.713605124|196.6746499837680 -32.7873340749969|   7.878 -2.484     |10.73    |~               |    ~     ~    |    1|  980.104   pc  | -16.6184    +16.6184    |paral   |2020yCat.1350....0G
555 |HD 28206                                                                                                                                    |Star                                  |04 26 55.6207052400 -02 09 45.106028928|196.6942966072219 -32.7897725019083|  15.486 -6.753     |8.46     |K0IV            |    ~     ~    |    1|  343.690   pc  |  -3.1775     +3.1775    |paral   |2020yCat.1350....0G
556 |HD 28260                                                                                                                                    |Star                                  |04 27 24.9076305624 -02 01 00.917726772|196.6215541216720 -32.6099787968325| 17.502 -12.311     |8.59     |M4III           |    ~     ~    |    1|  385.609   pc  |  -4.8474     +4.8474    |paral   |2020yCat.1350....0G
557 |BD-02 914                                                                                                                                   |Star                                  |04 29 14.9320429176 -02 21 57.465066168|197.2565644738795 -32.3981186152828| -3.685 -13.161     |9.707    |A8              |    ~     ~    |    1|  241.165   pc  |  -3.6800     +3.6800    |ST-L    |2020AJ....160...83S
558 |HD 28488                                                                                                                                    |High Proper Motion Star               |04 29 26.2166356704 -02 24 50.778250740|197.3340649764141 -32.3825656444909| 11.291 -81.699     |7.86     |K0III           |    ~     ~    |    1|  246.512   pc  |  -1.6529     +1.6529    |paral   |2020yCat.1350....0G
559 |HD 28529                                                                                                                                    |Star                                  |04 29 44.7902952264 -02 28 44.092187796|197.4469015944274 -32.3494720620174|    8.642 1.689     |9.570    |F0IV            |    ~     ~    |    1|  506.218   pc  | -16.3200    +16.3200    |ST-L    |2020AJ....160...83S
560 |NGC 1568                           NGC 1568B                          NGC 1568E                          NGC 1568                           |Galaxy towards a Group of Galaxies    |04 24 25.3298180688 -00 44 46.187905056|194.8717473100495 -32.5777579636590|            ~ ~     |     ~   |~               |0.817 0.588    |    1|   62.95    Mpc |                         |redshift|2007ApJ...655..790C
561 |NGC 1568A                          UGC 3031                                                                                                 |Galaxy in Pair of Galaxies            |04 24 20.6014656528 -00 44 18.359218644|194.8515248041959 -32.5903075786852|            ~ ~     |     ~   |~               |0.353 0.212    |    0|                |                         |        |                   
562 |BD-02 886                                                                                                                                   |Long-Period Variable                  |04 23 15.8639886840 -02 19 21.293980788|196.2891568214887 -33.6545792502398|   1.456 -2.436     |9.92     |~               |    ~     ~    |    1| 2285.714   pc  |-112.8490   +112.8490    |paral   |2020yCat.1350....0G
563 |BD-02 885                                                                                                                                   |Star                                  |04 22 49.6114713840 -02 20 49.969355856|196.2459218608484 -33.7606852764724|  1.951 -10.850     |10.20    |~               |    ~     ~    |    1|  353.669   pc  |  -4.8657     +4.8657    |paral   |2020yCat.1350....0G
564 |BD-02 894                                                                                                                                   |High Proper Motion Star               |04 25 02.5913970600 -02 24 15.161553324|196.6497371980025 -33.3174675035357| -4.162 -56.823     |10.225   |~               |    ~     ~    |    1|   95.665   pc  |  -4.0320     +4.0320    |ST-L    |2020AJ....160...83S
565 |BD-02 908                                                                                                                                   |Star                                  |04 28 17.4168066144 -02 26 46.075793172|197.1920043927438 -32.6446814380531|-13.950 -26.654     |9.85     |~               |    ~     ~    |    1|  210.908   pc  |  -1.9617     +1.9617    |paral   |2020yCat.1350....0G
566 |TYC 4727-1805-1                                                                                                                             |Star                                  |04 21 43.6014527472 -01 02 03.028472124|194.7338651576666 -33.3013243223553| -3.349 -24.317     |10.913   |~               |    ~     ~    |    1|  273.798   pc  |  -5.1150     +5.1150    |ST-L    |2020AJ....160...83S
567 |BD-02 878                                                                                                                                   |Star                                  |04 21 51.7254503280 -02 00 48.440849508|195.7520157818829 -33.7913110717388|   9.982 -4.323     |10.08    |~               |    ~     ~    |    1|  602.519   pc  |  -6.2441     +6.2441    |paral   |2020yCat.1350....0G
568 |BD-02 880                                                                                                                                   |Spectroscopic Binary                  |04 22 22.0392582072 -01 59 33.365905260|195.8104065081916 -33.6729434060685|  7.015 -25.487     |10.352   |~               |    ~     ~    |    1|  355.968   pc  |  -7.6860     +7.6860    |ST-L    |2020AJ....160...83S
569 |TYC 4727-1547-1                                                                                                                             |Star                                  |04 22 27.7256817744 -00 58 03.397308060|194.7838192042872 -33.1103409030350|   0.013 -5.360     |10.4     |~               |    ~     ~    |    1|  368.392   pc  |  -2.2121     +2.2121    |paral   |2020yCat.1350....0G
570 |BD-02 882                                                                                                                                   |High Proper Motion Star               |04 22 30.6405923088 -02 18 51.919108956|196.1626745605067 -33.8109451558186| 44.280 -44.135     |9.69     |~               |    ~     ~    |    1|  184.043   pc  |  -0.5826     +0.5826    |paral   |2020yCat.1350....0G
571 |BD-01 634                                                                                                                                   |Star                                  |04 23 52.5165704136 -01 08 23.901976608|195.1819086347450 -32.9028925885360|  10.869 -5.720     |10.252   |~               |    ~     ~    |    1|  665.579   pc  | -22.4900    +22.4900    |ST-L    |2020AJ....160...83S
572 |TYC 4727-261-1                                                                                                                              |Star                                  |04 24 56.0010165048 -00 11 25.611626400|194.3966407852213 -32.1726085443730|    1.399 5.208     |10.3     |~               |    ~     ~    |    1|  819.807   pc  | -11.5598    +11.5598    |paral   |2020yCat.1350....0G
573 |BD-02 897                                                                                                                                   |Star                                  |04 25 23.4386871936 -01 59 18.304791036|196.2793913461184 -33.0270797426963|    8.146 0.877     |10.13    |~               |    ~     ~    |    1|  771.962   pc  | -10.1307    +10.1307    |paral   |2020yCat.1350....0G
574 |TYC 4727-217-1                                                                                                                              |Star                                  |04 25 39.5054313192 -00 02 17.354682420|194.3598311864129 -31.9379212197622|  3.041 -37.024     |10.2     |~               |    ~     ~    |    1|  158.363   pc  |  -0.4063     +0.4063    |paral   |2020yCat.1350....0G
575 |BD-02 902                                                                                                                                   |Star                                  |04 26 04.0868684688 -01 57 22.227807132|196.3517680301859 -32.8658283321398|   20.110 9.447     |10.11    |~               |    ~     ~    |    1|  291.588   pc  |  -1.6069     +1.6069    |paral   |2020yCat.1350....0G
576 |TYC 4727-740-1                                                                                                                              |Star                                  |04 28 06.0358578408 -01 27 53.633506644|196.1692090905808 -32.1761814878158|  15.689 -7.623     |10.07    |~               |    ~     ~    |    1|  677.369   pc  |  -6.5613     +6.5613    |paral   |2020yCat.1350....0G
577 |BD-01 648                                                                                                                                   |Spectroscopic Binary                  |04 28 42.1861092792 -01 22 16.536893916|196.1679227187691 -31.9988648687517|  3.433 -11.016     |10.13    |~               |    ~     ~    |    1|  252.845   pc  |  -0.9717     +0.9717    |paral   |2020yCat.1350....0G
578 |BD-02 913                                                                                                                                   |High Proper Motion Star               |04 29 07.6579102320 -01 53 40.533608148|196.7605241228056 -32.1807076070876|  5.822 -56.816     |10.891   |~               |    ~     ~    |    1|  202.709   pc  |  -2.5650     +2.5650    |ST-L    |2020AJ....160...83S
579 |BD-02 876                                                                                                                                   |Long-Period Variable Candidate        |04 21 13.5529439040 -01 48 31.069795104|195.4417165551389 -33.8185493937860|   7.003 -4.580     |9.38     |M5              |    ~     ~    |    1|  766.46    pc  | -21.6773    +21.6773    |paral   |2020yCat.1350....0G
580 |TYC 4726-1310-1                                                                                                                             |Star                                  |04 18 54.4704001944 -01 26 25.884348504|194.6947663691204 -34.1140037657427|   5.064 -6.715     |10.741   |~               |    ~     ~    |    1|  798.876   pc  | -26.1000    +26.1000    |ST-L    |2020AJ....160...83S
581 |TYC 4727-72-1                                                                                                                               |Star                                  |04 25 45.9458299752 -01 50 14.480039040|196.1841586339229 -32.8682776409266|  17.831 21.661     |10.76    |~               |    ~     ~    |    1|  336.576   pc  |  -2.6168     +2.6168    |paral   |2020yCat.1350....0G
582 |TYC 4727-92-1                                                                                                                               |Star                                  |04 25 29.2561270656 -01 51 19.320825600|196.1591931809529 -32.9369500594935|  24.341 -1.950     |10.319   |~               |    ~     ~    |    1|  164.732   pc  |  -1.5920     +1.5920    |ST-L    |2020AJ....160...83S
583 |TYC 4727-144-1                                                                                                                              |Star                                  |04 20 50.2243631280 -01 11 22.767423612|194.7492170284677 -33.5723519535292|  23.637 -5.052     |10.6     |~               |    ~     ~    |    1|  252.589   pc  |  -1.1612     +1.1612    |paral   |2020yCat.1350....0G
584 |TYC 4727-251-1                                                                                                                              |High Proper Motion Star               |04 25 06.6168448464 -00 36 42.385187124|194.8456324620967 -32.3605828127648|  1.120 -51.388     |10.928   |~               |    ~     ~    |    1|  236.814   pc  |  -3.8060     +3.8060    |ST-L    |2020AJ....160...83S
585 |TYC 4727-253-1                                                                                                                              |High Proper Motion Star               |04 29 24.6225740424 -00 09 09.218074716|195.0614793909079 -31.2060989417960| 62.340 -30.387     |10.8     |~               |    ~     ~    |    1|  193.046   pc  |  -0.7379     +0.7379    |paral   |2020yCat.1350....0G
586 |TYC 4727-288-1                                                                                                                              |High Proper Motion Star               |04 27 51.794136 -01 09 28.47312        |195.823804013 -32.065789993        |      54.1 -5.7     |10.891   |~               |    ~     ~    |    0|                |                         |        |                   
587 |TYC 4727-350-1                                                                                                                              |Star                                  |04 21 48.9764326752 -01 33 38.981621700|195.2826513103184 -33.5623154087439|   20.989 1.152     |10.32    |~               |    ~     ~    |    1|  294.317   pc  |  -1.4812     +1.4812    |paral   |2020yCat.1350....0G
588 |TYC 4727-354-1                                                                                                                              |Star                                  |04 29 13.1620877496 -01 30 12.150084168|196.3801734220526 -31.9577900914453|  -5.955 -5.158     |10.305   |~               |    ~     ~    |    1|  563.359   pc  | -29.8900    +29.8900    |ST-L    |2020AJ....160...83S
589 |TYC 4727-370-1                                                                                                                              |Star                                  |04 23 56.5454520648 -02 00 45.601039188|196.0782568930939 -33.3482943116947|   2.029 -7.164     |10.881   |~               |    ~     ~    |    1|  347.500   pc  |  -9.8650     +9.8650    |ST-L    |2020AJ....160...83S
590 |TYC 4727-469-1                                                                                                                              |Star                                  |04 24 00.1254665784 -00 08 09.220271748|194.1942911100140 -32.3396292407827|   5.740 -5.412     |10.872   |~               |    ~     ~    |    1| 1026.130   pc  | -64.0300    +64.0300    |ST-L    |2020AJ....160...83S
591 |TYC 4727-624-1                                                                                                                              |Star                                  |04 20 26.2350628728 -01 26 29.560176132|194.9413896187888 -33.7911230461983|    7.691 1.753     |10.62    |~               |    ~     ~    |    1|  781.616   pc  | -37.0220    +37.0220    |paral   |2020yCat.1350....0G
592 |TYC 4727-733-1                                                                                                                              |Star                                  |04 20 07.6376426280 -00 42 56.624923260|194.1552370792744 -33.4681023579347| -0.302 -22.916     |10.3     |~               |    ~     ~    |    1|  314.436   pc  |  -2.6794     +2.6794    |paral   |2020yCat.1350....0G
593 |TYC 4727-884-1                                                                                                                              |Star                                  |04 28 47.2768903392 -01 11 41.266031748|196.0038262772717 -31.8884133271361| 36.810 -15.122     |10.832   |~               |    ~     ~    |    1|  335.849   pc  |  -7.3980     +7.3980    |ST-L    |2020AJ....160...83S
594 |TYC 4727-892-1                                                                                                                              |Star                                  |04 24 55.2280935984 -01 17 34.277176392|195.5007985799978 -32.7621035063338| 15.955 -35.955     |10.98    |~               |    ~     ~    |    1|  184.889   pc  |  -2.1700     +2.1700    |ST-L    |2020AJ....160...83S
595 |TYC 4727-1092-1                                                                                                                             |Star                                  |04 29 33.4428 -01 42 39.815            |196.6410702 -31.9936971            |   21.697 8.921     |10.583   |~               |    ~     ~    |    1|  298.228   pc  | -10.8200    +10.8200    |ST-L    |2020AJ....160...83S
596 |TYC 4727-1109-1                                                                                                                             |Star                                  |04 24 42.2415531672 -00 49 11.877110220|194.9903880046307 -32.5574053637215| 21.428 -32.528     |10.657   |~               |    ~     ~    |    1|  267.232   pc  |  -4.4770     +4.4770    |ST-L    |2020AJ....160...83S
597 |TYC 4727-1311-1                                                                                                                             |Star                                  |04 25 16.8532745808 -00 57 21.631386600|195.2179443939479 -32.5074612778589|  5.309 -13.187     |10.7     |~               |    ~     ~    |    1|  688.048   pc  | -27.8700    +27.8700    |ST-L    |2020AJ....160...83S
598 |TYC 4727-1317-1                                                                                                                             |Star                                  |04 24 41.5839728832 -00 14 22.576205904|194.4075724551038 -32.2496755436009|  -8.901 -5.073     |10.7     |~               |    ~     ~    |    1|  675.356   pc  |  -8.3011     +8.3011    |paral   |2020yCat.1350....0G
599 |TYC 4727-1320-1                                                                                                                             |Star                                  |04 27 13.2478287216 -02 04 08.498805744|196.6445211020956 -32.6785228169358|   -0.407 4.263     |10.95    |~               |    ~     ~    |    1|  422.815   pc  |  -3.9509     +3.9509    |paral   |2020yCat.1350....0G
600 |TYC 4727-1382-1                                                                                                                             |Star                                  |04 25 36.3150680784 -01 39 33.728710284|195.9786563280714 -32.8093244461655|  -1.803 -1.827     |10.31    |~               |    ~     ~    |    0|                |                         |        |                   
601 |TYC 4727-1543-1                                                                                                                             |Star                                  |04 23 03.7873380624 -00 56 07.729745136|194.8469532396242 -32.9661115314901| 21.153 -23.146     |10.747   |~               |    ~     ~    |    1|  184.778   pc  |  -2.0920     +2.0920    |ST-L    |2020AJ....160...83S
602 |TYC 4727-1607-1                                                                                                                             |Star                                  |04 21 05.6166242232 -01 04 51.549852684|194.6800675006869 -33.4601139777504|  15.269 -2.912     |10.300   |~               |    ~     ~    |    1|  251.199   pc  |  -3.5820     +3.5820    |ST-L    |2020AJ....160...83S
603 |TYC 4727-1850-1                                                                                                                             |Star                                  |04 29 31.8547393368 -02 20 55.536257760|197.2819858316507 -32.3288490498167|  -11.768 7.158     |10.46    |~               |    ~     ~    |    1|  205.377   pc  |  -1.2359     +1.2359    |paral   |2020yCat.1350....0G
604 |TYC 4727-1862-1                                                                                                                             |Star                                  |04 25 33.2202395832 -01 35 06.443424168|195.8954104155618 -32.7813642849879| 13.060 -11.833     |10.235   |~               |    ~     ~    |    1|  364.301   pc  |  -9.5650     +9.5650    |ST-L    |2020AJ....160...83S
605 |TYC 4727-1880-1                                                                                                                             |Star                                  |04 24 46.9979396448 -02 04 08.809118724|196.2670867714953 -33.1986343370567|   6.888 -9.356     |10.57    |~               |    ~     ~    |    1|  258.691   pc  |  -4.3360     +4.3360    |ST-L    |2020AJ....160...83S
606 |TYC 4727-2027-1                                                                                                                             |Star                                  |04 24 31.9124395992 -01 12 18.162194616|195.3510843624254 -32.7981579498595|   -5.634 0.781     |10.340   |~               |    ~     ~    |    1|  758.155   pc  | -27.9800    +27.9800    |ST-L    |2020AJ....160...83S
607 |TYC 4727-2053-1                                                                                                                             |Star                                  |04 25 19.7851666176 -02 03 11.647974888|196.3359152998798 -33.0738569490988|  12.080 10.962     |10.599   |~               |    ~     ~    |    1|  394.413   pc  | -14.3600    +14.3600    |ST-L    |2020AJ....160...83S
608 |HD 27810                                                                                                                                    |Star                                  |04 23 15.0339915360 -05 00 20.512009080|199.0832132856060 -35.0247899539463| 38.163 -19.424     |7.61     |K3III           |    ~     ~    |    1|  193.300   pc  |  -0.8669     +0.8669    |paral   |2020yCat.1350....0G
609 |HD 27810B                                                                                                                                   |Star                                  |04 23 14.0864794560 -05 00 30.457369764|199.0837499877066 -35.0295760292294| 36.439 -20.130     |9.52     |~               |    ~     ~    |    1|  187.147   pc  |  -1.3659     +1.3659    |paral   |2020yCat.1350....0G
610 |HD 28054                                                                                                                                    |High Proper Motion Star               |04 25 36.2221631760 -05 05 29.040964836|199.5277808695639 -34.5584727040182| 73.209 -35.198     |7.76     |K2III           |    ~     ~    |    1|  153.694   pc  |  -1.3030     +1.3030    |ST-L    |2020AJ....160...83S
611 |HD 28088                                                                                                                                    |Star                                  |04 25 43.7505423960 -05 09 11.075329908|199.6116374399310 -34.5617895013388|  17.306 -5.219     |7.32     |K1III           |    ~     ~    |    1|  192.875   pc  |  -0.7701     +0.7701    |paral   |2020yCat.1350....0G
612 |NGC 1580                           NGC 1580                                                                                                 |Galaxy towards a Group of Galaxies    |04 28 18.4599553344 -05 10 43.585168152|200.0214132984129 -34.0157046204101|   1.498 -0.484     |     ~   |~               |0.660 0.634    |    1|   57.79    Mpc |                         |redshift|2007ApJ...655..790C
613 |V* DQ Eri                                                                                                                                   |Long-Period Variable                  |04 20 15.3037493064 -02 37 42.762339696|196.1309565380803 -34.4554442916133|  25.627 -1.190     |7.01     |M3III           |    ~     ~    |    1|  334.247   pc  |  -3.6533     +3.6533    |paral   |2020yCat.1350....0G
614 |HD 27340                                                                                                                                    |Star                                  |04 18 45.1913168928 -02 41 48.268848948|195.9633714371782 -34.8108447070984|  -1.612 -0.892     |8.89     |A3IV/V          |    ~     ~    |    1|  271.427   pc  |  -5.0740     +5.0740    |ST-L    |2020AJ....160...83S
615 |BD-03 744                                                                                                                                   |Star                                  |04 19 18.9656772552 -03 17 49.108329924|196.6775940833261 -35.0031005568016| -2.262 -10.908     |9.76     |A0              |    ~     ~    |    1|  270.730   pc  |  -4.6850     +4.6850    |ST-L    |2020AJ....160...83S
616 |HD 27422                                                                                                                                    |Star                                  |04 19 28.7387702088 -03 07 10.733463120|196.5182442989149 -34.8764747805474| -6.423 -23.620     |9.538    |F2V             |    ~     ~    |    1|  201.233   pc  |  -2.6970     +2.6970    |ST-L    |2020AJ....160...83S
617 |HD 27485                                                                                                                                    |High Proper Motion Star               |04 20 14.5709081075 -03 45 04.855925430|197.2986292737847 -35.0386985130344|-21.618 -315.441    |7.86     |G3V             |    ~     ~    |    1|   62.6967  pc  |  -0.5644     +0.5644    |paral   |2020yCat.1350....0G
618 |HD 27574                                                                                                                                    |Star                                  |04 21 01.5921051096 -03 43 08.049498672|197.3867073268008 -34.8541373416502|    8.448 5.695     |7.41     |K0III           |    ~     ~    |    1|  224.100   pc  |  -1.1099     +1.1099    |paral   |2020yCat.1350....0G
619 |HD 27466                                                                                                                                    |High Proper Motion Star               |04 19 57.0776578176 -04 26 19.541530932|197.9777356366044 -35.4512783166256|-59.622 -36.257     |7.82     |G5V             |    ~     ~    |    1|   37.001   pc  |  -0.0326     +0.0326    |paral   |2020yCat.1350....0G
620 |HD 27486                                                                                                                                    |Star                                  |04 20 11.3768132904 -04 29 35.236248216|198.0721684738910 -35.4275323379235|   -2.362 5.527     |8.99     |G2V             |    ~     ~    |    1|  132.630   pc  |  -0.3307     +0.3307    |paral   |2020yCat.1350....0G
621 |BD-04 805                                                                                                                                   |Spectroscopic Binary                  |04 20 54.4098742800 -04 33 08.659218456|198.2455667284789 -35.3031533339026| 13.285 -16.505     |8.87     |K2              |    ~     ~    |    1|  627.668   pc  |  -9.3370     +9.3370    |paral   |2020yCat.1350....0G
622 |BD-03 746                                                                                                                                   |Star                                  |04 19 35.2054922568 -03 36 12.558942072|197.0409386889482 -35.1033106364461| -10.436 -3.942     |10.326   |~               |    ~     ~    |    1|  388.248   pc  |  -9.7950     +9.7950    |ST-L    |2020AJ....160...83S
623 |BD-03 749                                                                                                                                   |Star                                  |04 20 03.9415787904 -03 34 40.746423468|197.0892493416353 -34.9876991636174|  -1.901 14.711     |9.91     |~               |    ~     ~    |    1|  626.017   pc  |  -7.7204     +7.7204    |paral   |2020yCat.1350....0G
