C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |BD-00 669                                                                                                                                   |Star                                  |04 16 46.8289120152 -00 37 54.492405672|193.5257294684233 -34.1264060558123|  -6.484 -3.985     |10.7     |~               |    ~     ~    |    1|  449.256   pc  |  -3.3908     +3.3908    |paral   |2020yCat.1350....0G
23  |BD-02 860                                                                                                                                   |Star                                  |04 18 38.8219707648 -02 19 45.265406016|195.5658505741346 -34.6405050110274|  2.213 -36.207     |10.40    |~               |    ~     ~    |    1|  427.894   pc  | -13.2600    +13.2600    |ST-L    |2020AJ....160...83S
24  |TYC 4726-30-1                                                                                                                               |Star                                  |04 16 55.2911980848 -01 10 12.776961612|194.0966499945999 -34.3880640487962|   -3.328 8.155     |10.164   |~               |    ~     ~    |    1|  651.161   pc  | -20.4300    +20.4300    |ST-L    |2020AJ....160...83S
25  |TYC 4726-301-1                                                                                                                              |Star                                  |04 18 15.5824444032 -00 27 14.986640952|193.5880430010095 -33.7194331844592|   5.556 -6.203     |9.90     |~               |    ~     ~    |    1|  561.672   pc  |  -5.6155     +5.6155    |paral   |2020yCat.1350....0G
26  |TYC 4726-625-1                                                                                                                              |Star                                  |04 15 26.8413782208 -00 28 06.398000292|193.1404358981676 -34.3168137875616|  12.572 -7.870     |10.5     |~               |    ~     ~    |    1|  313.952   pc  |  -2.0107     +2.0107    |paral   |2020yCat.1350....0G
27  |TYC 4726-664-1                                                                                                                              |Star                                  |04 16 19.1688865248 -00 55 23.168475012|193.7461594644955 -34.3812385513477| 13.032 -19.026     |10.7     |~               |    ~     ~    |    1|  406.570   pc  |  -5.0416     +5.0416    |paral   |2020yCat.1350....0G
28  |TYC 4726-692-1                                                                                                                              |Star                                  |04 17 11.3938229343 -01 03 32.833813575|194.0271163029665 -34.2716814402423|  0.569 -25.998     |10.62    |~               |    ~     ~    |    1|  106.6121  pc  |  -4.3930     +4.3930    |paral   |2018yCat.1345....0G
29  |TYC 4726-927-1                                                                                                                              |Star                                  |04 15 16.7490808440 -00 38 45.085072416|193.2927383807578 -34.4488930548516|   8.050 -3.890     |10.875   |~               |    ~     ~    |    1|  886.056   pc  | -35.5800    +35.5800    |ST-L    |2020AJ....160...83S
30  |TYC 4726-1119-1                                                                                                                             |Star                                  |04 16 54.3226202976 -01 24 37.991430360|194.3397704688623 -34.5206896392697|-11.382 -24.130     |10.676   |~               |    ~     ~    |    1|  222.049   pc  |  -2.7750     +2.7750    |ST-L    |2020AJ....160...83S
31  |TYC 4726-1258-1                                                                                                                             |Star                                  |04 17 30.6861353880 -01 00 26.146005552|194.0267217936023 -34.1760325752780|  -2.449 -4.437     |10.53    |~               |    ~     ~    |    1|  189.512   pc  |  -2.4880     +2.4880    |ST-L    |2020AJ....160...83S
32  |TYC 4726-1289-1                                                                                                                             |Star                                  |04 17 23.3227457232 -00 48 16.981322724|193.8007798723886 -34.0924250881414| -6.103 -27.361     |10.6     |~               |    ~     ~    |    1|  296.121   pc  |  -6.5320     +6.5320    |ST-L    |2020AJ....160...83S
33  |TYC 4726-1305-1                                                                                                                             |Star                                  |04 18 10.4535737232 -01 40 52.543723764|194.8228498092933 -34.3974813720033|   -4.729 2.018     |10.95    |~               |    ~     ~    |    1|  714.439   pc  |  -8.5241     +8.5241    |paral   |2020yCat.1350....0G
34  |TYC 4726-1609-1                                                                                                                             |Star                                  |04 17 53.9399576520 -01 09 21.619503792|194.2412700002865 -34.1744886255666|  20.153 -4.567     |10.60    |~               |    ~     ~    |    1|  283.760   pc  |  -2.4478     +2.4478    |paral   |2020yCat.1350....0G
35  |BD-05 863                                                                                                                                   |Star                                  |04 16 12.5963540280 -05 00 24.880254372|198.0012314035688 -36.5427695401033|  -4.574 -7.074     |9.72     |F2              |    ~     ~    |    1|  238.090   pc  |  -1.0317     +1.0317    |paral   |2020yCat.1350....0G
36  |HD 26931                                                                                                                                    |Star                                  |04 15 13.4283552216 -03 10 13.280757420|195.8929894485682 -35.8095951441790| -5.854 -34.902     |8.38     |F5V             |    ~     ~    |    1|   83.589   pc  |  -0.1719     +0.1719    |paral   |2020yCat.1350....0G
37  |HD 26964                                                                                                                                    |Star                                  |04 15 44.5497304728 -03 31 42.614186916|196.3533088779313 -35.8857939866026|  -6.346 -1.640     |8.88     |A3V             |    ~     ~    |    1|  363.835   pc  |  -3.3094     +3.3094    |paral   |2020yCat.1350....0G
38  |HD 27031                                                                                                                                    |Star                                  |04 16 12.0453483912 -03 07 55.466013360|196.0097830205218 -35.5816906875743|  -10.883 7.368     |8.93     |F3V             |    ~     ~    |    1|  195.126   pc  |  -1.1727     +1.1727    |paral   |2020yCat.1350....0G
39  |HD 27111                                                                                                                                    |Star                                  |04 16 45.9176962080 -03 07 20.480919852|196.0899917583801 -35.4564220430764|   -3.283 6.334     |9.26     |F3IV/V          |    ~     ~    |    1|  232.132   pc  |  -0.8783     +0.8783    |paral   |2020yCat.1350....0G
40  |BD-04 782                                                                                                                                   |Spectroscopic Binary                  |04 15 09.5344264586 -04 25 06.381142715|197.2051344970499 -36.4692373072603|   90.33 -96.25     |9.332    |K5V             |    ~     ~    |    1|   35.0862  pc  |  -0.2905     +0.2905    |paral   |2018yCat.1345....0G
41  |BD-04 784                                                                                                                                   |High Proper Motion Star               |04 15 15.7137924312 -04 21 10.841178996|197.1515993697914 -36.4136939116428|  92.964 83.156     |9.73     |G5              |    ~     ~    |    1|   84.512   pc  |  -0.1193     +0.1193    |paral   |2020yCat.1350....0G
