C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |CD-42 12247                                                                                              |Star                                  |17 33 37.4710296072 -42 41 14.452262592|347.0394791299148 -05.2373677071277|  -0.554 -2.610   |10.17    |~                |    ~     ~    |    1|  943.307   pc  | -27.4957    +27.4957    |paral   |2020yCat.1350....0G
23  |CD-42 12253                                                                                              |Star                                  |17 33 46.3292506824 -42 40 26.859575100|347.0653332087027 -05.2531206965885|   2.089 -8.475   |9.62     |~                |    ~     ~    |    1|  241.820   pc  |  -1.0175     +1.0175    |paral   |2020yCat.1350....0G
24  |CD-42 12254                                                                                              |Star                                  |17 33 49.6184058336 -42 47 43.869763788|346.9680004473192 -05.3269051250066|  -1.229 -5.231   |10.84    |A2               |    ~     ~    |    1|  621.697   pc  |  -6.8412     +6.8412    |paral   |2020yCat.1350....0G
25  |CD-42 12257                                                                                              |Star                                  |17 33 53.8278905016 -42 28 46.709440824|347.2423824889199 -05.1678781914552|  -6.270 -5.999   |9.52     |K5               |    ~     ~    |    1|  745.879   pc  | -27.2604    +27.2604    |paral   |2020yCat.1350....0G
26  |HD 159014                                                                                                |Emission-line Star                    |17 34 24.5706055128 -42 54 21.087603252|346.9321014054367 -05.4762260098466|  -0.499 -2.241   |9.64     |A(pSi)           |    ~     ~    |    1| 1016.467   pc  | -26.3467    +26.3467    |paral   |2020yCat.1350....0G
27  |HD 159111                                                                                                |Star                                  |17 34 54.5275012920 -42 55 01.551775044|346.9717649444644 -05.5594436178594|   4.656 -8.385   |8.05     |B5/7IV           |    ~     ~    |    1|  458.737   pc  |  -6.8814     +6.8814    |paral   |2020yCat.1350....0G
28  |HD 159129                                                                                                |Star                                  |17 35 00.3368053536 -43 01 11.504212716|346.8940414559323 -05.6293774015475|  -0.808 -1.881   |8.91     |B5II/III         |    ~     ~    |    1| 1212.709   pc  | -55.7381    +55.7381    |paral   |2020yCat.1350....0G
29  |CD-42 12277                                                                                              |Star                                  |17 35 21.4426853232 -42 45 17.325769536|347.1537292993745 -05.5421757034401|     30.1 -28.0   |10.191   |G0               |    ~     ~    |    0|                |                         |        |                   
30  |HD 159196                                                                                                |Star                                  |17 35 21.4197837840 -42 25 51.978769248|347.4285431640875 -05.3691247800040|   1.966 -2.247   |9.84     |B5/7III          |    ~     ~    |    1|  819.538   pc  | -43.0523    +43.0523    |paral   |2020yCat.1350....0G
31  |HD 159216                                                                                                |Star                                  |17 35 26.3535719784 -43 02 35.940574032|346.9166541362873 -05.7088934173530|-24.016 -17.817   |8.77     |K1(III)          |    ~     ~    |    1|  398.454   pc  | -14.3365    +14.3365    |paral   |2020yCat.1350....0G
32  |HD 323864                                                                                                |Star                                  |17 35 54.1855705824 -42 20 35.838981852|347.5572069063335 -05.4074859023594|  -2.223 -2.905   |10.15    |G0               |    ~     ~    |    1|  240.234   pc  |  -0.9753     +0.9753    |paral   |2020yCat.1350....0G
33  |HD 323865                                                                                                |Star                                  |17 36 03.4157608848 -42 22 21.148211496|347.5475705697126 -05.4471261061184|      -5.1 -2.5   |10.55    |F2               |    ~     ~    |    0|                |                         |        |                   
34  |CD-42 12292                                                                                              |Star                                  |17 36 20.9977025040 -42 49 14.450257308|347.1952616942966 -05.7313677047565|   2.530 -1.565   |9.07     |~                |    ~     ~    |    0|                |                         |        |                   
35  |HD 159362                                                                                                |Double or Multiple Star               |17 36 22.2249248496 -42 44 46.691389392|347.2605696541556 -05.6949914930335|-15.476 -32.007   |9.19     |A2mA3-A8         |    ~     ~    |    1|  157.448   pc  |  -1.0536     +1.0536    |paral   |2020yCat.1350....0G
36  |HD 159400                                                                                                |Star                                  |17 36 33.1496462208 -42 59 40.320114792|347.0670451163871 -05.8551747377056|  -1.659 -8.688   |8.61     |B9Ib/II          |    ~     ~    |    1|  565.739   pc  |  -7.9055     +7.9055    |paral   |2020yCat.1350....0G
37  |CD-42 12298                                                                                              |Star                                  |17 36 37.4643650280 -42 58 17.458275000|347.0936717575979 -05.8540967892978|  -0.377 -2.024   |10.66    |~                |    ~     ~    |    1| 1125.873   pc  | -27.6334    +27.6334    |paral   |2020yCat.1350....0G
38  |CD-42 12304                                                                                              |High Proper Motion Star               |17 36 48.3232398504 -42 27 29.702632428|347.5485099647602 -05.6096942106464|-13.232 -73.009   |9.19     |~                |    ~     ~    |    1|  138.870   pc  |  -0.3626     +0.3626    |paral   |2020yCat.1350....0G
39  |HD 324050                                                                                                |Star                                  |17 36 58.0479670512 -42 13 10.125210540|347.7677596177871 -05.5082566147617|  14.979 -8.266   |10.14    |F8               |    ~     ~    |    1|  275.126   pc  |  -1.3776     +1.3776    |paral   |2020yCat.1350....0G
40  |NAME Sargas                        * tet Sco                                                             |Star                                  |17 37 19.12985 -42 59 52.1808          |347.13892434 -05.97573171          |     5.54 -3.12   |1.85     |F1III            |    ~     ~    |    0|                |                         |        |                   
41  |CD-43 11757                                                                                              |Star                                  |17 30 05.9669517216 -43 47 55.972312620|345.7520023038940 -05.3002337632233|  0.541 -21.216   |10.42    |A3               |    ~     ~    |    1|  442.811   pc  |  -4.6275     +4.6275    |paral   |2020yCat.1350....0G
42  |CD-43 11758                                                                                              |Star                                  |17 30 07.3083570384 -43 47 02.309418060|345.7667594862172 -05.2954840248546|  1.178 -20.379   |10.17    |A2               |    ~     ~    |    1|  429.886   pc  |  -4.2504     +4.2504    |paral   |2020yCat.1350....0G
43  |HD 158238                                                                                                |Star                                  |17 30 12.2351302272 -43 11 36.072318588|346.2718481040906 -04.9856620116729|  -5.999 -8.112   |9.43     |A0V              |    ~     ~    |    1|  483.081   pc  | -27.4900    +27.4900    |ST-L    |2020AJ....160...83S
44  |HD 158289                                                                                                |Spectroscopic Binary                  |17 30 29.0690938920 -43 45 14.718548196|345.8277662196775 -05.3340893945740| -0.395 -31.319   |7.51     |F2/3III          |    ~     ~    |    1|  162.025   pc  |  -6.6365     +6.6365    |paral   |2020yCat.1350....0G
45  |CD-43 11762                                                                                              |Star                                  |17 30 29.0759070864 -43 28 23.988271728|346.0642078662787 -05.1811512120451|  -1.245 -5.046   |10.47    |A0               |    ~     ~    |    1|  656.340   pc  | -10.6403    +10.6403    |paral   |2020yCat.1350....0G
46  |HD 158306                                                                                                |Star                                  |17 30 33.9220969296 -43 13 33.852108540|346.2803859084537 -05.0587078223992| 39.294 -27.429   |6.94     |F3/5III/IV       |    ~     ~    |    1|   80.272   pc  |  -0.1572     +0.1572    |paral   |2020yCat.1350....0G
47  |CD-43 11768                                                                                              |Star                                  |17 30 45.7540225536 -43 46 48.181874916|345.8333368509776 -05.3903369591916| -2.793 -15.948   |8.96     |G5               |    ~     ~    |    1|  383.142   pc  |  -2.5836     +2.5836    |paral   |2020yCat.1350....0G
48  |CD-43 11769                                                                                              |Star                                  |17 30 46.9077944184 -43 49 36.380742528|345.7958502098359 -05.4186599620165| -1.232 -49.018   |9.85     |G0               |    ~     ~    |    1|  137.956   pc  |  -0.3559     +0.3559    |paral   |2020yCat.1350....0G
49  |CD-43 11771                                                                                              |Star                                  |17 30 53.0366641872 -43 07 37.460121564|346.3954926823643 -05.0534908199689|  -1.889 -3.430   |10.16    |B9               |    ~     ~    |    1|  772.022   pc  | -14.1852    +14.1852    |paral   |2020yCat.1350....0G
50  |HD 158473                                                                                                |Star                                  |17 31 36.2458482672 -43 37 53.100100596|346.0416618582250 -05.4373356030445|  -0.162 -1.666   |9.53     |B7II             |    ~     ~    |    1| 1099.143   pc  | -27.5450    +27.5450    |paral   |2020yCat.1350....0G
51  |CD-43 11789                                                                                              |Emission-line Star                    |17 32 03.4751344632 -43 58 48.787116852|345.7915340504594 -05.6950016319889|  -0.871 -1.745   |10.50    |B9               |    ~     ~    |    1| 1091.703   pc  | -35.2777    +35.2777    |paral   |2020yCat.1350....0G
52  |HD 158665                                                                                                |Star                                  |17 32 35.4663966936 -43 16 49.410545916|346.4355380667637 -05.3980166413730|    8.614 4.118   |8.56     |K2(III)          |    ~     ~    |    1|  508.259   pc  |  -6.4840     +6.4840    |paral   |2020yCat.1350....0G
53  |HD 158725                                                                                                |Star                                  |17 32 53.6162608344 -43 42 21.669631020|346.1052350198178 -05.6738500127965|  -1.061 -3.926   |9.92     |A0III/IV         |    ~     ~    |    1| 1181.614   pc  | -30.4374    +30.4374    |paral   |2020yCat.1350....0G
54  |CD-43 11803                                                                                              |Star                                  |17 32 51.9202 -43 19 59.421            |346.4179580 -05.4685035            |  -0.109 -0.767   |10.35    |A0               |    ~     ~    |    0|                |                         |        |                   
55  |CD-43 11805                                                                                              |Double or Multiple Star               |17 33 00.4977160632 -43 59 58.122271608|345.8679144997105 -05.8493275351688|  -3.128 -4.760   |9.32     |G5               |0.0067  0.0    |    1|  971.817   pc  | -31.1662    +31.1662    |paral   |2020yCat.1350....0G
56  |HD 158762                                                                                                |Star                                  |17 33 10.5752497680 -43 50 28.194368280|346.0183992152254 -05.7896194576945|  -5.146 -5.359   |8.99     |K0               |    ~     ~    |    1|  933.794   pc  | -23.8920    +23.8920    |paral   |2020yCat.1350....0G
57  |HD 158763                                                                                                |Star                                  |17 33 11.6055319512 -43 57 52.489021140|345.9154976534270 -05.8586207488979|  -0.438 -7.556   |9.39     |B8/9II           |    ~     ~    |    1|  603.682   pc  |  -9.0744     +9.0744    |paral   |2020yCat.1350....0G
58  |HD 158800                                                                                                |Star                                  |17 33 14.9959616832 -43 13 41.078849448|346.5447860625147 -05.4708101702993|  2.947 -10.147   |8.74     |A5/7II           |    ~     ~    |    1|  228.608   pc  |  -2.6967     +2.6967    |paral   |2020yCat.1350....0G
59  |HD 158801                                                                                                |Eclipsing Binary                      |17 33 19.0338594288 -43 15 01.413296388|346.5325282771523 -05.4931554016793|   5.392 -0.230   |9.56     |A5/7II           |    ~     ~    |    1|  426.949   pc  |  -3.5728     +3.5728    |paral   |2020yCat.1350....0G
60  |HD 158847                                                                                                |Star                                  |17 33 36.2375784384 -43 39 20.434060548|346.2173343382231 -05.7550134867353|   0.193 -4.932   |9.97     |A0               |    ~     ~    |    1|  517.706   pc  |  -6.1108     +6.1108    |paral   |2020yCat.1350....0G
61  |HD 158946                                                                                                |Star                                  |17 34 05.8034857464 -43 31 54.459622560|346.3705212581582 -05.7637966548736|   3.538 -5.632   |9.64     |G6/8(III)        |    ~     ~    |    1|  563.984   pc  |  -5.0892     +5.0892    |paral   |2020yCat.1350....0G
62  |HD 159037                                                                                                |Star                                  |17 34 29.6954102760 -43 09 35.825294844|346.7249892279908 -05.6256021023685|  -1.100 -1.767   |8.83     |B5II/III         |    ~     ~    |    1| 1057.641   pc  | -42.9544    +42.9544    |paral   |2020yCat.1350....0G
63  |CD-43 11834                                                                                              |Star                                  |17 34 37.3989672192 -43 08 47.597115444|346.7489602411887 -05.6382008097609|  -2.690 -6.142   |9.51     |~                |    ~     ~    |    0|                |                         |        |                   
64  |CD-43 11835                                                                                              |Star                                  |17 34 44.4408463392 -43 24 47.407836348|346.5341017876235 -05.7989290647893|    4.460 5.957   |10.28    |A                |    ~     ~    |    1|  584.010   pc  | -13.3016    +13.3016    |paral   |2020yCat.1350....0G
65  |CD-43 11836                                                                                              |Star                                  |17 34 45.2030112744 -43 11 23.914410396|346.7248611968724 -05.6814762265229|  -3.106 -6.958   |10.30    |B9               |    ~     ~    |    1|  814.730   pc  | -13.4085    +13.4085    |paral   |2020yCat.1350....0G
66  |CD-43 11837                                                                                              |Star                                  |17 34 44.9863522344 -43 07 46.622553816|346.7757457304464 -05.6486186758548|  -2.216 -4.063   |10.77    |A0               |    ~     ~    |    1|  711.136   pc  | -13.4014    +13.4014    |paral   |2020yCat.1350....0G
