C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
320 |TYC 7897-52-1                                                                                            |Star                                  |17 41 41.7817843920 -43 09 50.851784736|347.4177970923839 -06.7436840269538|  6.517 -11.580   |10.30    |~                |    ~     ~    |    1|  450.593   pc  |  -3.6749     +3.6749    |paral   |2020yCat.1350....0G
321 |TYC 7897-92-1                                                                                            |Star                                  |17 43 06.7938946704 -44 52 19.950344076|346.0746243063527 -07.8425162043747|-10.688 -10.669   |10.80    |~                |    ~     ~    |    1|  576.668   pc  |  -5.8861     +5.8861    |paral   |2020yCat.1350....0G
322 |TYC 7897-280-1                                                                                           |Star                                  |17 40 23.4155417784 -44 47 00.946388904|345.8999744709338 -07.3831894624156|  -0.611 -4.114   |10.66    |~                |    ~     ~    |    1| 1380.834   pc  | -36.2273    +36.2273    |paral   |2020yCat.1350....0G
323 |TYC 7897-289-1                                                                                           |Star                                  |17 42 28.9141020768 -43 56 40.741414440|346.8188220463494 -07.2690827229460|  -2.376 11.256   |10.18    |~                |    ~     ~    |    1|  689.132   pc  |  -7.9784     +7.9784    |paral   |2020yCat.1350....0G
324 |TYC 7897-338-1                                                                                           |Star                                  |17 42 22.4815430328 -44 51 01.155084228|346.0257820077035 -07.7189655611296|   -3.510 4.886   |10.43    |~                |    ~     ~    |    1| 1692.047   pc  | -50.3892    +50.3892    |paral   |2020yCat.1350....0G
325 |TYC 7897-459-1                                                                                           |Star                                  |17 42 52.8077480856 -43 20 35.874214656|347.3755767129491 -07.0208196683437|   1.726 -8.616   |10.73    |~                |    ~     ~    |    1| 1112.966   pc  | -28.2422    +28.2422    |paral   |2020yCat.1350....0G
326 |TYC 7897-479-1                                                                                           |Star                                  |17 42 25.5656672880 -43 54 12.282425892|346.8492187853594 -07.2392100922104|   0.796 -2.250   |10.74    |~                |    ~     ~    |    1|  487.045   pc  |  -6.3573     +6.3573    |paral   |2020yCat.1350....0G
327 |TYC 7897-549-1                                                                                           |Star                                  |17 41 39.3588122472 -44 11 52.684182672|346.5229060863446 -07.2728167203762|   0.289 -1.752   |10.34    |~                |    ~     ~    |    1| 1055.520   pc  | -17.0461    +17.0461    |paral   |2020yCat.1350....0G
328 |TYC 7897-582-1                                                                                           |Star                                  |17 41 26.7062756616 -43 58 58.745152416|346.6885735589139 -07.1291608318984|  -4.626 -3.846   |10.55    |~                |    ~     ~    |    1|  676.911   pc  |  -9.1183     +9.1183    |paral   |2020yCat.1350....0G
329 |TYC 7897-587-1                                                                                           |Star                                  |17 40 30.3031882440 -44 10 38.165587824|346.4329244106314 -07.0856625828767|   34.301 1.075   |10.63    |~                |    ~     ~    |    1|   89.397   pc  |  -0.1742     +0.1742    |paral   |2020yCat.1350....0G
330 |TYC 7897-657-1                                                                                           |Star                                  |17 40 12.7144883304 -43 22 15.569596272|347.0983777406778 -06.6205155976084|  5.969 -35.888   |10.32    |~                |    ~     ~    |    1|  569.087   pc  |  -5.8943     +5.8943    |paral   |2020yCat.1350....0G
331 |TYC 7897-756-1                                                                                           |Star                                  |17 44 26.4746775792 -43 30 44.077794048|347.3761538463555 -07.3507867200829|  -6.054 -6.998   |10.23    |~                |    ~     ~    |    1| 1070.320   pc  | -20.2769    +20.2769    |paral   |2020yCat.1350....0G
332 |TYC 7897-828-1                                                                                           |Star                                  |17 42 45.5538655944 -43 55 45.016779000|346.8581270300609 -07.3038997865515|   1.025 -0.215   |10.36    |~                |    ~     ~    |    1| 1330.495   pc  | -27.7924    +27.7924    |paral   |2020yCat.1350....0G
333 |TYC 7897-932-1                                                                                           |Star                                  |17 44 45.1046106096 -44 22 02.127197100|346.6631601068343 -07.8352364657685|  -2.172 -4.484   |10.81    |~                |    ~     ~    |    1|  672.540   pc  |  -9.9056     +9.9056    |paral   |2020yCat.1350....0G
334 |TYC 7897-979-1                                                                                           |Star                                  |17 43 27.3353018040 -44 03 44.230614588|346.8078757122379 -07.4797429453292|   0.375 -7.011   |10.66    |~                |    ~     ~    |    1|  670.646   pc  |  -9.9398     +9.9398    |paral   |2020yCat.1350....0G
335 |TYC 7897-1026-1                                                                                          |Star                                  |17 42 12.7187722392 -43 34 39.620886060|347.1102609327281 -07.0379363685595|   2.764 -4.966   |10.41    |~                |    ~     ~    |    1|  943.485   pc  | -15.9339    +15.9339    |paral   |2020yCat.1350....0G
336 |TYC 7897-1089-1                                                                                          |Star                                  |17 42 06.9344735904 -43 56 45.465194616|346.7833951969088 -07.2132744123257| -1.446 -11.628   |10.28    |~                |    ~     ~    |    1|  721.605   pc  |  -7.7586     +7.7586    |paral   |2020yCat.1350....0G
337 |TYC 7897-1105-1                                                                                          |Star                                  |17 43 55.3506128304 -44 05 22.761900492|346.8275065758768 -07.5657839383155| -10.010 -0.820   |10.51    |~                |    ~     ~    |    1|  794.976   pc  |  -9.7958     +9.7958    |paral   |2020yCat.1350....0G
338 |TYC 7897-1176-1                                                                                          |High Proper Motion Star               |17 42 00.4134881592 -44 13 28.666711056|346.5326434075493 -07.3404301986313|-35.970 -69.337   |10.56    |~                |    ~     ~    |    1|  191.880   pc  |  -0.6701     +0.6701    |paral   |2020yCat.1350....0G
339 |TYC 7897-1235-1                                                                                          |Star                                  |17 43 11.3503807320 -44 34 11.224106400|346.3436884976071 -07.6990928550138|  -2.210 -7.874   |10.56    |~                |    ~     ~    |    1|  509.580   pc  |  -6.4918     +6.4918    |paral   |2020yCat.1350....0G
340 |TYC 7897-1502-1                                                                                          |Star                                  |17 41 28.4209691928 -44 39 03.694402188|346.1148734527673 -07.4791534015714|   4.066 -6.042   |10.75    |~                |    ~     ~    |    1|  737.463   pc  |  -7.9402     +7.9402    |paral   |2020yCat.1350....0G
341 |TYC 7897-1632-1                                                                                          |Star                                  |17 40 09.4337512800 -44 39 47.744880408|345.9819533123888 -07.2852989646505| -3.362 -32.939   |9.84     |~                |    ~     ~    |    1|  577.467   pc  |  -5.6023     +5.6023    |paral   |2020yCat.1350....0G
342 |TYC 7897-1637-1                                                                                          |Star                                  |17 44 27.3204884400 -44 42 24.741750924|346.3409360778334 -07.9627546082293|  -0.690 -4.151   |10.58    |~                |    ~     ~    |    1|  865.651   pc  | -14.3126    +14.3126    |paral   |2020yCat.1350....0G
343 |TYC 7897-1709-1                                                                                          |Star                                  |17 43 41.8651922904 -44 34 32.892933252|346.3852790657377 -07.7799710751724| -9.328 -30.445   |10.50    |~                |    ~     ~    |    1|  356.037   pc  |  -2.1423     +2.1423    |paral   |2020yCat.1350....0G
344 |TYC 7897-1724-1                                                                                          |Star                                  |17 44 19.1437242168 -44 43 04.407778380|346.3189066898268 -07.9475358923276|   2.693 -1.894   |10.64    |~                |    ~     ~    |    1| 1180.498   pc  | -27.4534    +27.4534    |paral   |2020yCat.1350....0G
345 |TYC 7897-1750-1                                                                                          |Star                                  |17 44 01.2846750144 -44 44 56.100949836|346.2647401227436 -07.9178903000909| -1.215 -11.411   |10.88    |~                |    ~     ~    |    1| 1119.445   pc  | -20.8024    +20.8024    |paral   |2020yCat.1350....0G
346 |CD-43 11887                                                                                              |Rotating Variable                     |17 38 06.0929393952 -44 03 31.580398008|346.3074590552885 -06.6560034530218|-10.424 -34.733   |10.241   |G9V              |    ~     ~    |    1|  124.880   pc  |  -0.2402     +0.2402    |paral   |2020yCat.1350....0G
347 |HD 158455                                                                                                |High Proper Motion Star               |17 31 15.8059633296 -39 58 30.029754144|349.0834705647129 -03.3936633305919|-48.709 -18.998   |8.48     |F6V              |    ~     ~    |    1|   72.547   pc  |  -0.1368     +0.1368    |paral   |2020yCat.1350....0G
348 |HD 158469                                                                                                |Star                                  |17 31 19.7571326640 -39 09 55.118534652|349.7695174672689 -02.9617381760988| -35.009 23.126   |7.94     |F8/G2V           |    ~     ~    |    1|   67.252   pc  |  -0.1009     +0.1009    |paral   |2020yCat.1350....0G
349 |HD 158566                                                                                                |Star                                  |17 31 51.3999202200 -39 28 32.529743076|349.5648900327395 -03.2166809133000|   1.132 -1.117   |10.08    |B9III            |    ~     ~    |    1|  888.494   pc  | -23.5248    +23.5248    |paral   |2020yCat.1350....0G
350 |HD 158742                                                                                                |Star                                  |17 32 43.0496347608 -39 12 57.744762624|349.8737902826181 -03.2148850614982|  -2.060 -6.812   |8.77     |K0III            |    ~     ~    |    1|  446.568   pc  |  -3.8688     +3.8688    |paral   |2020yCat.1350....0G
351 |IDS 17264-3943 AB                                                                                        |Double or Multiple Star               |17 33 21.4 -39 47 28                   |349.4569 -03.6305                  |            ~ ~   |10.1     |A0               |    ~     ~    |    0|                |                         |        |                   
352 |IDS 17265-3949 AB                                                                                        |Double or Multiple Star               |17 33 27.8 -39 53 27                   |349.3841 -03.7018                  |            ~ ~   |9.9      |A0               |    ~     ~    |    0|                |                         |        |                   
353 |HD 158887                                                                                                |Star                                  |17 33 31.8831268560 -39 25 30.143926704|349.7835045223663 -03.4605161236799|  -2.658 -1.149   |10.04    |B9V              |    ~     ~    |    1|  935.891   pc  | -32.4080    +32.4080    |paral   |2020yCat.1350....0G
354 |HD 159195                                                                                                |Star                                  |17 35 10.6737105552 -39 51 03.636887544|349.5955571330758 -03.9572611967762|   4.181 -4.525   |9.45     |F3II/III         |    ~     ~    |    1|  553.557   pc  |  -4.7496     +4.7496    |paral   |2020yCat.1350....0G
355 |HD 159314                                                                                                |Star                                  |17 35 53.3414343168 -39 30 19.772529408|349.9613652520440 -03.8871538742475|  -2.513 -5.450   |10.49    |A1/2III/IV       |    ~     ~    |    1|  982.415   pc  | -23.8389    +23.8389    |paral   |2020yCat.1350....0G
356 |HD 159342                                                                                                |Star                                  |17 36 04.9198204632 -39 19 55.189503264|350.1281736725181 -03.8255875088548|  -2.068 -3.319   |8.59     |A0/1IV           |    ~     ~    |    1|  637.186   pc  |  -9.1351     +9.1351    |paral   |2020yCat.1350....0G
357 |HD 159382                                                                                                |Star                                  |17 36 20.3462868648 -39 44 36.654106596|349.8064343018613 -04.0878489931417|  -5.621 -0.036   |10.16    |F0/2V            |    ~     ~    |    1|  278.009   pc  |  -2.9679     +2.9679    |paral   |2020yCat.1350....0G
358 |HD 159381                                                                                                |Star                                  |17 36 17.8525398552 -39 38 34.349636256|349.8873712499988 -04.0272324104123|  -1.899 -1.713   |9.42     |B3/5(III)        |    ~     ~    |    1|  941.974   pc  | -31.4997    +31.4997    |paral   |2020yCat.1350....0G
359 |HD 159512                                                                                                |Star                                  |17 37 01.0695183096 -39 35 06.607618260|350.0105996648881 -04.1136277895885|  -0.916 -6.159   |10.45    |A0/2V            |    ~     ~    |    1|  572.377   pc  |  -7.2731     +7.2731    |paral   |2020yCat.1350....0G
360 |HD 159513                                                                                                |Star                                  |17 36 57.4838021112 -39 40 06.490427664|349.9338157488830 -04.1483591196826|  -0.208 -2.001   |7.97     |K3/4(III+G)      |    ~     ~    |    1| 1210.361   pc  | -95.2232    +95.2232    |paral   |2020yCat.1350....0G
361 |HD 323776                                                                                                |Star                                  |17 34 57.8267734104 -39 35 26.649678804|349.7932580393566 -03.7825320634320|  -0.879 -3.697   |10.76    |A2               |    ~     ~    |    1| 1496.110   pc  | -90.4292    +90.4292    |paral   |2020yCat.1350....0G
362 |HD 323575                                                                                                |Star                                  |17 30 46.3822397088 -39 09 37.426911624|349.7145391263074 -02.8688134490130|  -3.477 -0.757   |9.95     |M0               |    ~     ~    |    1| 1086.720   pc  | -21.3754    +21.3754    |paral   |2020yCat.1350....0G
363 |HD 323789                                                                                                |Star                                  |17 32 15.2031399024 -40 04 46.971011064|349.0990457591248 -03.6096170499716|  15.868 14.236   |10.20    |F8               |    ~     ~    |    1|  211.144   pc  |  -0.8604     +0.8604    |paral   |2020yCat.1350....0G
364 |HD 159147                                                                                                |Star                                  |17 34 56.1428777376 -40 04 14.930916636|349.3847770262582 -04.0363493250051|  4.755 -14.582   |8.06     |A2III/IV         |    ~     ~    |    1|  322.987   pc  |  -2.4724     +2.4724    |paral   |2020yCat.1350....0G
365 |HD 159531                                                                                                |Star                                  |17 37 06.1714481472 -40 03 33.237496764|349.6172394571004 -04.3803106087561|  6.035 -11.090   |9.88     |A9V              |    ~     ~    |    1|  356.621   pc  |  -2.4673     +2.4673    |paral   |2020yCat.1350....0G
366 |HD 158235                                                                                                |Star                                  |17 30 01.8833322672 -40 24 16.353069768|348.5943487365935 -03.4319945895506| -4.926 -10.105   |9.47     |A0V              |    ~     ~    |    1|  401.429   pc  |  -3.0618     +3.0618    |paral   |2020yCat.1350....0G
367 |HD 158236                                                                                                |Star                                  |17 30 06.3247408008 -40 34 29.076478572|348.4595291678255 -03.5371481869312|   7.866 -1.441   |10.05    |B9/A0V           |    ~     ~    |    1|  394.804   pc  |  -7.8559     +7.8559    |paral   |2020yCat.1350....0G
368 |HD 158271                                                                                                |High Proper Motion Star               |17 30 13.3870187952 -40 10 33.170943648|348.8059446727867 -03.3370939331533|-23.000 -50.794   |9.68     |G8/K0(III)       |    ~     ~    |    1|  189.408   pc  |  -0.5202     +0.5202    |paral   |2020yCat.1350....0G
369 |HD 158272                                                                                                |Star                                  |17 30 15.0187287888 -40 26 43.268172252|348.5830627395823 -03.4892172125524|   1.124 -0.970   |9.32     |K2               |    ~     ~    |    1|  985.416   pc  | -18.5469    +18.5469    |paral   |2020yCat.1350....0G
370 |HD 323653A                                                                                               |Star                                  |17 30 21.1074515136 -40 48 40.233234348|348.2870407019422 -03.7058129778697|   0.702 -3.041   |10.50    |~                |    ~     ~    |    1| 1375.327   pc  | -54.0976    +54.0976    |paral   |2020yCat.1350....0G
371 |HD 158288                                                                                                |Star                                  |17 30 22.1095241664 -40 35 52.932402132|348.4674464076003 -03.5916906401924|-11.378 -19.378   |8.73     |F7V              |    ~     ~    |    1|  118.277   pc  |  -0.2616     +0.2616    |paral   |2020yCat.1350....0G
372 |HD 158340                                                                                                |Star                                  |17 30 37.2451376016 -40 50 17.592968580|348.2922770486912 -03.7631979894533|    5.436 9.528   |8.17     |K0III            |    ~     ~    |    1|  244.834   pc  |  -1.3487     +1.3487    |paral   |2020yCat.1350....0G
373 |HD 323610                                                                                                |Star                                  |17 30 39.8962114464 -40 10 26.039815320|348.8539393463185 -03.4066003283629|   1.260 -1.659   |10.70    |A0               |    ~     ~    |    1|  961.446   pc  | -17.4708    +17.4708    |paral   |2020yCat.1350....0G
374 |HD 158381                                                                                                |Star                                  |17 30 46.6269257880 -40 52 20.023810716|348.2799517801114 -03.8065515782399|   22.675 7.232   |8.71     |F0III/IV         |    ~     ~    |    1|  216.802   pc  |  -0.9636     +0.9636    |paral   |2020yCat.1350....0G
375 |HD 158410                                                                                                |Star                                  |17 30 54.6754428072 -40 39 36.090802188|348.4719341813469 -03.7118062078059|    2.418 6.132   |7.78     |G8III            |    ~     ~    |    1|  234.973   pc  |  -1.2478     +1.2478    |paral   |2020yCat.1350....0G
376 |HD 323655                                                                                                |Star                                  |17 31 10.3941746328 -40 54 06.350314572|348.2961504305219 -03.8853943390840|   2.306 -2.065   |10.31    |A0               |    ~     ~    |    1|  604.449   pc  |  -8.6590     +8.6590    |paral   |2020yCat.1350....0G
377 |HD 323631                                                                                                |High Proper Motion Star               |17 31 35.4708848256 -40 36 13.065238980|348.5898577884967 -03.7891048621484|135.900 -91.306   |10.15    |K5               |    ~     ~    |    1|   54.196   pc  |  -0.0461     +0.0461    |paral   |2020yCat.1350....0G
378 |HD 158515                                                                                                |Star                                  |17 31 37.2362291976 -41 02 44.061794556|348.2214660330540 -04.0345929165480| -0.520 -10.349   |8.60     |A1V              |    ~     ~    |    1|  403.730   pc  |  -4.3195     +4.3195    |paral   |2020yCat.1350....0G
379 |HD 158531                                                                                                |Double or Multiple Star               |17 31 42.59428 -41 02 22.4150          |348.23571449 -04.04544045          |    -1.29 -9.41   |7.25     |B7/8(IV)         |    ~     ~    |    0|                |                         |        |                   
380 |HD 158602                                                                                                |Star                                  |17 32 10.9107653544 -40 30 11.587580100|348.7354908397128 -03.8285378950876|-19.149 -34.749   |9.62     |F3V              |    ~     ~    |    1|  268.075   pc  |  -1.2001     +1.2001    |paral   |2020yCat.1350....0G
381 |HD 158622                                                                                                |Star                                  |17 32 15.2141285904 -40 27 01.683242676|348.7872924318548 -03.8112976800399|  -2.618 -6.096   |9.78     |B9/A0V           |    ~     ~    |    1|  547.675   pc  |  -6.3889     +6.3889    |paral   |2020yCat.1350....0G
382 |HD 158645                                                                                                |Star                                  |17 32 18.3344710152 -40 15 43.574791860|348.9511150090589 -03.7171871413223|   1.518 -1.308   |9.59     |A3/5V            |    ~     ~    |    1|  677.828   pc  | -20.5834    +20.5834    |paral   |2020yCat.1350....0G
383 |HD 158743                                                                                                |Double or Multiple Star               |17 32 47.6054077032 -41 04 25.958256924|348.3180775340330 -04.2355753992609|   -2.424 0.602   |9.92     |F5               |    ~     ~    |    1|  197.176   pc  |  -2.9276     +2.9276    |paral   |2020yCat.1350....0G
384 |HD 158761                                                                                                |Star                                  |17 32 55.7121664632 -40 55 07.519163844|348.4626539283863 -04.1729432432206|   0.840 -6.745   |9.45     |F0V              |    ~     ~    |    1|  193.311   pc  |  -0.5792     +0.5792    |paral   |2020yCat.1350....0G
385 |HD 158798                                                                                                |Star                                  |17 33 11.3026088664 -40 13 13.370678796|349.0778759410451 -03.8360296786425|  -0.052 -1.738   |10.35    |B9/A0V           |    ~     ~    |    1|  701.754   pc  | -12.3607    +12.3607    |paral   |2020yCat.1350....0G
386 |HD 323825                                                                                                |Star                                  |17 33 18.1434242304 -40 57 21.735412524|348.4695483255187 -04.2524902812981|  1.894 -19.098   |10.49    |A5               |    ~     ~    |    1|  441.462   pc  |  -2.9818     +2.9818    |paral   |2020yCat.1350....0G
387 |HD 323806                                                                                                |Star                                  |17 33 16.5512546112 -40 08 37.830145416|349.1514254076151 -03.8086088602423|  -1.971 -2.973   |10.51    |A5               |    ~     ~    |    0|                |                         |        |                   
388 |HD 158845                                                                                                |Star                                  |17 33 20.0812662096 -40 44 48.450463656|348.6493192584661 -04.1444312460904|  -4.175 -2.988   |9.38     |K2               |    ~     ~    |    1|  675.402   pc  |  -8.7584     +8.7584    |paral   |2020yCat.1350....0G
389 |HD 323826                                                                                                |Star                                  |17 33 42.5732815104 -40 59 26.418808608|348.4819762473090 -04.3358715907763|    6.467 7.746   |10.38    |F0               |    ~     ~    |    1|  290.706   pc  |  -1.7832     +1.7832    |paral   |2020yCat.1350....0G
390 |HD 323827                                                                                                |Star                                  |17 33 48.0175275000 -41 02 11.150928960|348.4526123317559 -04.3749815597651|  4.833 -12.492   |10.26    |F2               |    ~     ~    |    1|  324.465   pc  |  -1.8002     +1.8002    |paral   |2020yCat.1350....0G
391 |HD 323822                                                                                                |Star                                  |17 33 53.4878809104 -40 53 24.237391020|348.5855046491253 -04.3104849141774|   2.482 -2.254   |10.85    |B5               |    ~     ~    |    1| 1286.670   pc  | -29.3027    +29.3027    |paral   |2020yCat.1350....0G
392 |HD 323815                                                                                                |Star                                  |17 33 57.3337586520 -40 43 30.229667004|348.7313711040671 -04.2316571443166|  -2.718 -0.632   |10.37    |B0               |    ~     ~    |    1| 3944.773   pc  |-244.3114   +244.3114    |paral   |2020yCat.1350....0G
393 |HD 323814                                                                                                |Star                                  |17 34 07.4632938528 -40 46 34.631306760|348.7054147670212 -04.2862104977624|   2.534 -1.794   |10.40    |B8               |    ~     ~    |    1|  794.029   pc  | -15.9512    +15.9512    |paral   |2020yCat.1350....0G
394 |HD 159036                                                                                                |Star                                  |17 34 15.8997910728 -41 01 34.300940448|348.5086501128656 -04.4432709677149| -3.554 -19.100   |7.42     |A2III            |    ~     ~    |    1|  289.737   pc  |  -3.8616     +3.8616    |paral   |2020yCat.1350....0G
395 |HD 159035                                                                                                |Star                                  |17 34 22.6536062016 -40 31 52.277019060|348.9383799268159 -04.1945431200653| -3.183 -15.540   |7.15     |B8IV             |    ~     ~    |    1|  304.146   pc  |  -3.6077     +3.6077    |paral   |2020yCat.1350....0G
396 |HD 159109                                                                                                |Star                                  |17 34 41.8484278824 -40 45 54.475894836|348.7734413897143 -04.3716282215578|-21.890 -36.418   |9.20     |G0V              |    ~     ~    |    1|  102.249   pc  |  -0.3199     +0.3199    |paral   |2020yCat.1350....0G
397 |HD 323819                                                                                                |Star                                  |17 35 22.9019757984 -40 52 14.371466340|348.7538907063073 -04.5375023870464|  -6.344 11.035   |10.18    |~                |    ~     ~    |    1|  268.507   pc  |  -2.0187     +2.0187    |paral   |2020yCat.1350....0G
398 |HD 323817                                                                                                |Star                                  |17 35 30.8334513408 -40 29 53.848355352|349.0826187241152 -04.3589705750885|   0.367 -1.240   |10.43    |B8               |    ~     ~    |    1| 1117.818   pc  | -26.3648    +26.3648    |paral   |2020yCat.1350....0G
399 |HD 159282                                                                                                |Star                                  |17 35 39.2435574240 -40 58 56.667970596|348.6868926737884 -04.6408197006497|    0.265 0.185   |9.70     |B9(IV)           |    ~     ~    |    1|  612.407   pc  |  -9.5636     +9.5636    |paral   |2020yCat.1350....0G
400 |HD 323991A                                                                                               |Star                                  |17 35 54.8302772640 -41 00 21.185392824|348.6933157948792 -04.6947921316465| -8.366 -36.806   |10.45    |~                |    ~     ~    |    1|  259.289   pc  |  -1.3648     +1.3648    |paral   |2020yCat.1350....0G
401 |HD 323967                                                                                                |Star                                  |17 36 17.9270532888 -40 36 58.762579536|349.0626724702232 -04.5480774304828|  -0.292 -1.594   |10.43    |B5               |    ~     ~    |    1| 1385.617   pc  | -51.0703    +51.0703    |paral   |2020yCat.1350....0G
402 |HD 323987                                                                                                |Star                                  |17 36 39.3115033968 -40 53 04.950836160|348.8711330286893 -04.7484288047635| -3.146 -15.676   |10.11    |G0               |    ~     ~    |    1|  397.678   pc  |  -6.2152     +6.2152    |paral   |2020yCat.1350....0G
403 |HD 323996                                                                                                |Star                                  |17 36 47.3004661032 -41 04 20.268895368|348.7252987695375 -04.8696838307300|   1.698 -1.081   |10.13    |B3               |    ~     ~    |    1| 1367.241   pc  | -52.9025    +52.9025    |paral   |2020yCat.1350....0G
404 |HD 159456                                                                                                |Star                                  |17 36 45.7774157472 -40 30 23.128493760|349.2031087631123 -04.5639445359895|   3.955 -7.129   |10.08    |B9V              |    ~     ~    |    1|  486.476   pc  |  -5.4195     +5.4195    |paral   |2020yCat.1350....0G
405 |HD 159514                                                                                                |Star                                  |17 37 00.3450339864 -40 46 51.630467592|348.9946423984756 -04.7492705332863|   0.624 -7.706   |9.80     |A3/5II/III       |    ~     ~    |    1|  939.585   pc  | -23.7478    +23.7478    |paral   |2020yCat.1350....0G
406 |HD 323962                                                                                                |Star                                  |17 37 05.9451387960 -40 21 12.372447096|349.3671605392967 -04.5364998828746|  -0.286 -0.905   |10.79    |A3               |    ~     ~    |    1| 1238.390   pc  | -28.2184    +28.2184    |paral   |2020yCat.1350....0G
407 |HD 159550                                                                                                |Eclipsing Binary                      |17 37 08.2977613776 -40 36 45.436262220|349.1510751868611 -04.6808631028252|  -1.590 -3.822   |9.48     |B8/9Ib/II        |    ~     ~    |    1|  935.979   pc  | -24.9676    +24.9676    |paral   |2020yCat.1350....0G
408 |HD 323986                                                                                                |Star                                  |17 37 10.5572379720 -40 50 28.664928024|348.9606354780116 -04.8086279801759|   1.047 -2.942   |10.31    |~                |    ~     ~    |    1|  666.089   pc  | -14.7744    +14.7744    |paral   |2020yCat.1350....0G
409 |HD 159575                                                                                                |Star                                  |17 37 18.5231519352 -40 45 41.500392300|349.0418287411687 -04.7874626877045|   2.381 -5.711   |8.10     |K2III            |    ~     ~    |    1|  511.980   pc  |  -7.0511     +7.0511    |paral   |2020yCat.1350....0G
410 |HIP 86230                                                                                                |Star                                  |17 37 19.3772853885 -40 19 00.122345569|349.4211441415783 -04.5530432867939|   0.500 -0.290   |10.59    |~                |    ~     ~    |    1| 1337.79    pc  | -30.6037    +30.6037    |paral   |2020yCat.1350....0G
411 |HD 159574                                                                                                |Star                                  |17 37 19.7401325160 -40 19 12.412033896|349.4188606843533 -04.5558364116553|   0.878 -1.245   |7.80     |B9Ib             |    ~     ~    |    0|                |                         |        |                   
412 |HD 323960                                                                                                |Star                                  |17 37 21.8936281800 -40 14 48.174258588|349.4848469371277 -04.5225586438423|-12.067 -37.920   |9.66     |G0               |    ~     ~    |    1|  138.345   pc  |  -0.2852     +0.2852    |paral   |2020yCat.1350....0G
413 |HD 323961                                                                                                |Star                                  |17 37 22.8306917016 -40 22 13.725161688|349.3813266386952 -04.5909517428699|  -7.710 -9.635   |10.50    |A5               |    ~     ~    |    1|  356.405   pc  |  -2.2991     +2.2991    |paral   |2020yCat.1350....0G
414 |HD 159597                                                                                                |Star                                  |17 37 28.1965916688 -40 29 27.645949608|349.2880148750771 -04.6694859792004|   -0.073 0.913   |9.44     |G5/8(III)        |    ~     ~    |    1|  877.655   pc  | -13.5569    +13.5569    |paral   |2020yCat.1350....0G
415 |HD 323690                                                                                                |High Proper Motion Star               |17 30 06.5375377992 -41 41 52.761744132|347.5182652869871 -04.1533440361156| 49.816 -75.046   |10.12    |G5               |    ~     ~    |    1|  104.844   pc  |  -0.2067     +0.2067    |paral   |2020yCat.1350....0G
416 |HD 323673                                                                                                |Star                                  |17 31 05.3418424056 -41 19 17.095865808|347.9349736486411 -04.1011328206463|    0.350 0.066   |10.94    |A5               |    ~     ~    |    1| 1185.536   pc  | -43.9920    +43.9920    |paral   |2020yCat.1350....0G
417 |HD 323692                                                                                                |Star                                  |17 31 29.2442961744 -41 49 10.955479188|347.5567398157914 -04.4351699996125|  -0.828 -0.040   |9.98     |A5               |    ~     ~    |    1| 1136.880   pc  | -27.0132    +27.0132    |paral   |2020yCat.1350....0G
418 |HD 158516                                                                                                |Star                                  |17 31 41.2755078528 -41 42 29.719641528|347.6709363141306 -04.4058978826335|   2.268 -2.673   |9.71     |B9IV/V           |    ~     ~    |    1|  536.481   pc  | -23.8020    +23.8020    |paral   |2020yCat.1350....0G
419 |HD 323676                                                                                                |Star                                  |17 31 40.8362591616 -41 22 42.290568768|347.9477198092776 -04.2252822746378|  0.324 -13.470   |10.39    |F0               |    ~     ~    |    1|  699.447   pc  | -10.9587    +10.9587    |paral   |2020yCat.1350....0G
420 |HD 323657                                                                                                |Star                                  |17 31 40.5668 -41 10 18.336            |348.1210716 -04.1120808            |       28.2 1.9   |10.37    |G5               |    ~     ~    |    0|                |                         |        |                   
421 |HD 158684                                                                                                |Star                                  |17 32 30.0944444784 -41 18 14.035734216|348.0944093604421 -04.3141579995406|  -1.731 -5.165   |8.77     |A0V              |    ~     ~    |    1|  663.350   pc  | -10.2088    +10.2088    |paral   |2020yCat.1350....0G
422 |HD 158685                                                                                                |Star                                  |17 32 35.4932381832 -41 27 16.271261928|347.9766675939545 -04.4100155081579| -3.080 -13.455   |9.51     |F5V              |    ~     ~    |    1|  314.733   pc  |  -1.7038     +1.7038    |paral   |2020yCat.1350....0G
423 |HD 323830                                                                                                |Star                                  |17 32 47.5995001296 -41 11 45.388525632|348.2151955967420 -04.3017083087600|   -0.615 0.974   |10.44    |B9               |    ~     ~    |    1|  930.233   pc  | -17.0471    +17.0471    |paral   |2020yCat.1350....0G
