C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
34  |IRAS 04450+4410                                                       |Long-Period Variable           |04 48 36.7038045096 +44 16 09.732645012|160.9336269845299 -00.4088108038377|  -2.983 -4.634  |10.38    |M5                |    ~     ~    
35  |HD 276741                                                             |Star                           |04 46 18.2858393880 +43 33 49.133097504|161.2035535816586 -01.1819819387966|  -2.009 -2.595  |10.57    |A0                |    ~     ~    
36  |HD 276813                                                             |Star                           |04 47 30.5257203648 +44 01 49.243342512|160.9886580928051 -00.7141783110480|  19.165 -3.239  |10.37    |G5                |    ~     ~    
37  |HD 276815                                                             |Star                           |04 48 29.8619396352 +44 01 21.255257352|161.1092937796267 -00.5833726899533|  -1.991 -8.957  |10.64    |A0                |    ~     ~    
38  |HD 276817                                                             |Star                           |04 50 58.8841090008 +43 59 02.636820348|161.4251903647865 -00.2652901076112|  6.957 -10.006  |9.90     |K0                |    ~     ~    
39  |HD 276822                                                             |Star                           |04 49 53.8651153416 +43 53 31.142879772|161.3712363639940 -00.4741557939930|   9.920 -8.071  |10.24    |A2                |    ~     ~    
40  |HD 276824                                                             |Star                           |04 48 37.6162401744 +43 45 13.652729820|161.3299589646060 -00.7386062565486| -0.610 -11.338  |10.27    |F0                |    ~     ~    
41  |HD 276825                                                             |Star                           |04 47 19.3097930472 +43 48 52.732024776|161.1314647223028 -00.8793107388289|  -0.805 -2.630  |10.01    |G5                |    ~     ~    
42  |HD 276832                                                             |Star                           |04 47 28.3650820656 +43 32 58.178146668|161.3514204927796 -01.0299228305343|   8.004 -6.029  |10.75    |F5                |    ~     ~    
43  |V* V422 Per                                                           |Long-Period Variable Candidate |04 46 34.8935884104 +44 42 35.122284252|160.3635568421489 -00.4005852046240|  -0.242 -1.060  |10.09    |M1                |    ~     ~    
44  |BD+44 1028                                                            |Star                           |04 48 55.7509993872 +44 19 03.401634756|160.9332449542744 -00.3342855675305|  -0.501 -3.665  |10.14    |M3                |    ~     ~    
45  |NGC 1664 37                        NGC 1664 37                        |Star                           |04 51 36.0 +43 47 00                   |161.6509 -00.3074                  |            ~ ~  |10.94    |A0                |    ~     ~    
46  |Cl* NGC 1664 KNM 54                                                   |Star                           |04 49 44.4030756384 +43 43 32.139593292|161.4807314696799 -00.6026350827229|   4.965 -3.052  |10.90    |~                 |    ~     ~    
47  |TYC 2905-195-1                                                        |Star                           |04 49 20.5532033952 +44 33 52.414662096|160.7914288381213 -00.1190743910730|   -4.307 2.452  |10.82    |~                 |    ~     ~    
48  |TYC 2905-299-1                                                        |Star                           |04 48 59.8852545432 +44 47 58.065630324|160.5720809300148 -00.0150783606503|   2.682 -6.088  |10.08    |~                 |    ~     ~    
49  |TYC 2905-357-1                                                        |Star                           |04 47 42.5011128552 +44 37 48.699606936|160.5538722070137 -00.2993656313886| 11.075 -17.469  |10.68    |~                 |    ~     ~    
50  |TYC 2905-527-1                                                        |Star                           |04 46 59.5267183008 +44 32 13.636432068|160.5423800823951 -00.4568290619807|    0.602 1.042  |10.76    |~                 |    ~     ~    
51  |TYC 2905-588-1                                                        |Star                           |04 47 40.2176800248 +43 56 49.457892084|161.0709950201363 -00.7458077879902|   5.377 -2.793  |10.57    |~                 |    ~     ~    
52  |TYC 2905-1042-1                                                       |Star                           |04 47 45.9499389936 +43 33 46.243204524|161.3755335967173 -00.9807650405460|   7.526 -8.325  |10.77    |~                 |    ~     ~    
53  |TYC 2905-1195-1                                                       |Star                           |04 48 30.3798027360 +44 35 36.280296852|160.6735791709749 -00.2145588347143|    0.366 1.328  |10.21    |~                 |    ~     ~    
