C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
275 |BD+44 1051                                                            |Emission-line Star             |04 55 49.1128918104 +44 15 24.776641980|161.7630000018203 +00.5796532891020|   1.235 -4.106  |9.99     |B5                |    ~     ~    
276 |HD 31195                                                              |Double or Multiple Star        |04 55 54.6645666 +45 02 05.100496      |161.1670662034 +01.0799419082      |    -6.50 -1.81  |7.89     |B7V               |0.0033  0.0    
277 |BD+44 1053                                                            |Double or Multiple Star        |04 55 53.6532791081 +44 31 32.234039639|161.5620468280297 +00.7586122669714|      -5.7 -4.4  |10.77    |F0                |    ~     ~    
278 |HD 31135                                                              |Star                           |04 55 25.2658675368 +44 06 10.648066644|161.8381746002598 +00.4276014977846|   0.694 -8.946  |9.42     |A0V               |    ~     ~    
279 |BD+43 1129                                                            |Star                           |04 55 52.7505424632 +44 09 12.407652468|161.8504121437245 +00.5232897477584|  -7.562 -6.293  |9.65     |K0                |    ~     ~    
280 |BD+45 1004                                                            |Star                           |04 56 12.4365599328 +46 00 18.292770144|160.4426547531533 +01.7278484942011| 12.557 -18.699  |9.74     |F5                |    ~     ~    
281 |BD+45 1006                                                            |Star                           |04 57 29.0706224712 +45 24 37.995011856|161.0465918103625 +01.5310351742425|   -4.434 3.450  |9.53     |G0                |    ~     ~    
282 |BD+45 1009                                                            |Star                           |04 57 56.0835254568 +45 50 42.032538672|160.7552536650283 +01.8629132344553|   0.129 -8.774  |9.63     |K0                |    ~     ~    
283 |BD+44 1055                                                            |Star                           |04 56 15.7302542352 +44 44 08.066185620|161.4393254903523 +00.9411186867390|  -1.036 -2.835  |9.98     |~                 |    ~     ~    
284 |BD+44 1058                                                            |Star                           |04 56 21.4164421104 +44 28 12.779848776|161.6569158523427 +00.7882648200625|  -6.343 -9.193  |9.61     |K0                |    ~     ~    
285 |BD+44 1059                                                            |Star                           |04 56 49.4889550296 +44 43 05.973933108|161.5152643172354 +01.0083461574676|   9.646 -9.819  |10.23    |B9                |    ~     ~    
286 |BD+44 1060                                                            |Star                           |04 56 56.7040920912 +44 39 14.186400876|161.5789162300087 +00.9848517422083| -6.222 -18.327  |9.20     |F6V               |    ~     ~    
287 |HD 31488                                                              |Star                           |04 58 29.1265263144 +44 25 55.286147892|161.9234826600323 +01.0615962093072| 17.328 -32.156  |9.04     |F0V               |    ~     ~    
288 |BD+44 1066                                                            |Star                           |04 58 39.9415722000 +44 28 21.912641400|161.9114860399440 +01.1120913728530| -2.737 -10.735  |10.24    |A1V               |    ~     ~    
289 |BD+44 1068                                                            |Star                           |04 58 43.4175527544 +44 14 37.177385604|162.0976804394593 +00.9781731615370|  -16.969 1.685  |9.26     |F8                |    ~     ~    
290 |BD+44 1070                                                            |Star                           |04 58 59.2250702832 +44 51 07.852928400|161.6490280287169 +01.3920560050402|  -4.611 -4.881  |10.02    |F0                |    ~     ~    
291 |BD+44 1072                                                            |Emission-line Star             |04 59 14.3468954736 +44 50 45.211848504|161.6816249556073 +01.4232501480737|   0.639 -3.886  |10.64    |B2e               |    ~     ~    
292 |HD 31533                                                              |Star                           |04 58 50.7462521688 +44 08 21.842970252|162.1930803892761 +00.9307303785356| 36.856 -29.986  |8.54     |F2III             |    ~     ~    
293 |BD+43 1143B                                                           |Star                           |04 58 51.8659804104 +44 08 19.661158968|162.1956312345357 +00.9329826746170|  -0.191 -4.929  |9.54     |~                 |    ~     ~    
294 |IRC +40106                                                            |Long-Period Variable Candidate |04 59 06.1865874360 +44 41 37.106788956|161.7863186105822 +01.3100748177634|    7.302 2.707  |10.62    |M4                |    ~     ~    
295 |HD 31206                                                              |Star                           |04 56 02.3533003224 +43 57 58.179102120|162.0144038304893 +00.4283621614166| -7.104 -12.571  |9.22     |B9V               |    ~     ~    
296 |BD+43 1140                                                            |Double or Multiple Star        |04 58 10.76 +44 03 24.5                |162.18361 +00.78565                |            ~ ~  |10.22    |B                 |    ~     ~    
297 |TYC 2906-2605-1                                                       |Star                           |04 59 32.6093077632 +44 03 13.672979712|162.3378675307696 +00.9761480571732|  3.879 -11.314  |9.92     |A0                |    ~     ~    
298 |IRAS 04543+4503                                                       |Star                           |04 57 59.4196750800 +45 08 02.141208132|161.3186270378623 +01.4286266873167|  -0.422 -1.078  |10.27    |~                 |    ~     ~    
299 |BD+45 989                                                             |Star                           |04 48 31.3295973144 +45 50 15.938685744|159.7234052055117 +00.5889381771724| 30.849 -30.935  |10.07    |~                 |    ~     ~    
300 |BD+45 994                                                             |Star                           |04 52 22.6174738032 +45 34 51.423833496|160.3511847447489 +00.9421640332389|   7.743 -1.600  |9.99     |~                 |    ~     ~    
301 |BD+45 1002                                                            |Long-Period Variable Candidate |04 55 42.3070132848 +46 06 26.816015088|160.3082284330286 +01.7240138377859|  -1.861 -4.202  |10.03    |M6                |    ~     ~    
302 |TYC 2906-131-1                                                        |Star                           |04 57 38.3182986216 +44 47 28.156661628|161.5483958576871 +01.1667158209559| -2.446 -11.338  |10.59    |~                 |    ~     ~    
303 |TYC 2906-135-1                                                        |Star                           |04 56 15.7167767376 +44 55 29.735503176|161.2915703796137 +01.0595648493178|  -2.594 -3.124  |10.60    |~                 |    ~     ~    
304 |TYC 2906-155-1                                                        |Star                           |04 56 21.8948147904 +44 21 49.072261896|161.7409717247415 +00.7227032268972|  -5.952 -8.201  |9.77     |~                 |    ~     ~    
305 |TYC 2906-161-1                                                        |Spectroscopic Binary           |04 50 52.1520380256 +44 39 52.329722220|160.8885826222877 +00.1536324606717|-140.960 -22.581 |10.76    |~                 |    ~     ~    
306 |TYC 2906-269-1                                                        |Star                           |04 53 58.6378 +44 47 49.100            |161.1366773 +00.6642296            |      -1.1 -2.1  |10.55    |~                 |    ~     ~    
307 |TYC 2906-277-1                                                        |Star                           |04 58 07.6663062960 +44 39 26.266473432|161.7072852376591 +01.1515128448383|   0.657 -6.502  |10.91    |~                 |    ~     ~    
308 |TYC 2906-325-1                                                        |Star                           |04 57 46.9233226608 +44 11 40.629334884|162.0313290884402 +00.8154971291240| 17.396 -16.592  |10.84    |~                 |    ~     ~    
309 |TYC 2906-457-1                                                        |Spectroscopic Binary           |04 56 18.8820086808 +44 16 51.343777560|161.7998778946956 +00.6639587928503|    7.060 3.442  |10.24    |~                 |    ~     ~    
310 |TYC 2906-493-1                                                        |Star                           |04 55 00.9750839544 +44 56 10.048945416|161.1445533142841 +00.8948602984375|  5.731 -19.637  |10.92    |~                 |    ~     ~    
311 |TYC 2906-505-1                                                        |Star                           |04 51 41.7607914120 +44 15 45.054603756|161.2923661230778 +00.0110040993178| 16.801 -32.546  |10.51    |~                 |    ~     ~    
312 |TYC 2906-532-1                                                        |Star                           |04 52 08.3592540384 +43 57 02.754780876|161.5835509692257 -00.1258617703100|   2.087 -5.674  |10.85    |~                 |    ~     ~    
313 |TYC 2906-629-1                                                        |High Proper Motion Star        |04 55 57.2793968160 +44 55 37.248526668|161.2558855017227 +01.0184573002730|-11.612 -70.487  |10.78    |~                 |    ~     ~    
314 |TYC 2906-670-1                                                        |Star                           |04 53 07.2115233312 +43 53 30.305164776|161.7412142706697 -00.0267523475546| -11.560 10.374  |10.95    |~                 |    ~     ~    
315 |TYC 2906-693-1                                                        |Star                           |04 57 24.4934041560 +44 17 10.426375932|161.9179428535463 +00.8201446330677| -5.479 -12.169  |10.55    |~                 |    ~     ~    
316 |TYC 2906-1031-1                                                       |Star                           |04 55 24.3975024456 +44 09 25.544665152|161.7944030609880 +00.4595675517551|   2.807 -5.799  |10.19    |~                 |    ~     ~    
317 |TYC 2906-1333-1                                                       |Star                           |04 52 41.1787248864 +44 45 17.550771696|161.0243297907477 +00.4601676880556|    4.873 4.098  |10.95    |~                 |    ~     ~    
318 |TYC 2906-1339-1                                                       |Star                           |04 55 27.7985317176 +44 46 02.668774476|161.3256238029322 +00.8505393123610| -4.741 -10.422  |10.77    |~                 |    ~     ~    
319 |TYC 2906-1425-1                                                       |Star                           |04 57 30.8786813328 +44 03 12.501938556|162.1119216780619 +00.6900728703686|  -5.508 -3.265  |10.81    |~                 |    ~     ~    
320 |TYC 2906-1541-1                                                       |Star                           |04 57 06.9736184040 +44 17 30.686469000|161.8809623359363 +00.7827958388959|   0.985 -2.537  |10.82    |~                 |    ~     ~    
321 |TYC 2906-1695-1                                                       |Star                           |04 56 59.9354502048 +44 01 37.295332392|162.0748125131151 +00.6011213459546|  4.725 -16.609  |10.79    |~                 |    ~     ~    
322 |TYC 2906-2301-1                                                       |Star                           |04 59 11.9894556000 +44 36 53.496222984|161.8588629862404 +01.2748296459057|  2.075 -24.172  |10.72    |~                 |    ~     ~    
323 |TYC 2906-2308-1                                                       |Star                           |04 58 25.2572639208 +44 02 00.131501616|162.2289450293068 +00.8051275783752|   0.100 -1.932  |10.35    |~                 |    ~     ~    
324 |TYC 2906-2370-1                                                       |Star                           |04 59 02.7696971736 +44 57 14.749873920|161.5754487805246 +01.4633702693237|  -8.294 -3.707  |10.51    |~                 |    ~     ~    
325 |TYC 2906-2389-1                                                       |Star                           |04 59 07.7170827600 +44 14 49.421728860|162.1399490634584 +01.0372160993991|   2.184 -2.297  |10.13    |~                 |    ~     ~    
326 |TYC 2906-2472-1                                                       |Star                           |04 59 52.3721565384 +44 35 36.851854416|161.9496569099491 +01.3558577959663| 40.809 -25.295  |10.15    |~                 |    ~     ~    
327 |TYC 2906-2552-1                                                       |Star                           |04 58 27.5040762192 +44 06 21.144518928|162.1762666209624 +00.8554026836859|  0.972 -14.795  |10.95    |~                 |    ~     ~    
328 |TYC 2906-2557-1                                                       |Star                           |04 58 52.9685324184 +44 15 57.772079748|162.0977774555803 +01.0144172203980|  -4.000 -4.725  |9.85     |~                 |    ~     ~    
329 |TYC 2906-2563-1                                                       |High Proper Motion Star        |04 58 24.2012678784 +43 59 10.472465328|162.2639323573197 +00.7733921750789|-65.321 -83.721  |10.65    |~                 |    ~     ~    
330 |TYC 3343-86-1                                                         |Spectroscopic Binary           |04 49 42.4824438456 +45 04 54.333483492|160.4363117985563 +00.2624857140521|  -5.490 -4.383  |10.31    |F8V               |    ~     ~    
331 |TYC 3343-183-1                                                        |Spectroscopic Binary           |04 49 48.8747239512 +45 07 12.441480096|160.4189204716119 +00.3015080516242|  -2.974 -9.717  |10.88    |~                 |    ~     ~    
332 |TYC 3343-900-1                                                        |Star                           |04 52 02.6065438584 +46 15 21.959286012|159.7927485100642 +01.3261725766746| 11.475 -21.295  |10.01    |~                 |    ~     ~    
333 |2MASS J04471508+4616193                                               |Young Stellar Object Candidate |04 47 15.0825973104 +46 16 19.413421464|159.2493531042580 +00.7008522414695| -1.058 -25.625  |10.84    |~                 |    ~     ~    
334 |TYC 3343-1249-1                                                       |Star                           |04 47 14.2042328304 +46 16 51.290531904|159.2409638709449 +00.7046518391533| -1.424 -25.608  |10.39    |~                 |    ~     ~    
335 |TYC 3343-1282-1                                                       |Star                           |04 52 19.1839012680 +46 15 43.159442040|159.8185385856092 +01.3668002201478|  -10.696 6.654  |10.55    |~                 |    ~     ~    
336 |TYC 3343-1476-1                                                       |Star                           |04 49 17.9352191184 +46 22 38.574478740|159.3966551873518 +01.0390192188770|  13.889 -1.041  |9.52     |~                 |    ~     ~    
337 |TYC 3343-1513-1                                                       |Star                           |04 50 42.2238471480 +46 27 00.086995476|159.4959239192728 +01.2715187919442| 13.635 -35.761  |10.73    |~                 |    ~     ~    
338 |TYC 3344-6-1                                                          |Star                           |04 59 19.8776212488 +45 13 52.811215320|161.3886980296200 +01.6744255692578|  7.703 -12.641  |10.71    |~                 |    ~     ~    
339 |TYC 3344-652-1                                                        |Star                           |04 58 54.1455674856 +46 06 51.305939784|160.6482543086067 +02.1617777840394|  20.837 -7.091  |9.84     |~                 |    ~     ~    
340 |TYC 3344-764-1                                                        |Star                           |04 58 36.1576143840 +46 19 26.661871236|160.4512525219888 +02.2510075274452|  -0.464 -0.005  |9.99     |~                 |    ~     ~    
341 |TYC 3344-858-1                                                        |Star                           |04 58 59.8529808528 +45 45 31.732408656|160.9378483314512 +01.9547690380738|  3.222 -11.499  |10.59    |~                 |    ~     ~    
342 |TYC 3344-937-1                                                        |Star                           |04 58 29.0424744360 +46 18 18.337308876|160.4534573552833 +02.2231750502079|  2.172 -10.163  |9.69     |~                 |    ~     ~    
343 |TYC 3344-1019-1                                                       |Star                           |04 59 30.8214138120 +45 31 17.006187720|161.1803636377556 +01.8788661124028|   2.529 -7.073  |10.21    |~                 |    ~     ~    
344 |TYC 3344-1055-1                                                       |Star                           |04 59 32.3412582432 +45 47 01.732332480|160.9765989292252 +02.0444394683583| 13.664 -14.658  |9.98     |~                 |    ~     ~    
345 |TYC 3344-1244-1                                                       |Star                           |04 53 45.5308571568 +45 02 24.007048440|160.9237774055481 +00.7876794600240|   4.252 -5.473  |10.9     |~                 |    ~     ~    
346 |TYC 3344-1260-1                                                       |Star                           |04 57 53.3831240016 +45 00 49.510693080|161.4017417299535 +01.3400064337374|   1.299 -3.048  |10.65    |~                 |    ~     ~    
347 |TYC 3344-1267-1                                                       |Star                           |04 55 34.3910971944 +45 08 49.153035912|161.0422132044047 +01.1038374468003|  -3.535 -5.233  |10.55    |~                 |    ~     ~    
348 |TYC 3344-1281-1                                                       |Star                           |04 58 05.2795725792 +45 06 01.872417420|161.3555197893244 +01.4213660010570|  8.417 -28.732  |10.34    |~                 |    ~     ~    
349 |TYC 3344-1340-1                                                       |Star                           |04 55 18.6761663976 +45 23 58.639849548|160.8165549256380 +01.2265046820257| -4.419 -14.347  |10.94    |~                 |    ~     ~    
350 |TYC 3344-1387-1                                                       |Spectroscopic Binary           |04 58 46.6767410472 +45 00 31.848160500|161.5030649609075 +01.4600425271090|   10.591 4.466  |9.83     |~                 |    ~     ~    
351 |TYC 3344-1418-1                                                       |Star                           |04 56 22.2821350896 +45 17 12.983656776|161.0211412806717 +01.3010720002801|   -5.005 0.197  |10.45    |~                 |    ~     ~    
352 |TYC 3344-1450-1                                                       |Star                           |04 55 47.8220527488 +46 28 41.992357764|160.0289674383232 +01.9687589678437|   5.045 -8.795  |10.64    |~                 |    ~     ~    
353 |TYC 3344-1662-1                                                       |Star                           |04 54 11.6451910704 +46 31 53.841063324|159.8140968223067 +01.7876545179475|  -0.214 -5.746  |9.91     |~                 |    ~     ~    
354 |TYC 3344-1845-1                                                       |Star                           |04 57 59.0007388056 +46 12 40.277651220|160.4734020145324 +02.0970350263171| 12.699 -36.834  |10.97    |~                 |    ~     ~    
355 |TYC 3344-1968-1                                                       |Star                           |04 56 39.5085620760 +46 03 58.594848660|160.4438239577068 +01.8272237242381|   1.723 -4.953  |10.49    |~                 |    ~     ~    
356 |TYC 3344-2014-1                                                       |Star                           |04 58 11.0152573128 +46 04 00.708120732|160.6081567468562 +02.0346039030676|   0.251 -0.002  |10.83    |~                 |    ~     ~    
357 |TYC 3344-2025-1                                                       |Star                           |04 57 33.2864597352 +46 15 40.647985200|160.3880290289909 +02.0701358756016|  6.833 -10.901  |9.98     |~                 |    ~     ~    
358 |TYC 3344-2039-1                                                       |Star                           |04 55 26.8681554432 +46 15 32.700590100|160.1621075379699 +01.7843908882709|   0.533 -2.582  |10.35    |~                 |    ~     ~    
359 |TYC 3344-2314-1                                                       |Star                           |04 53 27.8423541264 +45 55 34.185464688|160.2041670213760 +01.3075720241084|  -1.362 -2.998  |10.16    |~                 |    ~     ~    
360 |TYC 3344-2333-1                                                       |Star                           |04 55 50.4245952000 +46 01 37.197609492|160.3856667675942 +01.6918974131703|   2.171 -5.222  |10.81    |~                 |    ~     ~    
361 |TYC 3344-2445-1                                                       |Double or Multiple Star        |04 56 19.977960 +45 41 45.23424        |160.697697909 +01.551554966        |      5.5 -17.9  |10.899   |~                 |    ~     ~    
362 |TYC 3344-2455-1                                                       |Star                           |04 54 04.3693934352 +46 10 45.380705304|160.0745332034902 +01.5492874324510|  -5.144 -6.142  |10.97    |~                 |    ~     ~    
363 |TYC 3344-2466-1                                                       |Star                           |04 54 22.7081323800 +46 03 24.732398988|160.2029929618663 +01.5132646704295| 10.153 -16.639  |10.25    |~                 |    ~     ~    
364 |TYC 3344-2477-1                                                       |High Proper Motion Star        |04 54 13.0429904136 +46 21 45.893751372|159.9478056762815 +01.6843444405065|15.853 -143.744  |9.55     |~                 |    ~     ~    
365 |TYC 3344-2495-1                                                       |Star                           |04 55 48.1781944128 +45 51 46.226977848|160.5095919161684 +01.5839831622105|  -0.871 -7.986  |10.35    |~                 |    ~     ~    
366 |TYC 3344-2758-1                                                       |Star                           |04 56 17.0950333872 +46 13 28.304950692|160.2797532914221 +01.8755907029554|   3.042 -3.666  |10.74    |~                 |    ~     ~    
367 |TYC 3344-2789-1                                                       |Star                           |04 58 02.7351653640 +46 19 16.463178516|160.3937750176987 +02.1738165048040| -38.043 -9.069  |10.46    |~                 |    ~     ~    
368 |TYC 2906-760-1                                                        |Star                           |04 53 16.8456183192 +43 49 59.792873340|161.8048039741664 -00.0413614426286| 25.741 -38.126  |10.60    |~                 |    ~     ~    
369 |TYC 3344-1396-1                                                       |Star                           |04 57 38.6428801440 +45 14 59.495302104|161.1898596337565 +01.4529509836660| 18.063 -19.243  |10.68    |~                 |    ~     ~    
370 |HD 237312A                                                            |Star                           |04 45 00.0657521712 +57 17 38.315298660|150.5908498454230 +07.5647202879112|  -0.325 -1.989  |10.25    |G:                |    ~     ~    
371 |HD 29893                                                              |High Proper Motion Star        |04 45 55.9169236992 +57 11 35.670335964|150.7503693260283 +07.5963126328496| 33.452 -60.896  |8.23     |F8                |    ~     ~    
372 |HD 237315                                                             |Star                           |04 46 40.4941146024 +56 36 12.395227824|151.2722596574628 +07.2957191737898|  -2.350 -1.550  |9.15     |K5                |    ~     ~    
373 |HD 237317                                                             |Double or Multiple Star        |04 47 48.6926 +57 15 36.321            |150.8626969 +07.8345967            |     20.8 -20.1  |9.85     |K7                |    ~     ~    
374 |* 4 Cam                                                               |Double or Multiple Star        |04 48 00.2729226024 +56 45 25.836947712|151.2707114696569 +07.5344097593843|52.892 -140.618  |5.275    |A3m               |    ~     ~    
375 |HD 29950                                                              |Star                           |04 46 20.3696256288 +55 39 18.349796844|151.9745301526562 +06.6510218231074| -7.505 -10.913  |7.17     |K0                |    ~     ~    
376 |HD 30088                                                              |Star                           |04 47 34.2312455400 +55 35 50.607967272|152.1313303867061 +06.7472994180741|   2.872 -5.305  |9.11     |A0                |    ~     ~    
377 |HD 30135                                                              |High Proper Motion Star        |04 48 02.9679981720 +56 02 29.249205108|151.8305460021410 +07.0828002666872| 16.300 -70.165  |7.98     |F8                |    ~     ~    
378 |HD 30144                                                              |High Proper Motion Star        |04 48 07.0241831880 +55 36 09.402413940|152.1769764917058 +06.8100040024407| 78.356 -96.302  |6.320    |F2V               |    ~     ~    
379 |HD 30195                                                              |Star                           |04 48 33.9021841560 +55 44 17.906649468|152.1122779898128 +06.9451940152136| 10.618 -20.582  |8.78     |A0                |    ~     ~    
380 |HD 237318                                                             |Star                           |04 48 40.6951315920 +55 40 54.011564292|152.1664917850421 +06.9214079939367|    0.773 0.317  |8.84     |K7                |    ~     ~    
381 |HD 237324                                                             |Star                           |04 51 29.9674606392 +55 22 09.630357780|152.6647312805799 +07.0325302415907|  -4.526 -4.141  |9.61     |K0                |    ~     ~    
382 |HD 233000                                                             |Star                           |04 45 56.8648102704 +55 16 22.123570764|152.2329736513355 +06.3624228308832|  -1.147 -1.941  |9.79     |A0                |    ~     ~    
383 |HD 233001                                                             |Star                           |04 46 03.6614918976 +55 09 56.646609120|152.3258279585462 +06.3057707372995|  -1.154 -0.931  |9.45     |A0                |    ~     ~    
384 |HD 233002                                                             |Star                           |04 46 24.9356152044 +55 16 20.348740368|152.2765254325659 +06.4130835654244|  -0.870 -1.038  |9.88     |A0                |    ~     ~    
385 |HD 233003                                                             |Double or Multiple Star        |04 46 29.7683 +55 06 46.243            |152.4068192 +06.3192951            |     1.00 -1.20  |9.24     |A0                |    ~     ~    
386 |HD 233004                                                             |Star                           |04 46 38.0606436048 +55 04 43.893010416|152.4457959317022 +06.3125774915719|   -0.136 0.278  |8.82     |K0                |    ~     ~    
387 |HD 233005                                                             |Star                           |04 46 55.7930333598 +55 14 19.120949187|152.3498778934000 +06.4475830684192|  -0.974 -0.594  |9.64     |A0                |    ~     ~    
388 |HD 233008                                                             |Star                           |04 47 51.8172720504 +55 08 02.426752320|152.5166708562074 +06.4828335765146|  -0.982 -1.092  |9.34     |A3                |    ~     ~    
389 |HD 233014                                                             |Star                           |04 49 42.5571898488 +55 10 59.592293364|152.6475969612833 +06.7173474566783|   -0.986 0.386  |9.16     |K5                |    ~     ~    
390 |HD 233016                                                             |Star                           |04 50 03.4660690656 +55 03 10.506699504|152.7808358659179 +06.6731940449267| 11.132 -23.730  |9.09     |K5                |    ~     ~    
391 |IRAS 04423+5547                                                       |Star                           |04 46 28.0637118960 +55 53 22.207507116|151.8053817159499 +06.8154997112852|   1.401 -0.262  |10.98    |~                 |    ~     ~    
392 |BD+55 934                                                             |Long-Period Variable Candidate |04 50 33.2724031680 +55 57 09.055761588|152.1239130205397 +07.2969412354333|   1.012 -7.999  |10.28    |~                 |    ~     ~    
393 |IRAS 04423+5608                                                       |Star                           |04 46 31.3967556624 +56 14 08.543682960|151.5430513660576 +07.0437589550096|   0.258 -2.482  |9.71     |~                 |    ~     ~    
394 |TYC 3737-101-1                                                        |Star                           |04 48 08.4522590238 +54 59 45.368243415|152.6490478394307 +06.4250669446274|  -1.075 -1.126  |10.54    |~                 |    ~     ~    
395 |TYC 3737-190-1                                                        |Star                           |04 45 23.0551189296 +55 48 51.722158248|151.7646825702102 +06.6507875264620|  -1.124 -0.661  |10.29    |~                 |    ~     ~    
396 |TYC 3737-270-1                                                        |Star                           |04 46 59.0924424960 +55 02 27.963033396|152.5073503649082 +06.3267747794986| 10.173 -14.507  |9.98     |~                 |    ~     ~    
397 |TYC 3737-288-1                                                        |Star                           |04 45 58.4720714976 +55 29 08.410239888|152.0716346592377 +06.5024914042977|   -6.140 2.807  |9.93     |~                 |    ~     ~    
398 |GSC 03737-00448                                                       |Double or Multiple Star        |04 48 14.1623871864 +55 46 40.999939788|152.0517061022710 +06.9348783350191| -21.809 -6.792  |10.729   |~                 |    ~     ~    
399 |TYC 3737-601-1                                                        |Spectroscopic Binary           |04 45 36.5584569168 +55 20 08.589728184|152.1533458254496 +06.3661868663895|  -2.307 -1.312  |10.75    |~                 |    ~     ~    
400 |TYC 3737-734-1                                                        |High Proper Motion Star        |04 46 56.9458503984 +56 11 35.633528880|151.6141442177979 +07.0619391233729| 20.153 -54.414  |9.71     |~                 |    ~     ~    
401 |TYC 3737-787-1                                                        |Star                           |04 48 33.2810310888 +55 49 48.421332084|152.0400490183357 +07.0025613634298|   -4.673 1.377  |10.92    |~                 |    ~     ~    
402 |TYC 3737-802-1                                                        |Star                           |04 48 56.6849971056 +55 07 28.987737240|152.6231458509560 +06.5958602390592|    0.430 1.468  |10.36    |~                 |    ~     ~    
403 |TYC 3737-1071-1                                                       |Star                           |04 46 35.3836111920 +55 22 53.309239896|152.2084211910386 +06.5022395697082| 32.595 -34.580  |10.49    |~                 |    ~     ~    
404 |TYC 3737-1089-1                                                       |Star                           |04 48 20.0147851464 +55 19 22.629085860|152.4134633219894 +06.6551051587848|  1.963 -11.391  |10.36    |~                 |    ~     ~    
405 |TYC 3737-1091-1                                                       |Star                           |04 45 41.4807952056 +55 14 48.618448692|152.2292462862605 +06.3177553254832|  -0.885 -1.949  |10.33    |~                 |    ~     ~    
406 |TYC 3737-1122-1                                                       |Star                           |04 48 35.4308640408 +55 19 10.947137664|152.4394516478018 +06.6811809068826|  3.086 -19.777  |10.71    |~                 |    ~     ~    
407 |TYC 3737-1204-1                                                       |Star                           |04 45 08.3078980488 +55 57 02.121556320|151.6375396986292 +06.7124139347431|   -2.366 3.753  |10.78    |~                 |    ~     ~    
408 |TYC 3737-1225-1                                                       |Star                           |04 45 25.0940879704 +55 04 59.280959828|152.3296686782913 +06.1822737601912|  -0.771 -1.243  |10.73    |~                 |    ~     ~    
409 |TYC 3737-1313-1                                                       |Star                           |04 46 39.9203311930 +55 17 56.353710177|152.2789777023986 +06.4574627947953|  -1.567 -1.075  |10.56    |~                 |    ~     ~    
410 |TYC 3737-1353-1                                                       |Star                           |04 50 58.1554511976 +55 21 47.061015120|152.6217757932444 +06.9701086045760| 16.440 -16.165  |9.98     |~                 |    ~     ~    
411 |TYC 3737-1412-1                                                       |Star                           |04 47 11.8463074824 +55 02 03.422601780|152.5322746069606 +06.3457519190684|  22.892 17.180  |9.41     |~                 |    ~     ~    
412 |TYC 3737-1504-1                                                       |Star                           |04 48 37.1978333064 +55 01 39.514041156|152.6686194566917 +06.4981691897798|   0.109 -2.994  |10.72    |~                 |    ~     ~    
413 |TYC 3741-276-1                                                        |Star                           |04 45 04.3182455057 +57 06 47.892872078|150.7364238461008 +07.4556100558246|  -1.607 -1.702  |10.81    |~                 |    ~     ~    
414 |TYC 3741-402-1                                                        |High Proper Motion Star        |04 45 40.1338965360 +57 35 42.160078644|150.4166072214157 +07.8272023382574|  1.863 -71.263  |10.90    |~                 |    ~     ~    
415 |TYC 3741-1261-1                                                       |Star                           |04 46 16.7585392824 +56 44 54.896253540|151.1248585489607 +07.3471301657407|   2.984 -4.198  |10.10    |~                 |    ~     ~    
416 |TYC 3741-1326-1                                                       |Star                           |04 45 28.3079712912 +56 57 18.960425964|150.8936619349269 +07.3954182129096|  -3.125 -0.951  |10.19    |~                 |    ~     ~    
417 |TYC 3741-1345-1                                                       |Star                           |04 49 36.0476735640 +56 17 19.792494348|151.7765084860024 +07.4067625069163|   18.151 8.183  |10.82    |~                 |    ~     ~    
418 |HD 29858                                                              |Star                           |04 45 09.1931397552 +53 28 20.075441772|153.5383996176981 +05.1100707427675|  -1.351 -0.895  |9.08     |A                 |    ~     ~    
419 |HD 29945                                                              |Star                           |04 45 54.6481687488 +52 46 41.124120168|154.1430924711364 +04.7470131937716|  -0.949 -2.702  |8.21     |B8                |    ~     ~    
420 |HD 30056                                                              |Star                           |04 46 54.8583679896 +52 01 32.818398492|154.8183131742293 +04.3777491204059|  -17.712 3.276  |8.73     |F8                |    ~     ~    
421 |HD 30151                                                              |Star                           |04 48 08.3224888992 +54 48 55.924227360|152.7884397608434 +06.3095094606557| 10.320 -18.991  |9.01     |A0                |    ~     ~    
422 |HD 233011                                                             |Star                           |04 48 31.3844163216 +54 49 28.973749368|152.8169181634631 +06.3579671377475|  -0.954 -1.188  |8.65     |K5                |    ~     ~    
423 |HD 233018                                                             |Star                           |04 50 39.9180932736 +54 37 29.971031808|153.1699051293616 +06.4697755633561|  -8.843 -0.825  |9.40     |A5                |    ~     ~    
424 |HD 30480                                                              |Star                           |04 51 06.4637524896 +54 24 30.258003852|153.3795889092112 +06.3825090324044| 38.172 -25.696  |8.77     |F5                |    ~     ~    
425 |HD 30583                                                              |High Proper Motion Star        |04 51 56.8029393936 +54 54 09.000826740|153.0706320386996 +06.7882843045468| 14.345 -54.096  |7.65     |F5III-IV          |    ~     ~    
426 |HD 30697                                                              |High Proper Motion Star        |04 52 57.4328669232 +54 29 34.217637504|153.4839167479823 +06.6445226179616| -34.348 38.189  |9.04     |F8                |    ~     ~    
